Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2002-11-03
Data Final: 2008-06-24
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-11-03;null;null;null;null;null;null;null;null;null;null;
2002-11-04;null;null;null;null;null;null;null;48;6.5;null;
2002-11-05;null;904.1625;18.591667;26.7;21.570833;20.1;83.708333;58;11.8;2.091667;
2002-11-06;33;906.765217;15.817391;21.3;18.243478;17.6;85.956522;76;8.8;2.578261;
2002-11-07;6.6;909.575;12.470833;18.6;16.316667;15;78.083333;68;9.1;3.6125;
2002-11-08;2;909.004167;10.783333;23.4;17.833333;13.4;64.583333;43;8;2.704167;
2002-11-09;0;907.6875;12.441667;26.8;20.179167;14.5;63.333333;35;8.6;2.741667;
2002-11-10;0;906.491667;15.004167;29.8;22.725;16.8;64.291667;38;6.9;2.433333;
2002-11-11;0;906.252174;17.082609;28.6;23.730435;20.3;67.130435;44;9.1;1.791304;
2002-11-12;26.4;908.454167;16.395833;26.9;21.354167;16.8;75.375;46;11.5;1.595833;
2002-11-13;0;908.966667;15.1625;26.2;22.258333;20;65.041667;47;9.5;4.133333;
2002-11-14;0;909;13.904545;27;22.227273;18.4;60.136364;44;11.6;4.477273;
2002-11-15;null;null;null;29.1;null;18.7;54.8125;38;7.5;null;
2002-11-16;null;null;null;30.6;null;18.8;61.529412;36;7;null;
2002-11-17;null;null;null;null;null;19;71.133333;46;11.2;null;
2002-11-18;null;null;null;28.8;null;17.8;76.647059;48;9.6;null;
2002-11-19;null;904.522222;17.038889;29.6;null;20;67.277778;37;7.9;1.822222;
2002-11-20;null;904.814286;16.97619;30.3;null;20.1;64.047619;42;8.3;2.8;
2002-11-21;0;905.7125;19.108333;29.6;24.266667;21.5;73.416667;53;9;3.129167;
2002-11-22;.4;906.320833;18.3125;27.6;23.425;21.6;73.375;53;9.5;3.0625;
2002-11-23;.4;907.620833;17.7125;26.9;23.108333;20.9;72.166667;53;8.6;3.5625;
2002-11-24;2;907.9625;17.170833;29.9;22.995833;18.7;72.583333;40;11.1;2.216667;
2002-11-25;26.2;907.595833;17.504167;28.4;22.329167;18.3;75.666667;50;9.7;2.404167;
2002-11-26;7.2;907.052174;17.178261;29.4;24.295652;19.3;66;42;9.8;2.321739;
2002-11-27;5.2;907.454167;15.004167;24.8;21.7375;20.2;65.583333;52;7.4;2.041667;
2002-11-28;1.2;906.165217;13.330435;29.4;23.282609;17.7;55.869565;25;9;2.917391;
2002-11-29;.2;906.395833;14.4125;31.2;25.183333;20.6;52.916667;30;8.1;3.595833;
2002-11-30;0;907.033333;13.875;32.6;26.008333;21.4;50.041667;15;8.6;3.7625;
2002-12-01;0;905.9375;13.604167;33.1;26.695833;20.9;47.625;22;9.3;2.5;
2002-12-02;0;904.658333;14.095833;34.1;27.35;21;46.916667;25;6.9;1.9;
2002-12-03;0;905.656522;16.608696;32.7;26.717391;22.4;54.434783;36;8.7;3.243478;
2002-12-04;.2;null;null;29.1;null;21.6;64.235294;47;12.2;null;
2002-12-05;null;906.275;16.983333;32.4;25.895833;21.9;59.458333;34;7.9;2.675;
2002-12-06;0;903.729167;18.620833;30.9;24.0125;22.4;73.083333;42;11.8;1.625;
2002-12-07;15.4;901.991304;18.356522;30;22.530435;18.9;79.043478;49;21.6;1.669565;
2002-12-08;43.4;901.183333;18.279167;30.2;23.283333;17.5;75.958333;47;9.6;1.529167;
2002-12-09;4.8;902.8125;19.345833;27.8;22.770833;19.7;81.75;57;9.8;1.933333;
2002-12-10;4.4;906.2625;18.341667;28.3;22.579167;20.1;78.291667;52;9.8;2.995833;
2002-12-11;20.4;907.145833;18.891667;25.8;20.929167;19.6;88.541667;67;10.3;2.625;
2002-12-12;43;906.354167;18.6125;20.4;19.625;19;93.916667;89;7.6;2.016667;
2002-12-13;48.4;905.929167;18.054167;22.3;19.545833;18.1;91.125;79;7.9;2.391667;
2002-12-14;22.8;907.158333;17.875;20.6;19.166667;17.6;92.333333;83;8.4;3.116667;
2002-12-15;null;null;null;null;null;17.9;null;92;4.5;null;
2002-12-16;null;null;null;null;null;null;null;null;null;null;
2002-12-17;null;null;null;null;null;null;null;null;null;null;
2002-12-18;null;null;null;null;null;null;null;null;null;null;
2002-12-19;null;null;null;null;null;null;null;null;null;null;
2002-12-20;null;null;null;null;null;null;null;null;null;null;
2002-12-21;null;null;null;null;null;null;null;null;null;null;
2002-12-22;null;null;null;null;null;null;null;null;null;null;
2002-12-23;null;null;null;null;null;null;null;null;null;null;
2002-12-24;null;null;null;null;null;null;null;null;null;null;
2002-12-25;null;null;null;null;null;null;null;null;null;null;
2002-12-26;null;null;null;null;null;null;null;null;null;null;
2002-12-27;null;null;null;null;null;null;null;null;null;null;
2002-12-28;null;null;null;null;null;null;null;null;null;null;
2002-12-29;null;null;null;null;null;null;null;null;null;null;
2002-12-30;null;null;null;null;null;null;null;null;null;null;
2002-12-31;null;null;null;null;null;null;null;null;null;null;
2003-01-01;null;null;null;null;null;null;null;null;null;null;
2003-01-02;null;null;null;null;null;null;null;null;null;null;
2003-01-03;null;null;null;null;null;null;null;null;null;null;
2003-01-04;null;null;null;null;null;null;null;null;null;null;
2003-01-05;null;null;null;null;null;null;null;null;null;null;
2003-01-06;null;null;null;null;null;null;null;null;null;null;
2003-01-07;null;null;null;null;null;null;null;null;null;null;
2003-01-08;null;null;null;null;null;null;null;null;null;null;
2003-01-09;null;null;null;null;null;null;null;null;null;null;
2003-01-10;null;null;null;null;null;null;null;null;null;null;
2003-01-11;null;null;null;null;null;null;null;null;null;null;
2003-01-12;null;null;null;null;null;null;null;null;null;null;
2003-01-13;null;null;null;null;null;null;null;48;5.9;null;
2003-01-14;null;904.241667;18.95;27.8;22.225;19.2;82.708333;58;6;1.879167;
2003-01-15;35.2;904.766667;19.429167;26.1;22.095833;20;85.333333;65;7.4;1.358333;
2003-01-16;95.8;906.529167;19.2125;22.5;20.175;19.2;94.208333;86;7;2.045833;
2003-01-17;88.2;906.883333;18.3375;21.8;19.533333;18.1;92.833333;78;9.3;1.7625;
2003-01-18;20;906.25;18.391667;28.1;22.125;18.2;80.875;55;10;1.6125;
2003-01-19;16.6;906.347368;18.636842;25.3;null;18.2;86.421053;66;7.1;1.463158;
2003-01-20;null;905.172727;18.5;26.8;21.645455;19;83.227273;58;10.2;1.990909;
2003-01-21;31.8;904.054167;18.908333;26.4;21.65;18.7;84.875;61;10.7;2.441667;
2003-01-22;27;905.729167;18.391667;27.1;21.708333;18.1;82.208333;57;9.1;3.295833;
2003-01-23;0;908.066667;17.175;29.5;24.216667;19.9;67.125;37;9.6;3.370833;
2003-01-24;0;908.495833;15.945833;31.6;25.129167;19.6;59.541667;25;6.7;2.158333;
2003-01-25;0;907.266667;16.566667;31.7;25.508333;21.4;60.25;26;9;2.795833;
2003-01-26;0;905.433333;16.7;30.3;24.55;20.7;62.958333;38;11.5;3.604167;
2003-01-27;0;903.883333;16.3125;28.9;24.2125;20.9;62.208333;42;8.6;3.3;
2003-01-28;0;904.786364;17.609091;27.1;22.863636;20.6;72.454545;55;7.9;2.559091;
2003-01-29;1.4;906.758333;18.4625;26.1;21.4625;20.9;83.416667;61;11.3;1.758333;
2003-01-30;17.6;907.245833;18.308333;26.7;20.7125;18.6;86.583333;62;9.1;2.475;
2003-01-31;9.6;907.895833;16.391667;29;22.979167;18.5;68.958333;40;10.8;3.279167;
2003-02-01;0;909.1375;16.158333;28.6;23.725;19.9;63.791667;42;8.7;3.404167;
2003-02-02;0;910.254167;16.141667;29.5;24.15;19.8;62.333333;39;10.9;3.470833;
2003-02-03;0;910.2875;16.208333;28;23.1125;20;65.833333;46;11.1;3.895833;
2003-02-04;0;908.441667;16.8875;29;23.604167;19.4;66.916667;46;7.5;2.733333;
2003-02-05;0;907.583333;16.095833;29.8;24.058333;20.1;62.291667;39;8.4;3.2125;
