Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2002-12-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-18;null;null;null;null;null;null;null;null;null;null;
2002-12-19;null;940.875;19.125;30.6;24.554167;null;74.125;48;7.3;2.254167;
2002-12-20;0;942.104167;19.254167;32;25.3125;20.1;71.208333;43;6.3;1.704167;
2002-12-21;0;941.216667;18.466667;33.9;26.425;19.1;65.666667;32;5.1;1.595833;
2002-12-22;0;939.333333;18.708333;33.8;26.475;22.5;63.75;34;11.6;2.658333;
2002-12-23;0;939.4375;19.666667;32.4;25.191667;20;73.416667;41;14.4;1.954167;
2002-12-24;4;938.733333;20.025;33.8;27.158333;22;67.25;40;9.3;2.266667;
2002-12-25;0;937.916667;21.045833;32.4;24.9;21.8;80.75;46;20.4;1.908333;
2002-12-26;131.8;939.329167;20.358333;28.2;23.370833;19.6;84.25;57;9.2;2.195833;
2002-12-27;23.8;938.9625;20.154167;23.8;21.320833;19.6;93.083333;83;6.4;1.683333;
2002-12-28;10.6;937.954167;19.95;28;22.3125;20.3;87.041667;60;9;2.333333;
2002-12-29;18.2;938.620833;20.454167;24.8;21.55;20.4;93.791667;79;11.4;3.166667;
2002-12-30;18.2;941.3125;20.158333;25.8;21.7875;20.3;90.708333;72;6.8;2.4375;
2002-12-31;13.2;941.266667;20.570833;26.1;22.275;19.9;90.416667;72;9.4;1.308333;
2003-01-01;7;939.816667;20.829167;29.4;22.775;20;89.291667;59;11.2;1.5875;
2003-01-02;11.2;939.35;21.179167;28.4;23.029167;20.8;89.75;62;8.6;1.020833;
2003-01-03;7.8;939.541667;21.1875;26.2;22.391667;21.8;93.083333;77;12.8;1.366667;
2003-01-04;52.2;939.375;20.429167;31.6;24.133333;20.6;81.833333;46;11.4;2.154167;
2003-01-05;20.8;939.508333;20.654167;26.8;23.029167;21.3;87.125;63;7.1;2.079167;
2003-01-06;3.2;938.9;20.470833;30.7;24.65;21.3;79.416667;52;9.1;2.491667;
2003-01-07;1.2;938.5625;21.204167;30;23.9375;21;85.458333;55;7.5;1.65;
2003-01-08;.4;940.0375;21.675;32.3;25.379167;21.8;81.5;51;7.6;1.529167;
2003-01-09;0;942.125;21.645833;32.1;26.304167;21.6;77.25;52;5.5;1.6;
2003-01-10;0;940.969565;21.843478;33.1;26.526087;21.4;76.782609;47;6;1.682609;
2003-01-11;null;null;null;null;null;null;null;null;null;null;
2003-01-12;null;null;null;null;null;null;null;null;null;null;
2003-01-13;null;null;null;null;null;null;null;null;null;null;
2003-01-14;null;null;null;null;null;null;null;null;null;null;
2003-01-15;null;null;null;null;null;null;null;null;null;null;
2003-01-16;null;null;null;null;null;null;null;null;null;null;
2003-01-17;null;null;null;null;null;null;null;null;null;null;
2003-01-18;null;null;null;null;null;null;null;null;null;null;
2003-01-19;null;null;null;null;null;null;null;null;null;null;
2003-01-20;null;null;null;null;null;null;null;null;null;null;
2003-01-21;null;939.345833;19.991667;26.4;22.233333;null;87.541667;68;12.8;2.225;
2003-01-22;21.8;940.5375;20.025;28.2;22.779167;19.9;85.416667;63;10.4;2.1375;
2003-01-23;0;942.2875;18.55;30.9;24.65;19.3;72.208333;37;7.1;1.991667;
2003-01-24;0;942.329167;18.666667;31.3;24.520833;18.6;72.125;44;6.9;1.829167;
2003-01-25;0;940.820833;17.854167;32.9;25.229167;18.1;67.708333;32;6.8;1.670833;
2003-01-26;0;939.295833;17.741667;31.4;24.616667;17.9;68.25;39;7.6;1.879167;
2003-01-27;0;938.15;18.079167;31.3;24.2375;17.8;70.958333;38;6.6;2.291667;
2003-01-28;0;939.5875;19.229167;29.3;23.558333;19.3;77.666667;56;9.8;2.3;
2003-01-29;0;940.975;20.154167;29.9;23.645833;19.9;81.75;55;9.3;1.820833;
2003-01-30;26.4;941.066667;19.4625;28.7;22.720833;18.6;83.625;54;17.7;2.733333;
2003-01-31;6.4;941.183333;17.870833;30.6;23.6875;17.7;73.041667;41;9.3;2.454167;
2003-02-01;0;942.404167;18.266667;30.4;24.704167;18.3;69.375;44;10.8;2.5375;
2003-02-02;21.6;943.416667;19.054167;30.7;24.529167;19.5;73.583333;43;10.2;2.883333;
2003-02-03;0;944.033333;18.583333;28.6;23.829167;20.4;73.208333;54;9.1;2.991667;
2003-02-04;0;942.366667;18.479167;29.7;23.916667;19;73.708333;45;8.5;2.045833;
2003-02-05;0;941.429167;17.966667;31;24.2875;18.7;70.458333;40;8.4;1.458333;
2003-02-06;0;941.233333;17.8125;30.9;24.0875;18.3;70.166667;44;8.5;2.083333;
2003-02-07;0;941.633333;17.983333;31.2;25.008333;18.9;67.583333;39;7.1;1.725;
2003-02-08;0;942.029167;17.229167;31.6;24.7875;19;65.333333;38;7.7;2.2125;
2003-02-09;0;941.3625;17.245833;31.7;25.070833;19;64.416667;33;9.8;2.066667;
2003-02-10;0;939.7625;15.708333;31.3;24.15;16.4;62.625;32;7;1.758333;
2003-02-11;0;939.3125;17.429167;32;23.725;18;69.708333;39;8.6;1.9375;
2003-02-12;0;940.183333;16.995833;31.3;24.2875;18.1;66.25;36;8.8;2.5;
2003-02-13;0;940.641667;14.220833;31.8;24.5;17.5;56.791667;27;8.2;2.154167;
2003-02-14;0;939.65;16.133333;31.5;23.8625;16;63.5;40;7.8;1.9125;
2003-02-15;0;939.470833;18.316667;28.5;24.15;19.4;71.25;48;8;2.041667;
2003-02-16;0;939.741667;18.45;30.7;23.4125;18.7;75.458333;45;6;1.595833;
2003-02-17;1.4;938.7;20.054167;31.3;25.279167;20.5;75.125;48;9.2;2.508333;
2003-02-18;0;940.145833;19.470833;27.5;23.729167;21.1;77.5;59;7;2.55;
2003-02-19;.2;940.866667;19.741667;30.9;24.308333;20.1;77.125;52;6.8;1.991667;
2003-02-20;.2;941.45;19.016667;29.9;24.633333;20.5;71.916667;48;6.9;2.1625;
2003-02-21;0;940.541667;19.191667;30.7;24.779167;19.8;72.541667;46;7.4;1.75;
2003-02-22;0;941.204167;17.270833;32.2;24.904167;17.7;65.791667;35;8.8;2.258333;
2003-02-23;0;943.3875;17.3125;30.7;25.808333;19.3;61.166667;40;12.1;2.945833;
2003-02-24;0;943.466667;16.879167;31.8;25.104167;18.1;63;37;8.5;2.2875;
2003-02-25;0;941.254167;15.758333;33.5;24.95;17.3;60.666667;26;6.1;1.85;
2003-02-26;0;939.9125;16.7875;33.8;25.2125;17.1;62.791667;32;6.2;1.6875;
2003-02-27;0;940.183333;17.604167;33.7;26.2;19;62.083333;33;7.1;1.9875;
2003-02-28;0;940.858333;18.008333;33.5;26.25;18.8;62.875;35;7.7;1.883333;
2003-03-01;0;940.079167;18.183333;33.8;26.1;18.6;64.666667;33;7.7;1.933333;
2003-03-02;0;939.508333;18.283333;33.1;25.775;18.9;65.916667;34;6.9;1.945833;
2003-03-03;0;939.9375;18.5;33.7;24.575;20.1;71.208333;35;19.6;2.229167;
2003-03-04;12.2;941.383333;18.420833;32.2;24.4125;18.5;71.875;40;10.9;2.308333;
2003-03-05;0;940.6375;18.491667;32;24.591667;18.6;71.375;36;11.9;1.8;
2003-03-06;.4;939.645833;16.7;32.2;25.0625;19;62.791667;32;8.8;2.379167;
2003-03-07;0;939.479167;16.8375;32.8;24.704167;17.5;64.625;32;7.5;1.829167;
2003-03-08;0;939.7875;17.541667;32.2;24.941667;18.2;66.208333;35;8.2;1.941667;
2003-03-09;0;940.4625;17.304167;30.5;24.816667;21.3;64.375;42;5.5;1.5;
2003-03-10;0;940.791667;18.333333;30;24.1875;20;70.958333;50;7.3;1.6125;
2003-03-11;0;940.229167;18.75;31.9;25.920833;21.2;66.583333;43;11.4;2.2125;
2003-03-12;0;939.541667;18.925;31;25.104167;20.9;69.666667;45;10.2;2.191667;
2003-03-13;6.8;940.183333;20.204167;27.6;22.55;20.5;87;67;8.6;1.9125;
2003-03-14;4.4;940.2125;20.8;27.6;23.1;20.8;87.375;66;9.8;1.270833;
2003-03-15;6.8;940.829167;19.758333;32.2;25.1875;20.2;74.541667;43;8.3;1.766667;
2003-03-16;0;940.8375;18.533333;32.9;25.416667;19.3;68.583333;36;8;1.995833;
2003-03-17;0;939.204167;17.716667;32.7;25.229167;18.2;67.208333;29;6.4;1.795833;
2003-03-18;0;939.583333;18.391667;32;25.958333;19.9;65.083333;39;8.6;2.8625;
2003-03-19;0;941.920833;18.5625;29.9;24.283333;20.1;71.833333;47;9.8;1.958333;
2003-03-20;0;941.920833;18.058333;31.4;24.9375;20.1;68.291667;39;7.4;2.204167;
2003-03-21;0;940.1625;17.929167;31.7;24.604167;18.3;68.75;41;6.6;1.979167;
2003-03-22;0;939.133333;18.766667;31.8;24.816667;18.4;71.083333;43;8.3;1.879167;
2003-03-23;3.2;940.55;19.841667;28.9;23.829167;21.1;78.833333;57;8.4;2.045833;
2003-03-24;1.4;942.308333;19.308333;29.9;23.25;20.5;79.875;46;9.7;1.85;
2003-03-25;1.4;941.945833;18.979167;31.1;24.5625;20.4;73.541667;43;7.4;1.9375;
2003-03-26;0;940.783333;18.325;29.7;24.2375;20.4;71.208333;46;10.5;1.95;
2003-03-27;0;941.575;18.383333;29.9;24.425;19.7;70.958333;45;8.2;2.141667;
2003-03-28;.6;942.116667;19.020833;31.8;24.25;20.1;74.166667;44;10.1;2.379167;
2003-03-29;0;941.2125;18.375;29.8;24.420833;20.4;70.375;47;9.1;2.1375;
2003-03-30;0;940.658333;18.020833;29.4;23.154167;18.2;74.625;48;6.6;1.433333;
2003-03-31;0;940.025;17.15;31.8;24.433333;19.2;67.416667;32;6.9;1.7375;
2003-04-01;0;940.7;16.5625;33.5;24.991667;18;62.875;30;6.5;1.616667;
2003-04-02;0;941.229167;16.629167;33;25.566667;18.2;61.166667;30;7.2;1.9625;
2003-04-03;0;940.5375;16.029167;33;25;17.7;61.208333;28;7;1.804167;
2003-04-04;0;939.754167;15.804167;32.6;24.820833;16.9;60.5;32;6.6;1.754167;
2003-04-05;0;939.670833;16.754167;31.6;24.4125;17.9;64.833333;38;6.9;1.408333;
2003-04-06;0;938.4375;17.970833;34.1;26.058333;19.7;63.791667;33;7.8;1.620833;
2003-04-07;0;936.5875;20.020833;32.7;26.366667;21.3;69.541667;44;8.4;1.6;
2003-04-08;0;938.379167;19.675;29.1;24.820833;20.6;74.083333;54;7.7;2.366667;
2003-04-09;0;940.566667;19.1625;31.4;24.729167;19.3;73.041667;47;6.6;1.704167;
2003-04-10;0;940.758333;18.816667;33;25.320833;18.9;70.083333;41;6.7;1.733333;
2003-04-11;0;939.925;19.079167;34.2;26.595833;20;66.625;37;7.8;1.7375;
2003-04-12;3.2;941.4125;19.895833;31.7;25.208333;20.6;74.25;41;9.3;2.25;
2003-04-13;0;942.9125;19.370833;31.4;25.3625;19.5;70.958333;46;8.4;2.254167;
2003-04-14;0;945.358333;17.908333;27;23.191667;19.9;72.791667;55;8.8;2.7625;
2003-04-15;0;943.729167;17.429167;28.7;22.879167;19;72.291667;50;8.5;2.741667;
2003-04-16;0;941.983333;17.491667;30;24.054167;19.5;68.333333;44;6.9;2.304167;
2003-04-17;0;942.4;16.225;30.6;23.95;18.1;64.166667;38;7.7;2.075;
2003-04-18;0;942.833333;16.754167;29.8;23.725;18.1;66.833333;44;9.8;2.541667;
2003-04-19;0;942.95;16.316667;30.1;23.304167;16.3;67.416667;41;9.2;1.829167;
2003-04-20;0;941.5;15.504167;30.6;23.1375;15.4;65.291667;34;9;1.95;
2003-04-21;0;942.4375;16.125;31.4;24.008333;17.5;63.875;37;8.8;2.2;
2003-04-22;0;943.741667;15.904167;29.8;23.65;18.9;63.791667;42;9.7;2.7;
2003-04-23;0;943.366667;16.9;30.5;24.120833;19.6;65.625;42;11.4;2.966667;
2003-04-24;0;943.354167;17.670833;29.3;23.9875;18.6;69.5;46;8.8;2.570833;
2003-04-25;0;942.5125;16.35;31;24.545833;19.4;63.541667;37;8.2;2.170833;
2003-04-26;0;943.320833;17.133333;31.6;23.854167;16.8;68.5;41;7.4;1.875;
2003-04-27;0;943.245833;16.941667;32;24.058333;17.9;67.5;36;6.6;1.725;
2003-04-28;0;941.770833;14.375;32;23.8375;16.7;60.666667;26;8.9;1.675;
2003-04-29;0;941.5875;11.85;32.1;22.966667;13.9;53.541667;24;6.9;1.829167;
2003-04-30;0;942.308333;13.1625;33;23.904167;15.7;54.333333;28;7;1.8125;
2003-05-01;0;942.075;15;32.7;24.175;16.4;59.458333;32;5.8;1.641667;
2003-05-02;0;939.516667;14.3;33.2;24.370833;15.4;57.333333;27;9.7;1.991667;
2003-05-03;0;938.529167;15.358333;31.3;24.616667;18.3;58.958333;35;9.5;2.5;
2003-05-04;0;941.341667;14.904167;31.1;23.104167;18;62.041667;35;11.6;2.5375;
2003-05-05;0;942.147826;15.708696;28.3;22.73913;17.4;65.782609;47;8.3;1.96087;
2003-05-06;0;940.845833;16.641667;29;22.620833;16.7;70.708333;48;6.9;1.941667;
2003-05-07;1.8;940.3875;18.645833;27.2;23.275;19.8;76.041667;56;5.9;1.975;
2003-05-08;0;941.533333;13.066667;30.1;22.6875;16.4;60.25;22;7.7;1.941667;
2003-05-09;0;942.445833;9.733333;30.8;21.483333;13;48.875;33;12.2;1.870833;
2003-05-10;0;943.979167;13.945833;29.5;22.35;16;61.25;36;6.7;2.129167;
2003-05-11;0;946.479167;11.516667;27.2;20.658333;12.6;57.833333;34;8.8;2.416667;
2003-05-12;0;946.108333;12.758333;27.5;20.725;15.2;63.083333;36;8.4;2.429167;
2003-05-13;0;944.8625;13.608333;28.6;21.220833;13.9;64.75;35;6.5;2.075;
2003-05-14;0;944.091667;14.045833;29.7;21.695833;14.3;65.125;34;8.8;2.079167;
