Nome: MONTE VERDE
Codigo Estacao: A509
Latitude: -22.86166666
Longitude: -46.04333333
Altitude: 1544.89
Situacao: Operante
Data Inicial: 2004-12-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2004-12-18;null;null;null;null;null;null;null;null;null;null;
2004-12-19;null;null;null;null;null;null;null;66;5.5;null;
2004-12-20;.6;845.4625;15.516667;24.2;18.625;15.6;82.916667;59;8;1.273913;
2004-12-21;11.4;846.3;13.7375;18.5;15.454167;15.3;89.708333;61;11.2;2.329167;
2004-12-22;17.8;845.8875;11.025;14.5;12.708333;11.3;89.5;81;11;3.154167;
2004-12-23;1.4;843.3875;12.479167;21.5;15.195833;11.2;84.166667;61;9.2;2.0375;
2004-12-24;6;843.166667;13.9375;22.6;17.541667;14;80.708333;54;9.9;1.725;
2004-12-25;0;845.3875;13.029167;24.8;18.195833;12.3;74.291667;44;10.7;1.7875;
2004-12-26;9;847.145833;15.141667;21.8;16.891667;15.6;89.5;63;8.1;1.3125;
2004-12-27;17.4;846.1125;13.2625;20.3;15.958333;13.1;84.75;60;6;1.195833;
2004-12-28;0;846.2625;12.133333;25;17.308333;11.4;74.583333;40;7.3;1.395833;
2004-12-29;.2;848.7;11.966667;26.1;17.383333;9.2;73.666667;36;8;1.725;
2004-12-30;0;849.1375;14.516667;26.1;18.445833;12.2;79.25;47;7.1;1.379167;
2004-12-31;2;848.525;11.620833;26.7;18.483333;10.3;68.208333;31;8.3;1.6125;
2005-01-01;9.6;848.358333;13.5875;24.6;18.158333;11.9;76.25;48;10.1;2.1625;
2005-01-02;.2;848.925;13.216667;24.5;18.0875;14;74.666667;43;9.8;1.504167;
2005-01-03;25.4;848.604167;13.379167;23.3;17.991667;13.5;75.583333;52;7.9;1.633333;
2005-01-04;19.6;846.2875;14.504167;17.2;16.025;15.1;90.583333;82;8.3;1.716667;
2005-01-05;44;844.829167;15.433333;19.5;16.858333;15.8;91.375;79;11.8;2.283333;
2005-01-06;13.6;846.483333;16.129167;22.8;17.9;16.4;89.5;68;8.3;1.445833;
