Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Pane
Data Inicial: 2006-05-11
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-05-11;null;null;null;null;null;null;null;null;null;null;
2006-05-12;null;null;null;null;null;null;null;95;1.9;null;
2006-05-13;null;null;null;null;null;null;null;null;null;null;
2006-05-14;null;null;null;null;null;null;null;67;1.6;null;
2006-05-15;null;null;null;null;null;null;null;34;4.7;null;
2006-05-16;null;null;null;null;null;null;null;23;6.9;null;
2006-05-17;null;956.604545;9.327273;29.7;19.309091;8.5;60.272727;16;5.1;1.086364;
2006-05-18;0;956.4;11.4;28;17.9375;9.5;70.125;32;9.7;1.43;
2006-05-19;null;955.020833;11.245833;27.4;18.783333;11.6;65.75;30;2.5;null;
2006-05-20;null;952.782609;12.669565;25.6;18.53913;13.1;69.913043;48;8.8;1.568182;
2006-05-21;null;null;null;null;null;null;null;94;null;null;
2006-05-22;null;null;null;null;null;null;null;62;null;null;
2006-05-23;null;null;null;null;null;null;null;62;null;null;
2006-05-24;null;957.1125;17.554167;27.4;20.970833;16.6;82.166667;55;5.4;1.533333;
2006-05-25;0;956.083333;17.4625;29.5;22.004167;15.6;78.25;45;7.6;1.279167;
2006-05-26;0;955.458333;16.691667;29.9;22.075;15.9;75.375;37;6.4;1.104167;
2006-05-27;0;955.6;15.970833;30;21.6875;15;74.125;37;7.1;1.0375;
2006-05-28;0;955.8125;15.4625;30.2;21.091667;14.4;75.208333;34;5;.991667;
2006-05-29;0;955.270833;13.354167;30.3;20.833333;13.5;68.916667;23;6.9;.958333;
2006-05-30;0;954.508333;13.375;31.2;21.104167;13.3;66.458333;32;9.1;1.133333;
2006-05-31;0;955.4;14.808333;31.3;22.475;15.3;66.708333;29;7.3;1.058333;
2006-06-01;0;955.829167;14.475;30.8;21.383333;14.8;69.916667;29;7.3;1.3375;
2006-06-02;0;956.0375;12.970833;30;20.7875;14.3;65.875;27;6.7;1.4875;
2006-06-03;0;955.654167;13.595833;28.4;20.5875;14.7;66.625;38;10.9;2.0875;
2006-06-04;0;955.445833;13.991667;27.9;20.720833;14.8;68.166667;38;9.4;1.8625;
2006-06-05;0;954.495833;13.7875;28.3;20.208333;13.9;70.208333;37;7.4;1.079167;
2006-06-06;0;955.279167;13.341667;28.2;20.079167;13.4;69.416667;33;9.3;1.0625;
2006-06-07;0;956.016667;11.633333;28.8;19.675;12.8;65.958333;28;7.8;1.516667;
2006-06-08;0;955.529167;11.091667;28;19.020833;12;65.041667;28;12.1;1.6125;
2006-06-09;0;954.733333;11.283333;28.1;19.366667;12.8;63.083333;27;13.5;2.570833;
2006-06-10;0;953.95;11.691667;28.6;19.7375;13.7;63.75;28;10.5;1.508333;
2006-06-11;0;954.395833;11.304167;29.2;19.4125;10.5;65.541667;29;6.7;.820833;
2006-06-12;0;956.016667;12.733333;29.9;20.920833;13.3;64.291667;29;6.5;1.266667;
2006-06-13;0;957.2125;13.308333;29.4;20.904167;13.9;65;33;8;1.95;
2006-06-14;0;957.808333;12.916667;28.5;20.2625;15.1;66.541667;29;7.5;2.420833;
2006-06-15;0;956.7875;12.545833;28.7;19.379167;12;67.958333;32;6.7;1.245833;
2006-06-16;0;956.845833;11.429167;29.4;19.575;12.2;65.5;27;7.3;1.5375;
2006-06-17;0;956.891667;10.258333;30.1;20.316667;12.3;58.125;22;7.2;1.170833;
2006-06-18;0;957.1875;11.979167;29.5;20.125;13.3;62.166667;32;9;1.729167;
2006-06-19;0;956.533333;12.729167;27.7;21.2375;16.9;61.166667;34;11.4;2.791667;
2006-06-20;0;956.908333;11.429167;27.6;19.608333;12.9;61.625;31;11.2;2.395833;
2006-06-21;0;957.8625;11.7125;27.1;18.695833;11.8;67.791667;32;9.8;1.383333;
2006-06-22;0;957.995833;11.458333;28.3;18.8875;10.3;66.916667;31;9.4;1.308333;
2006-06-23;null;null;null;26.8;null;15.2;71.352941;49;4.3;null;
2006-06-24;0;955.979167;11.454167;27.7;19.8625;14.2;64.125;26;8.7;2.025;
2006-06-25;0;955.583333;14.829167;28.4;21.129167;14.8;68.666667;47;13.1;2.95;
2006-06-26;0;954.620833;16.554167;29.9;21.808333;17.8;73.541667;36;13.6;2.120833;
2006-06-27;21.8;957.35;12.0125;25.4;19.004167;15.9;68.541667;28;7.5;2.083333;
2006-06-28;0;958.791667;7.5;26.9;15.379167;6.5;66.583333;24;5.5;1.2625;
2006-06-29;0;958.2125;10.183333;28.2;17.504167;9.2;65.666667;33;8.4;1.658333;
2006-06-30;0;958.091667;12.979167;29.9;19.9;12.9;67.666667;32;7.8;1.679167;
2006-07-01;0;958.4625;13.729167;28.3;20.5;12.9;68.583333;35;9.9;1.875;
2006-07-02;0;958.316667;12.066667;28.5;19.720833;11.7;65.5;28;7.4;1.525;
2006-07-03;0;958.8;12.75;27.8;20.625;14.3;63.5;36;6.7;1.745833;
2006-07-04;0;959.241667;11.15;28.4;19.545833;11.5;64.416667;24;7.9;1.370833;
2006-07-05;0;958.8125;10.995833;27.8;18.808333;10.7;65.541667;28;6.8;1.216667;
2006-07-06;0;958.495833;11.454167;28.7;18.854167;10.2;66.708333;33;7.4;1.291667;
2006-07-07;0;957.195833;11.6375;29.4;19.9625;11.1;63.375;28;7.9;1.4625;
2006-07-08;0;954.925;12.454167;31.2;21.295833;12;61.833333;28;8.7;1.204167;
2006-07-09;0;954.1;14.166667;31.9;22.870833;15.8;61.583333;31;8;1.45;
2006-07-10;0;954.233333;14.583333;31.8;22.225;13.8;67.083333;31;5.1;.695833;
2006-07-11;0;955.504167;12.691667;31.8;22.6375;15.8;59.75;24;9;1.8375;
2006-07-12;0;956.929167;10.1875;29.1;21.670833;16;51.166667;24;13.3;3.820833;
2006-07-13;0;958.15;12.141667;28;20.3125;13.4;61.791667;36;10.4;2.758333;
2006-07-14;0;958.316667;11.479167;28.5;20.429167;13.6;61.208333;27;9.6;2.308333;
2006-07-15;0;959.2875;8.55;27.7;19.345833;11.5;54.541667;22;8.1;1.908333;
2006-07-16;0;958.570833;9.358333;28.2;19.204167;12.4;57.666667;25;10.5;2.520833;
2006-07-17;0;958.683333;11.383333;28;17.466667;10.8;68.875;37;9.9;1.208333;
2006-07-18;.2;956.879167;12.125;28.3;19.591667;13.2;66.25;32;7.5;1.079167;
2006-07-19;0;956.179167;10.8375;29;19.395833;11.6;64.541667;25;5.6;.958333;
2006-07-20;0;956.141667;8.604167;29.9;19.05;9;58.791667;22;5.8;.6;
