Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2006-07-27
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-27;null;null;null;null;null;null;null;null;null;null;
2006-07-28;null;null;null;null;null;null;null;24;6.4;null;
2006-07-29;null;896.716667;9.916667;26.9;21.408333;17.8;48.75;33;11;3.279167;
2006-07-30;0;899.875;13.5125;20.6;15.7375;14.5;87.291667;59;8.7;2.745833;
2006-07-31;0;903.529167;12.770833;17;13.291667;11.4;96.791667;81;7.3;2.645833;
2006-08-01;0;904.341667;14.208333;26.8;17.7625;11.9;83.25;38;8.5;2;
2006-08-02;10;903.6625;14.95;24.6;17.870833;14.4;84.916667;49;7.8;1.779167;
2006-08-03;0;903.045833;15.566667;22.4;17.025;14.6;91.791667;70;8.1;2.620833;
2006-08-04;1;902.104167;14.675;25.3;17.725;14.2;85.333333;44;6.5;1.9875;
2006-08-05;0;902.416667;13.983333;24.4;17.758333;14.5;81.583333;43;7.6;1.8625;
2006-08-06;0;902.370833;12.625;25.3;18.791667;13.9;69.5;38;7.7;2.1125;
2006-08-07;0;902.204167;12.15;24.6;18.770833;13.9;66.875;41;8.2;2.008333;
2006-08-08;0;902.125;7.991667;27.8;18.720833;12.8;55.541667;13;9.4;2.4375;
2006-08-09;0;901.3375;7.133333;27.1;18.791667;12;50.833333;21;9.2;2.6;
2006-08-10;0;901.670833;12.15;27.1;19.570833;14.2;65.625;30;9.4;1.729167;
2006-08-11;0;901.716667;11.5875;26;19.4125;14.3;64.75;30;9.9;2.733333;
2006-08-12;0;901.808333;10.670833;25.4;18.645833;13.9;61.291667;38;8.3;2.120833;
2006-08-13;0;901.433333;10.854167;26.3;19.091667;14;61.583333;33;7.2;1.841667;
2006-08-14;0;900.308333;11.0125;26.5;19.691667;14.3;60;32;9.8;2.870833;
2006-08-15;0;900.371429;11.252381;27.6;null;15.2;60.285714;31;8.5;2.238095;
2006-08-16;null;899.991667;11.291667;28.7;21.070833;15.1;58.291667;27;8.1;1.8;
2006-08-17;0;900.458333;10.845833;29.9;22.629167;14.4;50.541667;24;10.2;2.104167;
2006-08-18;0;900.241667;13.245833;26;19.941667;14.9;67.791667;41;8.5;3.154167;
