Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2006-07-15
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-07-15;null;null;null;null;null;null;null;null;null;null;
2006-07-16;null;null;null;null;null;null;null;null;null;null;
2006-07-17;null;null;null;null;null;null;null;39;4.1;null;
2006-07-18;null;null;9.2875;24.6;16.5625;8.4;64.958333;34;7.3;1.25;
2006-07-19;0;929.679167;7.204167;26.7;16.6;7.4;60.125;20;6.3;.970833;
2006-07-20;0;null;null;27.1;null;7.3;66;23;7.2;null;
2006-07-21;null;null;null;null;null;null;null;null;null;null;
2006-07-22;null;null;null;null;null;null;null;22;8.2;null;
2006-07-23;0;929.208333;5.441667;28.3;18.341667;7.7;48.833333;17;5.3;1.016667;
2006-07-24;0;929.266667;5.925;28.1;18.0625;8.4;49.916667;21;9.6;1.729167;
2006-07-25;0;927.933333;3.979167;28.7;18.891667;10;42.875;14;8.1;1.258333;
2006-07-26;0;927.366667;5.541667;28.8;18.2;7.3;47.5;22;6.2;1.0125;
2006-07-27;0;927.166667;6.979167;30.3;19.616667;8.5;48.416667;21;7.1;1.204167;
2006-07-28;0;926.7625;9.341667;31.3;20.895833;12.4;51.833333;24;6.9;1.079167;
2006-07-29;0;925.066667;12.8875;28.9;20.620833;14;64;36;9;1.520833;
2006-07-30;5.6;927.583333;16.5375;26;19.854167;16.3;83.416667;52;7;1.3;
2006-07-31;0;930.966667;14.9125;26.5;19.3875;15.3;77.208333;47;5.7;1.7875;
2006-08-01;0;932.370833;14.808333;28.4;20.583333;14.9;72.583333;39;7.1;1.816667;
2006-08-02;0;931.85;13.0125;29.1;20.4375;13;67.541667;28;8.1;1.5625;
2006-08-03;0;930.920833;12.4625;29.5;20.3375;13.3;65.083333;28;8.2;2.070833;
2006-08-04;0;930.3375;11.116667;29.3;20.075;10.9;61.125;28;6.8;1.3875;
2006-08-05;0;930.433333;10.145833;29.3;20.2375;11.1;56.708333;27;8.8;1.529167;
2006-08-06;0;930.270833;9.45;29.7;20.445833;11.8;54.083333;25;7.7;1.216667;
2006-08-07;0;929.745833;10.208333;28.3;20.479167;14.3;53.541667;32;9.5;2.058333;
2006-08-08;0;929.683333;8.841667;28.1;19.45;12.6;55.958333;22;10.3;1.833333;
2006-08-09;0;928.866667;6.125;29.1;19.429167;9.9;44.75;21;11.6;1.320833;
2006-08-10;0;929.175;9.183333;30.7;20.820833;11.4;52;23;7.4;1.045833;
2006-08-11;0;929.045833;9.029167;29.3;21.704167;13.6;47.541667;24;11;1.708333;
2006-08-12;0;929.320833;9.966667;28.5;20.554167;12.7;53.541667;28;9.8;2.05;
2006-08-13;0;929.095833;9.766667;29.1;21.116667;12.9;50.916667;28;7.8;1.525;
2006-08-14;0;927.779167;10.4375;30.1;21.925;14.6;51.041667;25;14;1.820833;
2006-08-15;0;927.785714;9.9;30.3;null;14.2;51.47619;23;7.1;1.17619;
2006-08-16;null;927.45;8.058333;32;22.541667;13;43.333333;18;7.1;1.3125;
