Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2006-08-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-16;null;null;null;null;null;null;null;null;null;null;
2006-08-17;null;null;null;null;null;null;null;22;8.7;null;
2006-08-18;0;917.15;9.720833;30.1;22.9375;13.9;45.958333;24;8.5;1.8;
2006-08-19;0;915.1875;10.370833;29.7;22.866667;14.2;48.041667;27;10.4;2.529167;
2006-08-20;0;915.870833;13.608333;25.1;19.545833;16;69.5;37;14.2;1.016667;
2006-08-21;4.4;916.9125;7.8375;27.4;19.258333;12.3;57.083333;13;21.3;1.020833;
2006-08-22;0;918.725;8.279167;26.5;17.441667;8.4;59.083333;22;9.8;1.9625;
2006-08-23;0;919.383333;10.2125;27.8;19.708333;12.1;60.083333;19;8.7;1.954167;
2006-08-24;0;919.7125;8.820833;28.7;20.670833;12.1;51.708333;19;7;1.045833;
2006-08-25;0;919.416667;7.808333;27.5;21.4125;12.2;44.5;21;8.4;2.075;
2006-08-26;0;916.945833;9.883333;28;21.516667;14.4;50.041667;23;11.8;3.004167;
2006-08-27;3;914.858333;13.395833;26.1;20.395833;16.1;65.666667;42;11;3.375;
2006-08-28;4;916.004167;14.808333;22.6;18.625;15.2;79.291667;61;6.4;1.545833;
2006-08-29;1.6;916.958333;14.054167;26.4;20.15;16.4;72.416667;33;7.3;1.475;
2006-08-30;0;919.545833;9.654167;24;17.170833;11.9;63.583333;41;10.6;3.991667;
2006-08-31;0;919.175;10.5;26.3;18.066667;9.4;62.958333;42;9.3;2.533333;
2006-09-01;0;915.9375;12.858333;28.5;21.6375;14.4;59.416667;37;9.6;1.9375;
2006-09-02;13.6;913.675;15.579167;23;17.616667;17.3;88.291667;59;12.7;2.7625;
2006-09-03;9;913.558333;15.3;24.9;18.3125;14.7;84.541667;47;8.4;1.3625;
2006-09-04;.2;915.608333;13.708333;23.5;18.175;14.2;76.75;53;8.5;1.4125;
2006-09-05;0;919.045833;7.870833;23;16.954167;12.1;59.291667;29;7.8;1.658333;
2006-09-06;0;921.408333;9.054167;19.5;13.908333;8.8;73.625;43;9.6;3.683333;
2006-09-07;0;921.4875;10.616667;21.7;16.375;12.9;69.583333;53;8.1;2.7125;
2006-09-08;0;921.041667;10.5375;25.2;18.558333;11.9;62.583333;31;10.6;2.304167;
2006-09-09;0;919.875;9.4125;24.6;18.533333;11.9;57.25;32;10.6;2.8875;
2006-09-10;0;920.170833;9.441667;26.6;19.5625;11.3;55.208333;26;9;1.533333;
2006-09-11;0;920.5125;10;29;21.7875;13.1;51.125;24;9.6;2.145833;
2006-09-12;0;919.333333;11.283333;29.7;22.704167;15.2;51.541667;28;6.6;1.970833;
2006-09-13;0;918.033333;8.704167;29.6;22.595833;13.5;44.458333;22;9;1.870833;
2006-09-14;0;917.383333;7.666667;30.1;23.020833;15.5;39.625;21;9.9;2.129167;
2006-09-15;0;917.05;8.608333;31.9;23.729167;14.2;41.333333;19;10.8;2;
2006-09-16;0;915.795833;8.395833;32.3;24.925;16.1;37.291667;21;10.1;2.195833;
2006-09-17;0;916.558333;13.5875;28.8;23.083333;15.9;57.208333;33;10.1;2.066667;
2006-09-18;0;916.1;15.045833;25.9;20.966667;18.2;69.791667;43;9.5;2.491667;
2006-09-19;0;915.9;14.583333;28.1;21.395833;16.7;67.666667;40;7.3;2.6875;
2006-09-20;0;914.075;15.9;29.8;21.65;15.9;72.75;42;20.5;3.629167;
2006-09-21;21.8;914.5875;17.583333;24.3;19.533333;17;88.916667;69;10.3;3.3375;
2006-09-22;7.8;916.808333;17.341667;27.6;20.45;17.8;83.541667;50;13.3;1.195833;
2006-09-23;1.2;915.979167;16.4375;29.7;21.695833;16.7;75.416667;38;10.1;1.991667;
