Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-24;null;null;null;null;null;null;null;null;null;null;
2006-08-25;null;null;null;null;null;null;null;36;11;null;
2006-08-26;.2;964.933333;14.416667;26.5;20.929167;17.7;68.625;39;9.8;2.745833;
2006-08-27;0;961.683333;15.141667;28.9;22.266667;16.2;67.208333;38;9;2.108333;
2006-08-28;0;960.691667;14.416667;32.4;24.3625;17.1;58.041667;28;8.4;1.5125;
2006-08-29;0;961.4125;16.308333;28.5;23.958333;19.8;64.375;39;7.1;1.2375;
2006-08-30;.2;966.254167;13.875;25.1;19.645833;15.9;70.416667;52;8.1;2.8625;
2006-08-31;0;967.2625;9.479167;24.2;19.154167;16.2;55;34;8.8;2.391667;
2006-09-01;0;963.804167;11.045833;26;19.320833;13.3;61.541667;36;8.1;1.591667;
2006-09-02;0;959.2875;11.054167;29.9;21.270833;12.7;56.791667;29;6.2;1.35;
2006-09-03;0;957.5;12.670833;31.9;24.645833;16.9;50.25;27;8.3;1.333333;
2006-09-04;0;959.5875;16.75;29.9;24.65;20;62.958333;42;7.5;2.345833;
2006-09-05;6.6;963.986957;18.495652;25.9;19.686957;19.9;92.956522;56;9.2;2.33913;
2006-09-06;7;969.420833;13.741667;16.9;14.558333;13.5;94.833333;85;8.6;1.354167;
2006-09-07;1.8;969.6625;14.204167;18.5;15.725;13.8;90.916667;78;4.9;.758333;
2006-09-08;2;969.195833;13.945833;21.9;17.575;15;80.916667;54;8.6;1.958333;
2006-09-09;0;967.720833;13.5375;21;17.325;12.8;78.958333;66;8.1;1.345833;
2006-09-10;.4;967.345833;16.245833;23.5;20.016667;16.8;79.625;63;5.7;1.504167;
2006-09-11;.2;967.608333;15.95;27.7;21.9125;18.6;72.208333;36;8.6;3.216667;
2006-09-12;.2;966.820833;14.804167;26.8;20.825;16.9;71;38;8.6;2.170833;
2006-09-13;0;965.179167;13.1875;27.2;21.691667;17;62.208333;31;9.8;2.133333;
2006-09-14;0;964.854167;14.820833;26.5;21.8125;17.5;66.916667;40;8.6;2.458333;
2006-09-15;0;964.266667;16.270833;29.4;23.154167;19.3;68.083333;38;7.4;2.358333;
2006-09-16;0;962.35;15.654167;31;24.454167;20.3;62.375;30;6.6;2.3375;
2006-09-17;0;963.1125;14.075;29.9;23.783333;19.4;59.541667;26;10.2;2.083333;
2006-09-18;0;961.641667;16.241667;31.6;23.891667;19.7;67.041667;31;15;2.2625;
2006-09-19;38.8;962.775;18.779167;24;20.9;17.9;88.208333;71;15.5;1.891667;
2006-09-20;0;961.8875;18.820833;25.5;21.2875;18.9;86.25;68;8.4;2.575;
2006-09-21;2;960.575;19.254167;27.3;22.816667;19.8;81.541667;59;11.3;1.733333;
2006-09-22;.4;962.179167;19.358333;24.6;21.208333;20.4;89.333333;69;7.4;.604167;
2006-09-23;11.4;961.775;19.75;27.7;22.829167;19.7;84;62;7.1;1.7875;
2006-09-24;0;959.883333;20.179167;29.6;23.395833;20.5;83.166667;53;11.6;1.445833;
2006-09-25;1.2;964.304167;18.483333;23.7;19.345833;18.5;94.541667;86;6.5;1.695833;
2006-09-26;2;967.4375;16.85;20.7;18.7125;17.8;89.041667;74;5.9;1.6375;
2006-09-27;.2;969.304167;14.85;21.2;18.3;16.5;80.791667;66;7.7;2.041667;
2006-09-28;.2;967.031818;13.140909;22;18.768182;15.9;70.272727;57;6.6;1.609091;
2006-09-29;0;963.766667;14.720833;28.6;21.154167;14.6;69.791667;39;6.7;1.15;
2006-09-30;0;964.191667;16.408333;28.6;22.895833;18.7;69.541667;39;10;2.245833;
2006-10-01;0;965.116667;16.016667;26.7;22.479167;19;68;48;10.5;2.8875;
2006-10-02;0;962.929167;16.283333;26.1;22.158333;18.7;70.75;50;8.4;2.1625;
2006-10-03;0;960.75;18.170833;27.1;22.183333;19.1;79.083333;54;6.5;1.579167;
2006-10-04;0;960.3875;19.6;28.1;23.929167;21.1;78;55;10.7;2.5375;
2006-10-05;.6;962.829167;17.825;29.2;23.75;19.7;72.208333;45;10.5;3.75;
2006-10-06;.2;962.95;18.679167;27;22.408333;19.4;80.333333;57;9.9;3.245833;
