Nome: MARIA DA FE
Codigo Estacao: A531
Latitude: -22.314567
Longitude: -45.373049
Altitude: 1281.43
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-30;null;null;null;null;null;null;null;null;null;null;
2006-12-01;null;null;null;null;null;null;null;56;6.4;null;
2006-12-02;null;874.970833;13.779167;25.8;18.325;10.4;77.041667;51;7.7;1.041667;
2006-12-03;0;874.745833;15.908333;27.1;20.1125;15.3;78.458333;47;5.8;1.154167;
2006-12-04;0;874.465217;17.065217;25.5;20.308696;15.7;82.608696;57;9;1.495652;
2006-12-05;null;875.121053;16.747368;21.9;null;16.1;93;70;7.1;.752632;
2006-12-06;9.8;873.533333;17.295833;23.6;19.3125;17.1;88.791667;65;5.4;.804167;
2006-12-07;0;870.308333;16.025;24.1;19.5625;16.5;81.125;56;7.1;1.091667;
2006-12-08;0;871.354167;13.125;24.9;17.2875;9.8;79.416667;45;6;.775;
2006-12-09;0;871.883333;16.654167;21.7;18.441667;14.4;89.375;76;6;1.004167;
2006-12-10;1.8;871.916667;16.933333;25.2;19.879167;16.2;84.125;58;6.4;.995833;
2006-12-11;1;873.3375;15.708333;24.2;19.345833;14;80.166667;58;7.7;1.045833;
2006-12-12;2.2;874.591667;15.5875;24.2;19.554167;13.8;78.666667;59;7.3;1.3625;
2006-12-13;0;874.441667;16.191667;25.1;19.5875;13.1;81.875;57;6.5;1.3;
2006-12-14;8.2;874.570833;17.420833;23.2;19.291667;17.4;89.25;71;8.3;1.5125;
2006-12-15;20.4;874.466667;17.933333;22.3;18.929167;17.7;94.166667;82;6.4;1.079167;
2006-12-16;12.4;874.158333;16.883333;25.5;19.45;16.3;85.916667;60;6.6;1.295833;
2006-12-17;0;874.508333;17.570833;26.9;20.229167;16.8;85.833333;55;6.1;.9375;
2006-12-18;8;874.070833;16.566667;27.6;21.5625;17.1;75.375;47;6.8;1.1875;
2006-12-19;0;873.991667;16.75;26.6;20.958333;17;78.166667;52;6.6;1.0625;
2006-12-20;0;874.408333;17.5;25.4;19.420833;16;89.041667;62;8.5;.9;
