Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-01;null;null;null;null;null;null;null;null;null;null;
2007-06-02;null;null;null;null;null;null;null;38;7.6;null;
2007-06-03;4;919.0125;14.458333;28.6;20.45;14.3;71.916667;38;16.3;2.2125;
2007-06-04;0;920.2375;14.220833;24.8;19.325;15.8;73.666667;45;7.3;2.483333;
2007-06-05;.2;922.608333;13.020833;20.7;16.329167;14;81.375;63;6.9;2.120833;
2007-06-06;0;922.204167;14.358333;23.4;17.129167;14.7;84.583333;59;4.8;1.1875;
2007-06-07;0;921.45;13.6625;25.6;17.8875;10.9;79.5;47;5.6;1.2625;
2007-06-08;.2;922.025;13.804167;24.2;17.395833;11.6;81.708333;49;7.4;.975;
2007-06-09;0;922.204167;12.841667;26.1;17.7;9.8;76.5;39;8.6;1.55;
2007-06-10;0;922.533333;12.625;25.7;17.579167;10.1;76;40;6.6;1.058333;
2007-06-11;null;922.322222;11.988889;25.1;null;9.2;69.277778;39;6.6;1.266667;
2007-06-12;0;922.5625;11.783333;26.4;17.095833;8.2;74.666667;38;8.1;.9875;
2007-06-13;.2;921.520833;13.645833;25.9;17.6375;9.7;80.125;45;6.3;1.370833;
2007-06-14;.2;921.275;14.216667;24.2;16.775;11.4;86.75;51;5.4;1.033333;
2007-06-15;.2;921.270833;12.6625;25.9;17.270833;9.5;78.166667;37;6.6;1.191667;
2007-06-16;0;922.341667;11.125;27.8;18.95;11.3;65.625;30;8.4;1.179167;
2007-06-17;0;923.3375;12.2625;24.8;17.875;11.3;71.875;44;9.2;1.466667;
2007-06-18;.2;924.391667;12.2375;24.9;17.495833;12.4;74.416667;40;6.8;1.208333;
2007-06-19;0;924.7875;11.4125;23.6;16.720833;11;72.583333;46;7.4;1.479167;
2007-06-20;0;925.9;11.75;23.7;16.7125;11;74.375;46;9.5;2.395833;
2007-06-21;0;926.283333;13.454167;23.1;18.554167;15.5;73.625;48;8.3;2.458333;
2007-06-22;0;924.45;11.845833;25.2;17.4375;11.9;72.791667;41;9.4;1.604167;
2007-06-23;0;921.783333;12.266667;25.1;17.733333;11.5;73.25;43;7.2;1.416667;
2007-06-24;0;922.7375;12.641667;25.6;18.2625;11.9;72.875;41;6.4;1.375;
2007-06-25;0;925.175;12.620833;24.1;17.166667;11.7;76.458333;45;10.3;1.516667;
2007-06-26;0;925.804167;13.75;23.2;17.629167;14.2;79.166667;53;7.4;2.245833;
