Nome: FLORESTAL
Codigo Estacao: A535
Latitude: -19.885398
Longitude: -44.416883
Altitude: 753.5
Situacao: Operante
Data Inicial: 2008-06-26
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-26;null;null;null;null;null;null;null;null;null;null;
2008-06-27;null;null;null;null;null;null;60.538462;35;5.4;null;
2008-06-28;23.8;937;8.566667;24.5;14.145833;6.8;73.458333;33;5.3;.379167;
2008-06-29;0;935.8625;10.2875;25.2;15.645833;8.5;73.791667;34;4.7;.491667;
2008-06-30;.2;935.091667;8.5125;26.4;15.433333;7.8;69.583333;21;4.6;.35;
2008-07-01;0;935.379167;7.5125;27;15.175;7.1;67.958333;20;5.1;.329167;
2008-07-02;0;935.808333;9.270833;26.2;15.779167;7.9;70.083333;29;4.8;.454167;
2008-07-03;0;934.408333;11.554167;25.7;18.020833;13.7;69.75;22;5;.320833;
2008-07-04;0;932.716667;9.991667;26.4;17.266667;10.5;68.5;23;6.3;.554167;
2008-07-05;0;934.1625;8.820833;26;14.954167;7.5;71.25;28;6.7;.5875;
2008-07-06;.2;935.6375;7.704167;25.2;14.5875;6.9;69.25;26;5.7;.633333;
2008-07-07;0;936.45;6.633333;24.5;13.454167;4.6;69.583333;30;4.9;.404167;
2008-07-08;.2;935.383333;5.9375;24;12.820833;4.7;69.333333;26;5.2;.483333;
2008-07-09;0;935.5;6.058333;23.4;12.791667;3.9;68.791667;32;7;.758333;
2008-07-10;0;936.995833;9.3375;22.5;14.554167;7.2;73.375;39;5.9;.608333;
2008-07-11;0;938.470833;9.820833;24.2;15.825;8.2;70.291667;40;9.4;.9875;
2008-07-12;0;937.645833;8.329167;24.4;16.045833;10.4;64.625;26;8.6;1.775;
2008-07-13;0;936.275;6.65;23.4;13.408333;5.5;69.166667;26;6.5;.7;
2008-07-14;.2;936.245833;5.820833;24;12.370833;4;69.833333;31;7.7;.779167;
2008-07-15;0;937.804167;6.079167;23.6;12.491667;4;70.333333;29;6.4;.6125;
2008-07-16;.2;937.95;6.0375;23.1;12.0375;3.8;71.5;31;6.9;.65;
2008-07-17;0;934.904167;5.479167;25.3;12.5;3.5;69.041667;24;4.9;.370833;
2008-07-18;.2;933.475;5.745833;26.7;13.254167;3.8;67.75;24;6;.641667;
2008-07-19;0;933.433333;6.441667;28.9;14.925;5.2;65.333333;22;5.4;.466667;
2008-07-20;0;933.833333;7.4875;28.6;15.7125;6.7;65.791667;23;5.4;.445833;
2008-07-21;0;934.095833;8.154167;26.9;15.358333;6.8;67.916667;28;7.4;.6875;
2008-07-22;0;934.220833;7.933333;26.1;15.195833;6.6;68.041667;30;7;.554167;
2008-07-23;.2;933.041667;7.475;28;15.483333;6.3;66.416667;24;5.3;.558333;
2008-07-24;0;932.754167;7.020833;29.6;15.916667;6.3;64.458333;15;5.1;.3625;
2008-07-25;0;932.541667;7.279167;29.6;16.158333;6.6;64.25;20;5.5;.470833;
2008-07-26;0;933.683333;9.445833;28.9;17.170833;8;66.166667;25;5.7;.85;
2008-07-27;0;935.770833;10.558333;26.8;17.570833;10.3;67.958333;26;6.6;.758333;
2008-07-28;0;936.120833;6.470833;28.2;15.370833;6.8;64.5;14;5.7;.483333;
2008-07-29;0;934.616667;4.9;27.1;14.175;4.6;63.125;16;7.5;.504167;
2008-07-30;.2;932.75;5.420833;27.1;14.279167;4.7;63.791667;20;5.9;.695833;
2008-07-31;0;932.208333;7.491667;27.5;15.525;6.7;65.458333;26;6.6;.6625;
2008-08-01;0;931.925;7.8125;27.1;15.975;7.1;65.375;25;6.4;.670833;
