Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2007-07-31
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-07-31;null;null;null;null;null;null;null;null;null;null;
2007-08-01;null;null;null;null;null;null;52.153846;6.2;null;null;
2007-08-02;.2;991.791667;14.029167;25.7;19.475;13.7;72.375;5.4;.754167;null;
2007-08-03;0;991.708333;13.920833;27.9;20.783333;15.1;67.625;6.4;.804167;null;
2007-08-04;0;991.629167;14.758333;27.7;21.616667;16.9;67.291667;5.7;.641667;null;
2007-08-05;0;990.1;15.358333;29.5;22.229167;16.4;68.416667;5.6;.641667;null;
2007-08-06;0;990.686364;17.113636;26.7;21.731818;19.3;76.181818;6.3;.727273;null;
2007-08-07;null;990.53913;14.182609;29;21.83913;16.8;65.347826;6.7;.491304;null;
2007-08-08;0;990.691667;14.991667;29.5;21.9375;16.1;67.666667;6.8;.820833;null;
2007-08-09;0;992.3625;16.070833;29;22.2125;17.7;70.583333;9.8;.966667;null;
2007-08-10;0;992.141667;15.320833;27.4;21.020833;16;72.208333;6.4;.6875;null;
2007-08-11;5.4;991.841667;17;28.8;22.020833;18.7;75.958333;6.1;1.025;null;
2007-08-12;.2;992.675;15.095833;29;21.325;15.1;71.083333;7.6;.958333;null;
2007-08-13;1.8;993.045833;15.633333;27.7;20.891667;16;74.25;9.2;.8125;null;
2007-08-14;1.8;993.3;16.75;26.9;20.2875;17;81.625;7.6;.683333;null;
2007-08-15;7.8;993.516667;15.754167;26.6;20.2875;16.5;77.666667;7.8;.720833;null;
2007-08-16;0;992.241667;14.1125;27.8;20.2125;14.3;71.208333;8.2;.875;null;
2007-08-17;0;991.129167;15.175;25;18.9625;14.2;79.458333;6.5;.466667;null;
2007-08-18;1.8;990.195833;16.425;24.2;18.554167;15.8;87.791667;8.8;.491667;null;
2007-08-19;5.8;990.566667;13.458333;26.5;19.2;13.5;73.416667;5.8;.6625;null;
2007-08-20;0;989.391667;13.595833;28.8;21.020833;15.8;66.75;5.8;.495833;null;
2007-08-21;0;988.958333;14.008333;31.3;21.345833;15;67.416667;6.7;.870833;null;
2007-08-22;0;990.416667;14.525;29.4;21.4875;15.1;67.625;6.5;.841667;null;
2007-08-23;0;989.470833;13.445833;28.2;21.75;17.1;62.916667;6.1;.979167;null;
2007-08-24;0;987.854167;12.5625;29.3;20.970833;14.2;63.25;7;.8375;null;
2007-08-25;0;985.704167;13.141667;30.5;21.541667;13.7;63.75;5.7;.4625;null;
2007-08-26;0;985.016667;15.5125;32.1;23.525;17;65.208333;7.6;.55;null;
2007-08-27;0;983.754167;17.320833;35.6;25.758333;19.5;65.166667;5.7;.529167;null;
2007-08-28;0;986.391667;18.729167;30.9;24.329167;21.4;72.458333;7.8;1.208333;null;
2007-08-29;0;990.320833;16.691667;30;23.616667;19.8;66.791667;8.3;1.158333;null;
2007-08-30;0;992.5625;14.783333;27.1;21.2375;15.3;68.291667;8.2;1.070833;null;
2007-08-31;2;992.9125;17.304167;22.8;19.9;18.2;85.208333;5.5;.2875;null;
2007-09-01;6;991.616667;18.391667;26.1;21.670833;18.5;82.708333;4.8;.483333;null;
2007-09-02;0;991.175;17.004167;30.2;23.3875;18.8;70.75;4.8;.75;null;
2007-09-03;0;992.441667;17.95;28.6;22.970833;20.2;74.5;10.7;1.129167;null;
2007-09-04;1.4;994.245833;17.575;26.2;21.270833;18.4;80.166667;9.7;1.254167;null;
2007-09-05;14.6;994.808333;18.583333;24.4;19.925;18.4;92.083333;11.1;.945833;null;
2007-09-06;12.8;994.029167;17.7;28.1;21.05;17.9;82.375;7.5;.8625;null;
2007-09-07;1.4;992.2375;16.079167;27.7;21.591667;18.1;72.833333;6.6;1.016667;null;
2007-09-08;0;991.016667;14.566667;28.3;21.379167;15.8;68.625;7;.7625;null;
2007-09-09;0;990.479167;14.8125;27.5;21.566667;16.6;68.583333;7;.958333;null;
2007-09-10;0;990.804167;16.0125;28.6;21.5;16.9;73.083333;7.1;1.3125;null;
2007-09-11;.2;991.658333;15.0875;26;20.604167;16.2;72.25;6.8;.8875;null;
2007-09-12;0;991.775;14.379167;27;19.3875;13;75.291667;6.2;.754167;null;
2007-09-13;6.4;990.670833;16.266667;26.5;21.4625;18;74.25;8.2;1.225;null;
2007-09-14;0;989.545833;14.8875;28.7;21.1875;15.6;70.333333;6.4;1.070833;null;
2007-09-15;0;987.504167;14.770833;29.6;22.383333;17.3;66.375;6.1;.791667;null;
2007-09-16;0;985.004167;15.879167;31.2;23.620833;18.6;64.166667;5.8;.8875;null;
2007-09-17;0;985.7125;16.416667;31.6;23.579167;16.7;67.833333;7.2;1;null;
2007-09-18;.2;989.8;15.579167;26.2;21.7;19.3;68.958333;7.7;1.083333;null;
2007-09-19;0;989.820833;12.308333;27.7;21.591667;18.2;57.166667;8.7;.975;null;
2007-09-20;0;987.9625;13.4875;28.7;21.1;14.4;65.708333;7.1;.770833;null;
2007-09-21;0;987.866667;14.025;29.4;22.4;18;61.958333;7.7;.954167;null;
2007-09-22;0;988.05;14.195833;29.9;23.204167;18.8;59.75;8.5;.858333;null;
2007-09-23;0;986.1125;14.333333;31.3;22.995833;15;62.666667;7.5;.9875;null;
2007-09-24;0;983.2625;17.729167;34.1;25.379167;18.6;66.208333;6.1;.625;null;
2007-09-25;0;988.116667;16.104167;30.3;24.154167;22.8;61.583333;8.4;1.779167;null;
