Nome: CHAPADA GAUCHA
Codigo Estacao: A548
Latitude: -15.30027777
Longitude: -45.61749999
Altitude: 873.2
Situacao: Operante
Data Inicial: 2007-06-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-06-21;null;null;null;null;null;null;null;null;null;null;
2007-06-22;null;null;null;null;null;null;null;null;null;null;
2007-06-23;null;918.891667;11.741667;25.8;19.129167;null;63.666667;9.1;2.970833;null;
2007-06-24;0;919.933333;11.379167;26.3;19.983333;13.7;60.166667;9.9;2.391667;null;
2007-06-25;0;921.35;10.854167;26.7;20.029167;14.9;57.583333;9.6;3.1875;null;
2007-06-26;0;921.85;12.45;24.5;19.145833;14.6;66.208333;14;3.7875;null;
2007-06-27;0;921.2625;10.5625;25.9;18.8;13.3;61.125;9.4;3.216667;null;
2007-06-28;0;920.383333;11.954167;25.9;19.529167;15.2;63.291667;9.4;2.966667;null;
2007-06-29;0;921.383333;10.3;26.5;19.654167;13.4;57.041667;9.3;2.708333;null;
2007-06-30;0;922.070833;8.804167;26.9;20.079167;13.3;50.166667;8.2;2.504167;null;
2007-07-01;0;922.666667;8.133333;27.5;20.716667;14.8;46.458333;9.1;2.529167;null;
2007-07-02;0;922.616667;6.0625;26.5;20.091667;14.7;41.958333;10.6;3.425;null;
2007-07-03;0;921.779167;10.566667;27;20.045833;14.9;55.791667;11.4;3.55;null;
2007-07-04;0;921.695833;12.791667;26.1;19.875;15.4;65.208333;8.5;3.375;null;
2007-07-05;0;922.304167;13.4375;26.1;19.758333;15.5;68.333333;8.7;3.420833;null;
2007-07-06;0;921.279167;12.791667;25.4;19.220833;15.5;68.25;9.7;3.579167;null;
2007-07-07;0;919.8375;9.925;26.7;19.141667;12.1;57;9.6;3.245833;null;
2007-07-08;0;919.3;11.108333;27.6;20.391667;14.2;56.416667;11;3.154167;null;
2007-07-09;0;919.820833;13.675;27.9;20.870833;15;65.541667;8.6;3.141667;null;
2007-07-10;0;918.816667;12.775;27.6;20.6375;14;62.5;8.7;3.0625;null;
2007-07-11;0;918.620833;9.658333;27.4;20.825;15.5;50.416667;9.7;3.6125;null;
2007-07-12;0;919.6;9.241667;26.5;20.104167;11.8;50.541667;10.5;3.195833;null;
2007-07-13;0;920.454167;9.308333;26.4;19.383333;13.9;54.333333;9.8;3.229167;null;
2007-07-14;0;919.408333;10.083333;27.1;20.129167;15.1;55.041667;7.3;2.883333;null;
2007-07-15;0;918.066667;7.791667;27.7;20.933333;13.7;44.875;7.8;2.541667;null;
2007-07-16;0;917.1125;7.291667;29.4;22.1875;15.1;39.625;7.1;2.691667;null;
2007-07-17;0;917.170833;8.85;30.1;22.45;15.2;43.791667;8.7;3.233333;null;
2007-07-18;0;916.783333;9.704167;30.8;22.916667;15.8;45.458333;10.2;2.783333;null;
2007-07-19;0;916.466667;11.245833;28.9;21.45;14.4;54.25;11.8;3.366667;null;
2007-07-20;0;917.604167;13.120833;29.4;22.1375;15.8;58.583333;12.7;3.675;null;
2007-07-21;0;918.745833;13.1875;28.7;22.395833;16.2;58.458333;9.1;3.691667;null;
2007-07-22;0;917.4;11.0875;29.3;21.9875;15.9;52.791667;9.6;3.5875;null;
2007-07-23;0;916.504167;8.533333;30.9;22.304167;14.2;43.958333;8.8;3.3125;null;
2007-07-24;0;916.675;8.166667;32;23.658333;15.5;39.541667;8.8;2.8625;null;
2007-07-25;0;917.191667;6.9;31;23.054167;14.9;37.5;10.1;3.504167;null;
2007-07-26;0;919.245833;14.120833;29.1;21.779167;15;65.041667;9.2;3.395833;null;
2007-07-27;0;919.2125;12.041667;29.5;22.179167;15.8;55.75;11.5;3.458333;null;
2007-07-28;0;920.25;13.845455;28.1;21.454545;13.9;63.954545;10;4.163636;null;
2007-07-29;0;920.383333;13.65;27;20.4625;14.3;67;9.5;3.929167;null;
2007-07-30;0;921.191667;11.908333;25.3;18.675;13.9;66.791667;9.8;4.1875;null;
2007-07-31;0;920.916667;7.008333;24.1;17.175;11.4;53.333333;10.1;3.975;null;
2007-08-01;0;920.445833;6.491667;24.5;17.133333;10.9;51.666667;10.7;3.55;null;
2007-08-02;0;921.029167;8.029167;25.5;17.566667;11.6;56;9.2;3.233333;null;
2007-08-03;0;920.883333;9.066667;27;18.983333;11.7;55.625;10.3;3.3875;null;
2007-08-04;0;921.0125;8.841667;28.1;20.683333;15.8;48.75;9.9;3.566667;null;
2007-08-05;0;920.108333;8.879167;28.1;20.845833;12.6;48.541667;8.7;3.358333;null;
2007-08-06;0;919.721739;8.895652;27.7;20.334783;14.1;49.913043;12;4.030435;null;
2007-08-07;0;920.291667;9.041667;27;20.375;15.5;49.916667;12.1;3.875;null;
2007-08-08;0;919.55;9.066667;27.7;20.408333;13.2;49.833333;11.1;3.433333;null;
2007-08-09;0;920.633333;10.320833;26.6;20.195833;14.4;54.875;13.8;4.045833;null;
2007-08-10;0;921.220833;11.045833;26.4;19.883333;12.3;58;13.6;4.470833;null;
