Nome: CAMBUCI
Codigo Estacao: A604
Latitude: -21.58749999
Longitude: -41.95833333
Altitude: 46
Situacao: Operante
Data Inicial: 2002-11-19
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-11-19;null;null;null;null;null;null;null;null;null;null;
2002-11-20;null;null;null;null;null;null;null;null;null;null;
2002-11-21;null;null;null;null;null;null;null;null;null;null;
2002-11-22;null;null;null;null;null;null;null;null;null;null;
2002-11-23;null;null;null;null;null;null;null;null;null;null;
2002-11-24;null;null;null;null;null;null;null;null;null;null;
2002-11-25;null;null;null;null;null;null;null;null;null;null;
2002-11-26;null;null;null;null;null;null;null;null;null;null;
2002-11-27;null;null;null;null;null;null;null;null;null;null;
2002-11-28;null;null;null;null;null;null;null;null;null;null;
2002-11-29;null;null;null;null;null;null;null;null;null;null;
2002-11-30;null;null;null;null;null;null;null;null;null;null;
2002-12-01;null;null;null;null;null;null;null;null;null;null;
2002-12-02;null;null;null;null;null;null;null;null;null;null;
2002-12-03;null;null;null;null;null;null;null;null;null;null;
2002-12-04;null;null;null;null;null;null;null;null;null;null;
2002-12-05;null;null;null;null;null;null;null;null;null;null;
2002-12-06;null;null;null;null;null;null;null;null;null;null;
2002-12-07;null;null;null;null;null;null;null;null;null;null;
2002-12-08;null;null;null;null;null;null;null;null;null;null;
2002-12-09;null;null;null;null;null;null;null;null;null;null;
2002-12-10;null;1007.865;21.76;28.8;null;null;83.25;67;8.4;2.09;
2002-12-11;null;1008.279167;21.3375;28.2;25.379167;23.4;78.708333;64;7.2;1.4875;
2002-12-12;17.8;1006.345833;21.541667;25.1;23.533333;22.8;88.5;70;6.7;1.016667;
2002-12-13;42.2;1005.53913;21.352174;24.8;23.573913;22.6;87.478261;78;5.3;.795652;
2002-12-14;7.4;1006.679167;21.6;27.7;24.829167;22.9;82.5;66;5.4;1.1375;
2002-12-15;1.4;1006.3125;21.7375;29.3;25.083333;22.5;82.083333;64;5.5;1.029167;
2002-12-16;2.8;1005.172727;21.813636;28.2;24.863636;23.3;83.863636;50;7.7;.986364;
2002-12-17;2;1003.63913;20.565217;33.4;26.782609;21.8;71.130435;43;10.8;1.9;
2002-12-18;null;null;null;31.5;null;null;59;44;9.2;null;
2002-12-19;0;1009.03;18.955;29.6;null;19.9;72.6;53;6.1;1.535;
2002-12-20;null;1007.241667;21.0375;33.8;26.429167;20.3;74;48;7.3;1.541667;
2002-12-21;0;1006.783333;21.375;34.3;27.829167;23.1;69.416667;45;11.3;1.5875;
2002-12-22;0;1006.791667;21.6375;31.7;26.8;23.8;74.25;55;10.4;2.241667;
2002-12-23;0;1005.85;20.8125;31.7;26.241667;20.9;72.708333;55;7.8;2.120833;
