Nome: RESENDE
Codigo Estacao: A609
Latitude: -22.45138888
Longitude: -44.44499999
Altitude: 438.83
Situacao: Operante
Data Inicial: 2006-09-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-28;null;null;null;null;null;null;null;null;null;null;
2006-09-29;null;null;null;null;null;null;null;31;12.9;null;
2006-09-30;null;969.420833;16.808333;22.9;19.375;17.5;85.75;67;8.3;2.3625;
2006-10-01;0;968.558333;17.025;24.1;19.816667;17.4;84.583333;64;6;2.266667;
2006-10-02;.2;964.554167;17.85;20.2;19.1375;18.1;92.291667;85;3.9;1.058333;
2006-10-03;6.4;962.425;18.433333;29;21.820833;18.8;83.041667;47;13.3;1.779167;
2006-10-04;61.6;963.070833;19.420833;28.2;22.0125;18.7;86.166667;62;10.5;2.008333;
2006-10-05;0;963.295833;19.858333;31.4;24.633333;20.7;76.916667;46;10.6;1.645833;
2006-10-06;.2;963.029167;20.0875;31.3;23.845833;19.9;81.791667;47;7;1.5625;
2006-10-07;29;964.829167;20.195833;24.5;21.691667;20.4;91.458333;76;6.4;1.6;
2006-10-08;9.2;965.716667;19.075;22.5;20.295833;19.1;92.875;83;7.9;2.075;
2006-10-09;4.2;968.6625;17.4125;25;20.875;18.1;81.5;61;7.7;2.675;
2006-10-10;0;968.908333;17.675;25.6;21.170833;18.2;81.291667;62;6.8;2.583333;
2006-10-11;0;964.583333;16.8375;29.3;22.266667;15.6;74;45;6.4;1.3125;
2006-10-12;.2;961.004167;17.866667;29.9;22.666667;17;76.833333;46;8.8;1.458333;
2006-10-13;11.4;961.104167;19.7625;25.5;21.916667;19.9;88;68;8;1.3875;
2006-10-14;2;962.483333;18.8375;27.5;22.970833;19.8;78.666667;56;8;1.9375;
2006-10-15;0;962.154167;18.866667;31.4;25.104167;20;70.625;43;7.4;2.004167;
2006-10-16;0;961.725;19.3375;32.5;24.316667;19.5;75.75;41;10;1.691667;
2006-10-17;32.2;963.070833;20.429167;28.1;23.104167;21;86.041667;58;10.6;1.825;
2006-10-18;7.6;963.516667;18.5;25.7;21.225;19.8;84.916667;64;8.3;2.875;
2006-10-19;4.2;961.9625;17.891667;20.5;18.883333;17.7;93.916667;88;6.1;1.795833;
2006-10-20;10.2;964.366667;16.770833;21.9;19.016667;18.1;87.291667;70;7.4;2.2625;
2006-10-21;.4;968.370833;14.495833;19.5;16.733333;15.3;86.791667;69;8.3;2.1;
2006-10-22;.8;967.933333;13.833333;23.8;17.954167;13.7;78.166667;53;8.8;2.295833;
2006-10-23;2.4;969.708333;13.983333;22.4;17.675;13.2;79.958333;57;9.1;2.483333;
2006-10-24;0;969.095833;13.7375;26.1;20.491667;14.4;66.833333;46;10.7;3.691667;
2006-10-25;0;966.920833;14.854167;29.7;22.204167;14.7;66;32;7.5;1.7875;
2006-10-26;0;962.375;15.725;33.6;24.625;15.9;63;26;8.9;1.895833;
2006-10-27;0;959.183333;17.891667;27.3;22.633333;20.4;75.083333;54;12.6;2.625;
2006-10-28;0;960.616667;13.3375;31.3;22.075;17.5;65.208333;16;12.3;4.2;
2006-10-29;0;961.316667;13.35;28.8;21.125;14.5;64.333333;34;10.4;2.875;
2006-10-30;0;958.991667;16.308333;31.7;23.029167;17.9;68.083333;36;10.2;2.3125;
2006-10-31;0;958.833333;18.254167;33.8;24.175;18.2;71.666667;43;11.4;1.9125;
2006-11-01;8.8;960.1125;20.020833;31.1;23.5;19.4;82.458333;53;11.5;2.004167;
2006-11-02;24.4;960.529167;20.8875;26.3;22.395833;20.5;91.5;72;4.4;1.333333;
2006-11-03;53;961.375;20.320833;29.4;22.991667;20;86.125;49;8.3;2.025;
2006-11-04;.2;962.316667;18.7;28;23.654167;21.1;74.916667;53;9.2;3.0625;
2006-11-05;0;963.604167;15.841667;27.5;22.116667;17.8;69.5;41;10.1;2.825;
2006-11-06;0;959.8875;18.25;30.6;23.3375;17.4;74.625;50;6.9;1.895833;
2006-11-07;0;958.5;18.391667;29.2;24.4875;20.2;70.625;46;17;4.675;
2006-11-08;0;963.070833;14.729167;23.2;19.316667;18.4;75.541667;58;8.3;2.8;
2006-11-09;.6;963.245833;14.283333;22.3;18.491667;15.4;77.416667;57;8.3;2.125;
2006-11-10;8.2;963.504167;13.8375;18.2;15.333333;14.8;90.791667;80;6.7;1.679167;
2006-11-11;12.4;965.318182;13.309091;18.6;14.8;11.6;91.136364;68;6.4;1.627273;
2006-11-12;3.8;968.870833;12.466667;22.5;17.166667;12.3;75.416667;43;6.6;1.695833;
2006-11-13;.8;970.4875;14.866667;25;19.016667;16;78.041667;48;9;1.991667;
2006-11-14;11.4;967.366667;16.9625;24;19.475;16.7;86.25;63;7.7;1.65;
2006-11-15;3.4;964.629167;18.375;29.2;22.366667;17.9;80.333333;47;7.9;1.570833;
2006-11-16;6.2;964.9625;18.95;30.7;23.7;19.4;76.791667;47;9.3;1.541667;
2006-11-17;0;963.541667;18.158333;33.5;25.333333;18;68.541667;28;4.2;1.095833;
2006-11-18;0;962.2;19.783333;32.5;25.083333;19.6;74;45;9.4;1.870833;
2006-11-19;.4;962.5875;20.2875;30.8;24.783333;21.2;77.583333;52;10.1;1.7875;
2006-11-20;37.4;961.091667;19.6125;31.5;22.9875;19.3;83.333333;45;15;1.979167;
2006-11-21;43.8;963.6;18.4875;26.3;22.2375;19.4;80.333333;59;10.3;3.6125;
2006-11-22;0;962.879167;18;30;23.033333;19.2;74.458333;48;11.1;2.258333;
2006-11-23;0;962.804167;18.2375;30.1;23.295833;19.7;74.791667;39;10.6;2.016667;
2006-11-24;0;963.4125;19.258333;32.5;24.325;19.8;74.666667;45;9.8;2.3;
2006-11-25;2.2;961.8125;19.941667;33.8;25.858333;20;72.708333;39;10;1.958333;
2006-11-26;26.8;961.5;20.845833;28.5;23.566667;20.4;85.208333;63;9.2;2.108333;
2006-11-27;1.4;959.833333;21.041667;29.4;23.529167;21.2;86.583333;58;8.3;1.375;
2006-11-28;4.6;957.891667;20.8;32.4;25.0875;21;79.208333;45;9.2;1.6875;
2006-11-29;19.8;958.0875;21.195833;30.2;23.670833;21.3;87.125;59;9.7;1.3375;
2006-11-30;10.6;960.1875;21.3875;27.7;23.170833;21.8;90.041667;69;8.4;1.720833;
2006-12-01;5;964.8625;18.308333;24.9;21.533333;19.5;82.416667;63;9.2;2.270833;
2006-12-02;2.2;965.404167;17.570833;26.4;21.845833;17.9;78.041667;56;9.3;2.895833;
2006-12-03;0;963.470833;18.304167;31;24.0875;19.5;71.666667;47;7.6;2.058333;
2006-12-04;0;962.356522;19.556522;32.6;23.756522;18.4;78.826087;44;10.9;1.717391;
2006-12-05;22.4;963.191667;20.666667;26.7;23.05;20.8;87.125;64;3.5;1.245833;
2006-12-06;.2;960.216667;20.591667;31.8;25.179167;21.3;77.875;47;10.5;1.45;
2006-12-07;.2;957.820833;19.791667;29.5;23.7875;20.7;79.625;54;11.2;2.629167;
2006-12-08;0;960.366667;17.675;29.3;22.9375;19.2;73.791667;43;9;2.708333;
2006-12-09;0;961.0375;18.533333;24.4;21.654167;19.3;82.666667;75;7.2;1.683333;
2006-12-10;2.6;961.275;19.441667;27.3;22.616667;19.9;83;62;8.9;2.733333;
2006-12-11;0;963.6375;18.654167;24.5;21.395833;19.6;84.75;70;7.5;2.708333;
2006-12-12;5.6;965.3;18.045833;26.9;21.4;17.5;82.5;58;8.8;2.629167;
2006-12-13;1;963.8375;19.183333;29.7;23.775;19.5;77.458333;50;9.1;2.875;
2006-12-14;3.2;962.495833;21.070833;29.5;23.720833;21.5;85.833333;60;9.5;1.808333;
2006-12-15;10;962.270833;21.4625;29.2;23.870833;21.6;87;64;20.5;1.7875;
2006-12-16;80.8;961.770833;20.291667;31.5;24.85;20.2;78.375;46;10;1.925;
2006-12-17;0;962.291667;19.808333;32.2;25.675;20;72.458333;41;7.9;1.904167;
2006-12-18;0;961.4875;19.291667;33.4;26.1;20.5;69.083333;34;7.1;2.016667;
