Nome: PICO DO COUTO
Codigo Estacao: A610
Latitude: -22.46472222
Longitude: -43.29138888
Altitude: 1777
Situacao: Pane
Data Inicial: 2006-10-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-21;null;null;null;null;null;null;null;null;null;null;
2006-10-22;null;null;null;null;null;null;null;null;null;null;
2006-10-23;null;null;null;null;null;null;null;null;null;null;
2006-10-24;null;null;null;null;null;null;null;null;null;null;
2006-10-25;null;null;null;null;null;null;null;null;null;null;
2006-10-26;null;null;null;null;null;null;null;null;null;null;
2006-10-27;null;null;null;null;null;null;null;null;null;null;
2006-10-28;null;822.372727;7.422727;15.4;10.722727;null;81.272727;39;18.8;7.677273;
2006-10-29;2.6;822.808333;10.583333;15.9;10.8875;8.4;97.916667;88;16.5;4.9875;
2006-10-30;.2;822.166667;12.216667;20.7;14.666667;10.8;86.791667;53;16;5.4125;
2006-10-31;0;823.3625;14.645833;23.5;16.529167;12.7;89.5;46;16.2;6.270833;
2006-11-01;11.4;824.604167;14.8875;21.7;16.541667;13.5;90.416667;67;19.3;7.295833;
2006-11-02;24.6;824.333333;15.1;16.8;15.354167;14;98.5;87;21.7;7.704167;
2006-11-03;4.6;824.8125;15.254167;17.9;15.383333;14.1;99;98;14.1;3.795833;
2006-11-04;34;825.054167;13.675;17.5;13.8;13.1;99;97;11.6;6.3;
2006-11-05;0;825.304348;11.726087;18.7;13.073913;7.7;91.956522;66;11.9;3.634783;
2006-11-06;.6;823.158333;14.008333;18;14.2875;11.4;98.291667;90;20.1;7.195833;
2006-11-07;.8;822.433333;14.3125;16.8;14.429167;13.9;99.25;93;21.3;7.591667;
2006-11-08;41.6;823.566667;9.5375;12.7;9.5625;8.3;100;99;17.7;7.1;
2006-11-09;2.6;823.4625;9.370833;12.8;9.3875;6.7;99.958333;99;11.3;2.929167;
2006-11-10;8.4;822.55;7.920833;11;7.925;6.5;100;99;15.5;6.054167;
2006-11-11;19.2;824.081818;7.054545;9.4;7.054545;4;100;100;13.5;7.559091;
2006-11-12;11;827.75;7.3875;13.2;7.925;3.3;96.708333;80;13.7;5.233333;
2006-11-13;1.6;829.716667;9.808333;13.9;9.9125;7.5;99.291667;92;14.3;5.479167;
2006-11-14;15.6;827.595833;11.8;15.8;11.841667;9.3;100;99;16.7;5.716667;
2006-11-15;50.8;826.754167;11.975;16.5;13.0625;11.1;93.583333;73;19.8;8.208333;
2006-11-16;2;827.895833;13.866667;20;14.6875;11.3;95;78;24.3;9.2;
2006-11-17;0;827.945833;13.6625;24;17.308333;13.1;80.666667;49;15.3;4.8875;
2006-11-18;0;826.770833;14.229167;24.5;16.920833;14.3;85.416667;53;16.6;6.666667;
2006-11-19;1;826.420833;14.3125;21.4;16.679167;13;86.708333;69;14.8;3.325;
2006-11-20;13;825.104167;13.608333;22.5;17.2;13.1;81;52;15.1;5.0125;
