Nome: VALENCA
Codigo Estacao: A611
Latitude: -22.35805555
Longitude: -43.69555555
Altitude: 370
Situacao: Operante
Data Inicial: 2006-09-26
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-26;null;null;null;19.6;null;null;null;3;5.4;null;
2006-09-27;0;981.708333;13.329167;24.9;18.729167;15.7;73.625;40;7.1;.9875;
2006-09-28;0;977.477273;11.827273;26.8;19.786364;13.7;63.090909;36;10.2;2.531818;
2006-09-29;0;975.1125;14.220833;29.4;20.4375;15.9;69.333333;33;13.4;2.45;
2006-09-30;.2;978.266667;17.1125;23.6;19.7;18;85.208333;68;7;1.833333;
2006-10-01;0;977.595833;16.733333;24.5;20.608333;17.6;79.708333;61;6.7;1.191667;
2006-10-02;0;973.904167;17.475;21.8;20.008333;19.3;85.416667;72;9.6;2.345833;
2006-10-03;8.4;971.479167;18.5375;28.7;22.25;19.4;80.708333;53;8;2.141667;
2006-10-04;0;971.670833;19.141667;31.5;24.020833;19.9;76.875;39;7;1.395833;
2006-10-05;0;972.370833;19.104167;31.7;24.345833;19.6;75.125;45;11.3;2.258333;
2006-10-06;1;972.2875;19.416667;31.2;24.391667;21.1;75.666667;47;13.2;2.583333;
2006-10-07;57.4;973.841667;20.266667;25.1;21.6125;20.2;92.458333;76;5.6;.933333;
2006-10-08;3.6;974.708333;18.775;21.3;20.395833;19.8;90.458333;85;5.9;1.875;
2006-10-09;1.6;977.620833;17.720833;24.7;20.6625;18.7;83.791667;68;6.1;2.15;
2006-10-10;.6;977.958333;17.504167;27.4;21.625;18.4;79.708333;46;6.7;.979167;
2006-10-11;0;973.8;17.425;29.2;23.825;19.9;69.333333;47;10.9;2.170833;
2006-10-12;0;969.875;17.7875;32.1;24.029167;19.4;69.833333;40;7.5;1.654167;
2006-10-13;6;969.929167;19.654167;27.1;22.1;19.9;86.458333;63;7.6;1.254167;
2006-10-14;0;971.329167;19.170833;28.7;22.8625;19.7;80.458333;55;7.7;1.725;
2006-10-15;.2;971.208333;19.1;30.5;24.7375;20.6;72.833333;47;9.1;1.970833;
2006-10-16;0;970.9;19.2375;31.8;25.320833;21.7;70.958333;41;9.4;2.916667;
2006-10-17;0;971.995833;20.2875;29.9;23.5375;21.8;82.708333;55;9.2;1.933333;
2006-10-18;.2;972.583333;18.629167;24.5;20.9;19.3;87.333333;69;7;1.966667;
2006-10-19;3.2;970.683333;18.25;21.7;19.55;18.3;92.25;81;6;1.158333;
2006-10-20;12.6;973.279167;16.754167;21.6;18.804167;17.9;88.166667;67;7.6;2.379167;
2006-10-21;1.2;977.241667;14.175;20.9;17.633333;15.5;80.75;62;8.7;1.9875;
2006-10-22;0;976.979167;14.0875;22.7;18.0375;14.5;79.208333;57;6.2;1.320833;
2006-10-23;10;978.695833;14.483333;24.3;18.2875;13.9;80.083333;51;7.6;.825;
2006-10-24;0;978.716667;14.120833;24.8;19.95;15.7;70.25;50;8.6;2.045833;
2006-10-25;0;976.329167;14.958333;29;22.354167;17.4;64.666667;39;8.9;2.35;
2006-10-26;0;971.354167;16.620833;32.4;24.883333;19.4;62.541667;33;7.3;1.470833;
2006-10-27;.2;968.575;17.458333;25;20.820833;18.2;81.666667;64;6.2;1.954167;
2006-10-28;.2;970.158333;15.383333;26.5;20.120833;16;76.208333;47;11.6;2.204167;
2006-10-29;0;970.4125;15.341667;27.5;20.25;14.1;75.375;48;8.3;1.5875;
2006-10-30;0;968.0375;16.929167;31.6;22.291667;17.4;73.75;42;8.8;2.15;
2006-10-31;0;967.8;18.9375;33.4;24.179167;18.3;75.5;41;13.1;2.108333;
2006-11-01;26.8;969.141667;20.658333;31.7;24.904167;19.1;78.875;51;10.1;2.254167;
2006-11-02;5.6;969.445833;21.529167;26.6;23.466667;21.3;89.041667;76;7.5;1.420833;
2006-11-03;7.4;970.145833;21.304167;28.8;23.766667;21.5;86.708333;61;7.6;1.154167;
2006-11-04;1;971.2375;19.5375;26.5;23.3;21.5;79.75;65;9.3;2.3125;
