Nome: PARATI
Codigo Estacao: A619
Latitude: -23.2236111
Longitude: -44.72694443
Altitude: 3
Situacao: Operante
Data Inicial: 2006-11-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-18;null;null;null;null;null;null;null;null;null;null;
2006-11-19;null;null;null;null;null;null;null;null;null;null;
2006-11-20;null;null;null;null;null;null;null;null;null;null;
2006-11-21;null;null;null;null;null;null;null;null;null;null;
2006-11-22;null;null;null;null;null;null;null;null;null;null;
2006-11-23;null;null;null;null;null;null;null;null;null;null;
2006-11-24;null;null;null;null;null;null;null;null;null;null;
2006-11-25;null;null;null;null;null;null;null;null;null;null;
2006-11-26;null;null;null;null;null;null;null;null;null;null;
2006-11-27;null;null;null;null;null;null;null;null;null;null;
2006-11-28;null;null;null;null;null;null;null;null;null;null;
2006-11-29;null;null;null;null;null;null;null;null;null;null;
2006-11-30;null;null;null;null;null;null;null;null;null;null;
2006-12-01;null;null;null;null;null;null;null;null;null;null;
2006-12-02;null;null;null;null;null;null;null;null;null;null;
2006-12-03;null;null;null;null;null;null;null;null;null;null;
2006-12-04;null;null;null;null;null;null;null;null;null;null;
2006-12-05;null;null;null;null;null;null;null;null;null;null;
2006-12-06;null;null;null;null;null;null;79.916667;66;5.6;null;
2006-12-07;10;1007.758333;21.058333;28.4;24.229167;21.3;83.208333;63;13.1;2.05;
2006-12-08;8;1011.183333;19.908333;26.4;22.008333;19.7;88.541667;67;6;1.6375;
2006-12-09;.8;1011.345833;20.004167;26.8;22.316667;20.1;87.541667;62;6;1.8125;
2006-12-10;4.2;1012.154167;20.691667;24.5;21.933333;20.8;92.958333;79;6.9;1.579167;
2006-12-11;3.6;1014.4625;20.408333;25;21.625;19.9;92.958333;75;6.6;1.8;
2006-12-12;15.4;1016.0375;19.9375;27.2;22.395833;19.5;86.916667;63;5.9;1.595833;
2006-12-13;9.2;1014.270833;21.645833;28.6;24.179167;21.4;86.583333;68;7;2.154167;
2006-12-14;3.2;1011.845833;22.8625;29.7;24.995833;22.8;88.333333;69;6.4;1.433333;
2006-12-15;.8;1011.216667;23.179167;29.1;25.433333;22.2;87.708333;72;5.7;1.55;
2006-12-16;1.8;1010.9375;22.545833;30.5;25.779167;21.4;83.25;60;7;1.804167;
2006-12-17;0;1011.566667;22.529167;30.6;26.020833;21.3;81.958333;65;7.3;1.870833;
2006-12-18;1;1010.043478;22.143478;32;26.521739;21.6;78.608696;55;5.7;2.095652;
2006-12-19;0;1008.854167;22.5125;32.4;26.8125;21.7;78.708333;54;6.8;1.758333;
2006-12-20;0;1008.779167;22.554167;34.5;27.841667;23;75.166667;45;8.9;1.683333;
2006-12-21;0;1009.65;22.554167;36.7;27.483333;23.6;77.583333;39;15.3;2.025;
2006-12-22;42.2;1013.0125;23.145833;29.4;24.7125;22.4;91.416667;74;6.5;1.5875;
2006-12-23;19.4;null;null;27.2;null;22.9;92.6875;79;3.8;null;
2006-12-24;null;1009.634783;23.26087;30.6;25.643478;22.8;87.304348;65;5.7;1.330435;
2006-12-25;null;null;null;null;null;23.8;null;66;3.5;null;
2006-12-26;null;null;null;null;null;null;80.833333;49;6.8;null;
2006-12-27;17.2;1013.066667;22.15;30;24.683333;21.6;86.541667;63;4.9;1.670833;
2006-12-28;6.6;1015.975;22.779167;29.1;24.6125;23.2;89.958333;70;8.2;1.220833;
2006-12-29;31.2;1016.775;21.841667;29.5;24.175;21.2;87.291667;67;8;1.408333;
2006-12-30;8.2;1015.845833;21.295833;28.5;24.758333;21.3;82.166667;57;5.4;1.404167;
2006-12-31;4.2;1015.245833;22.216667;24.9;23.383333;22.7;93.291667;83;4.8;1.058333;
2007-01-01;13.2;1014.079167;21.0875;28.8;23.6125;21.2;86.416667;65;6.9;1.55;
2007-01-02;.4;1014.354167;21.7125;28.7;24.2;22.1;86.416667;69;5.3;1.779167;
2007-01-03;27.2;1012.570833;22.1125;25.7;23.154167;22.4;94.083333;81;4.5;.720833;
2007-01-04;31.6;1008.75;22.55;26.8;23.770833;22;93;78;4.8;.925;
2007-01-05;17.8;1006.575;23.491667;28.1;25.095833;23.3;91.083333;77;4.8;.708333;
2007-01-06;3.4;1007.691667;23.229167;28.2;25.1625;22.8;89.25;68;5;1.329167;
