Nome: CAMPOS DOS GOYTACAZES - SAO TOME
Codigo Estacao: A620
Latitude: -22.04166666
Longitude: -41.05166666
Altitude: 7
Situacao: Operante
Data Inicial: 2008-06-12
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-12;null;null;null;null;null;null;null;null;null;null;
2008-06-13;null;1016.75;null;null;null;null;null;75;5.8;1.3375;
2008-06-14;0;1014.183333;19.195833;27.2;22.9375;19.3;81.25;45;11.6;3.191667;
2008-06-15;0;1012.016667;18.345833;30.1;24.520833;20.9;70.541667;37;11.7;4.695833;
2008-06-16;0;1018.469565;17.030435;24.3;21.343478;19.6;76.826087;60;16.4;6.386957;
2008-06-17;4;1020.820833;13.616667;22.4;19.595833;16.9;69.708333;49;10.4;2.125;
2008-06-18;0;1017.675;15.725;24.8;20.908333;16.9;72.916667;54;10.3;2.541667;
2008-06-19;0;1016.808333;17.829167;26.9;22.070833;18.1;77.875;51;9.4;2.945833;
2008-06-20;0;1014.620833;18.770833;26;22.645833;19.2;79.25;62;8.6;3.179167;
2008-06-21;0;1011.133333;18.2;32.7;23.470833;18.2;75.5;32;7.5;2.583333;
2008-06-22;0;1014.958333;19.470833;23.9;22.516667;21;83.291667;71;11.8;4.758333;
2008-06-23;2.2;1020.3125;17.125;22.2;20.420833;19;81.583333;69;10.4;3.866667;
2008-06-24;5.8;1022.391667;16.929167;21.1;19.391667;17.9;85.708333;71;8.2;2.529167;
2008-06-25;18;1020.870833;17.133333;22.2;19.579167;17.5;86.083333;71;12.6;2.633333;
2008-06-26;.8;1022.6375;15.420833;23.5;21.566667;19.8;68.125;59;12.6;3.9375;
2008-06-27;1.6;1023.845833;16.129167;23.4;20.45;17.8;76.916667;59;8.4;2.091667;
2008-06-28;0;1023.829167;16.5125;23.9;19.983333;16.3;81.166667;58;9.7;2.295833;
2008-06-29;0;1022.170833;17.779167;24.6;21.5875;19.2;79.25;66;12.2;3.741667;
2008-06-30;0;1020.158333;18.470833;25.1;22.120833;19.3;80.416667;61;11.3;4.504167;
2008-07-01;0;1020.529167;19.229167;25.1;22.579167;20.8;81.833333;66;10.5;3.979167;
2008-07-02;0;1020.504167;19.041667;27.2;22.829167;19.3;80.125;56;9;3.308333;
2008-07-03;0;1019.391667;19.7125;25.4;22.383333;19.7;85.291667;64;9.3;2.091667;
2008-07-04;0;1017.670833;18.570833;23.5;22.0875;20.9;80.791667;70;9.6;2.904167;
2008-07-05;0;1020.695833;15.825;23.3;20.091667;15.8;77.083333;65;8.5;2.733333;
2008-07-06;0;1022.379167;15.725;23.3;19.675;15.9;79;62;6;2.045833;
2008-07-07;0;1023.0375;13.475;23.5;20.520833;16.2;65.416667;48;6.7;2.008333;
2008-07-08;0;1021.533333;13.9375;25;19.866667;14.4;70.541667;43;7.3;2.408333;
2008-07-09;0;1021.254167;16.895833;24;20.825;16.7;78.75;63;7.9;2.108333;
2008-07-10;0;1023.516667;17.920833;24;21.445833;17.6;80.791667;69;5.9;1.975;
2008-07-11;0;1025.470833;18.170833;23.3;21.8375;21.2;79.666667;71;9.3;3.6625;
2008-07-12;3.8;1024.6125;17.15;23.8;22.0625;19.5;73.916667;66;8.7;3.375;
2008-07-13;1;1023.1375;14.016667;23.8;21.8625;20.7;61.375;48;8.7;2.529167;
2008-07-14;0;1022.804167;14.158333;23.8;20.316667;15.3;68.916667;53;6.5;2.479167;
2008-07-15;0;1024.504167;15.05;24.1;20.383333;15.7;72.75;50;7.1;2.445833;
2008-07-16;0;1023.8625;16.070833;24.6;21.541667;16.2;71.541667;59;7.5;2.8625;
2008-07-17;0;1019.283333;15.204167;25.2;20.916667;15.9;71.125;48;12.9;4.1625;
2008-07-18;0;1015.945833;15.766667;28.8;21.516667;15.8;72.041667;32;10.3;2.604167;
2008-07-19;.2;1017.495833;15.65;28.3;21.033333;15.7;74.5;31;6.6;1.533333;
2008-07-20;.4;1019.075;17.25;26.2;21.429167;16.4;79.25;46;8.8;2.2625;
