Nome: RIO DE JANEIRO - VILA MILITAR
Codigo Estacao: A621
Latitude: -22.86138888
Longitude: -43.41138888
Altitude: 30.43
Situacao: Operante
Data Inicial: 2007-04-12
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-12;null;null;null;null;null;null;null;null;null;null;
2007-04-13;null;null;null;null;null;null;null;52;8.4;null;
2007-04-14;null;1014.725;null;30.5;null;21.4;81.708333;53;6.9;1.145833;
2007-04-15;3;1014.75;null;31.6;null;19.9;75.208333;46;7;1.241667;
2007-04-16;0;1013.479167;null;30.6;null;21.4;78.125;55;6.9;1.025;
2007-04-17;8.2;1012.725;null;28.7;null;21.9;80.25;58;7.5;1.2875;
2007-04-18;0;1013.254167;20.479167;30.3;25.079167;20.6;77.125;49;7.1;1.283333;
2007-04-19;0;1014.9125;21.125;30.1;25.470833;21.2;78.25;52;7.4;1.483333;
2007-04-20;0;1014.95;20.695833;30.6;26.379167;21.4;72.041667;47;6.4;1.495833;
2007-04-21;0;1012.970833;21.175;30.2;25.775;21.4;76.958333;53;4.7;.804167;
2007-04-22;0;1012.3625;22.329167;29.7;25.9125;23.7;81.333333;59;6.9;1.3;
2007-04-23;0;1012.033333;21.725;30.9;26.391667;22.7;77;56;5.1;.804167;
2007-04-24;0;1010.116667;20.804167;33.5;26.966667;21.3;72.583333;38;7.7;1.066667;
2007-04-25;0;1007.85;20.629167;35.1;28.4;22.4;66.916667;36;11.3;1.316667;
2007-04-26;0;1005.658333;20.616667;35.9;28.816667;22.2;65.083333;34;14.2;1.508333;
