Nome: NOVA FRIBURGO - SALINAS
Codigo Estacao: A624
Latitude: -22.33472221
Longitude: -42.67694443
Altitude: 1070
Situacao: Operante
Data Inicial: 2010-09-17
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2010-09-17;null;null;null;null;null;null;null;null;null;null;
2010-09-18;null;null;null;null;null;null;null;null;null;null;
2010-09-19;null;null;null;null;null;null;null;null;null;null;
2010-09-20;null;null;null;null;null;null;null;7.4;null;null;
2010-09-21;null;900.2125;12.866667;20.9;15.679167;13.4;84.416667;9.8;null;null;
2010-09-22;0;899.333333;13.091667;23.5;17.195833;10.7;78.458333;10.9;null;null;
2010-09-23;0;898.375;11.633333;26.6;17.733333;11.3;71.208333;8.9;null;null;
2010-09-24;0;897.466667;13.0375;25.5;17.445833;10.7;76.708333;11.3;null;null;
2010-09-25;3;897.758333;15.004167;22.5;17.316667;15.2;87.166667;10.7;null;null;
2010-09-26;0;897.541667;13.891667;22.6;15.954167;11.5;88.75;9.3;null;null;
2010-09-27;2;894.6375;14.441667;22;17.170833;15;84.833333;10;null;null;
2010-09-28;2.2;892.641667;15.3625;20.1;17.154167;15.1;89.458333;8.2;null;null;
2010-09-29;1.8;892.779167;15.625;25;18.429167;14.3;84.875;8.2;null;null;
2010-09-30;0;894.154167;16.925;25.9;20.625;17.2;80.458333;9.4;null;null;
2010-10-01;.2;895.9875;17.275;26.3;20.670833;17.3;82.416667;10;null;null;
2010-10-02;10;895.970833;15.775;28.4;19.066667;15.4;84.25;13.3;null;null;
2010-10-03;4.4;899.954167;13.479167;17.9;14.466667;13.9;93.833333;13.5;null;null;
2010-10-04;3;900.295833;12.3;18.3;14.458333;11.3;87.375;7.5;null;null;
2010-10-05;3.2;897.116667;14.7875;26.9;16.979167;13.9;88.541667;12.9;null;null;
2010-10-06;.8;897.166667;15.795833;24.1;17.7375;14.4;89.208333;7.9;null;null;
2010-10-07;0;896.225;16.066667;24;20.029167;16.1;78.791667;15.6;null;null;
2010-10-08;4.6;894.579167;14.383333;23;18.9875;17.4;75.875;18.7;null;null;
2010-10-09;0;899.545833;10.454167;14.6;13.016667;12.9;84.875;15.5;null;null;
2010-10-10;8;901.620833;9.816667;16.4;12.104167;9.8;86.125;11.4;null;null;
2010-10-11;1;899.808333;10.65;13.7;11.541667;10.5;94.458333;8.9;null;null;
2010-10-12;2.2;900.3125;8.433333;14.9;11.075;9.4;84.333333;14.9;null;null;
