Nome: NITEROI
Codigo Estacao: A627
Latitude: -22.867389
Longitude: -43.102056
Altitude: 6
Situacao: Operante
Data Inicial: 2018-07-12
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-07-12;null;null;null;null;null;null;null;null;null;null;
2018-07-13;null;null;null;null;null;null;null;null;null;null;
2018-07-14;null;null;null;null;null;null;72.357143;59;4.3;null;
2018-07-15;0;1018.379167;17.0375;30.7;21.75;17.5;77.958333;38;3.3;.666667;
2018-07-16;0;1019.279167;14.929167;32.5;23.466667;17;62.166667;29;3.6;.666667;
2018-07-17;0;1021.208333;16.454167;26.5;21.116667;16.6;75.458333;52;8.1;1.229167;
2018-07-18;0;1020.279167;17.991667;30.4;23.604167;19.6;72.625;38;5.3;1.033333;
2018-07-19;0;1017.941667;16.0375;31.2;23.704167;17.8;65.166667;33;5.3;.775;
2018-07-20;0;1016.691667;16.870833;30.3;23.854167;18.1;67.25;41;5.5;.9625;
2018-07-21;0;1016.695833;null;32.2;23.920833;17.6;72;40;10.7;1.058333;
2018-07-22;6.4;1021.479167;null;25.8;23.283333;21.5;null;null;8.4;2.054167;
2018-07-23;0;1022.2;null;27.3;22.35;19.2;null;59;5.3;1.0875;
2018-07-24;0;1022.820833;null;26.2;22.020833;19;84.294118;65;9.2;1.741667;
2018-07-25;.6;1024.15;null;26.6;22.591667;19.5;null;null;6.8;1.25;
2018-07-26;0;1022.775;null;27.1;22.641667;18.4;null;null;6.3;1.320833;
2018-07-27;0;1020.533333;null;28.6;22.716667;17.9;null;61;6.3;1.275;
2018-07-28;0;1018.029167;16.379167;30.6;23.366667;17.5;67.25;36;6.2;.941667;
2018-07-29;0;1014.8625;15.175;32.3;24.65;18.4;59.541667;30;4;.679167;
2018-07-30;0;1013.9125;16.691667;28.5;23.1875;19;67.583333;44;10;1.654167;
2018-07-31;0;1015.975;18.445833;23.3;21.733333;20.7;81.666667;72;6.7;1.508333;
2018-08-01;2;1018.954167;16.9;23.7;21.05;19.9;77.333333;61;8;1.4375;
2018-08-02;11.6;1020.1125;17.0375;22;19.483333;18.2;85.958333;75;9.1;1.141667;
2018-08-03;1.2;1018.108333;16.2625;22.5;19.654167;17.2;81.166667;65;8.4;.754167;
2018-08-04;23;1014.5625;18.429167;25.7;21.258333;19.3;84.458333;65;7.9;1.5875;
2018-08-05;.2;1015.4125;17.220833;26.8;22.2125;20.1;74.291667;53;7.3;1.633333;
2018-08-06;0;1020.016667;17.4125;22.4;20.233333;20.5;84.083333;69;9.4;1.358333;
2018-08-07;23;1022.075;17.070833;20.3;18.704167;17.7;90.375;82;3.9;.9375;
2018-08-08;.2;1021.245833;17.770833;25.1;20.479167;16.7;84.875;69;7;1.179167;
2018-08-09;0;1014.466667;18.416667;30.4;22.470833;17.6;79.75;46;7.1;.870833;
2018-08-10;0;1013.554167;16.125;26.6;21.779167;19.2;70.541667;62;10.5;2.695833;
2018-08-11;0;1017.041667;13.7125;25;20.266667;16.5;67.208333;40;9.6;2.025;
2018-08-12;0;1020.233333;13.6375;24.5;20.175;17.6;66.5;48;7.6;1.95;
2018-08-13;0;1019.966667;14.945833;24;20.5;18.5;70.833333;57;6.5;1.779167;
2018-08-14;0;1018.633333;15.925;25.7;20.929167;17.7;73.916667;57;7.6;1.175;
