Nome: CARMO
Codigo Estacao: A629
Latitude: -21.938745
Longitude: -42.600936
Altitude: 293
Situacao: Operante
Data Inicial: 2018-10-10
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-10-10;null;null;null;null;null;null;null;null;null;null;
2018-10-11;null;null;null;null;null;null;null;null;null;null;
2018-10-12;null;null;null;null;null;null;null;null;null;null;
2018-10-13;null;null;null;null;null;null;null;null;null;null;
2018-10-14;null;null;null;null;null;null;null;null;null;null;
2018-10-15;null;null;null;null;null;null;null;81;2.7;null;
2018-10-16;null;null;null;null;null;null;null;72;5;null;
2018-10-17;null;981.854167;19.525;27.4;23.308333;20.8;79.875;65;4.8;.95;
2018-10-18;1;979.270833;21.095833;27.1;23.883333;21.8;84.666667;71;5;.745833;
2018-10-19;0;976.016667;20.547826;31.4;25.541667;22.1;76.73913;53;5.6;1.0375;
2018-10-20;0;980.25;13.495833;28.3;23.745833;20.8;54.916667;35;8.5;1.875;
2018-10-21;0;983.295833;10.979167;26.5;20.3625;11.9;56.875;37;6.4;1.329167;
2018-10-22;0;983.979167;14.091667;26.2;19.4625;13.9;73.083333;49;5.1;.770833;
2018-10-23;0;981.7375;15.585;32.1;22.420833;13.7;75;38;6.9;.9;
2018-10-24;0;981.5125;18.557143;30.9;24.154167;18.1;76.238095;46;4.6;.9;
2018-10-25;10.2;981.770833;19.016667;23.9;21.1875;20.7;87.708333;69;6.6;.754167;
2018-10-26;10.2;978.829167;19.425;25.4;21.270833;18.8;89.583333;71;5.8;.7875;
2018-10-27;2.4;973.345833;20.686957;31;24.454167;20.5;81.695652;59;4.4;.991667;
2018-10-28;7.8;976.641667;16.745833;28.8;23.8625;19.3;67.291667;44;9.1;1.729167;
2018-10-29;0;982.65;15.908333;22.5;19.583333;16.6;79.791667;59;4.7;1.158333;
2018-10-30;0;984.258333;16.858333;27.2;21.529167;17.7;75.708333;57;4.6;1.095833;
2018-10-31;0;982.616667;18.852174;31.1;23.875;20.4;75.73913;50;4.9;.716667;
2018-11-01;0;979.595833;20.008696;32.9;24.158333;19.9;81.347826;46;13;1.104167;
2018-11-02;21;980.1125;19.726087;29;23.779167;19.7;80.391304;56;6.1;1.2625;
2018-11-03;0;978.720833;19.771429;31.9;24.858333;21;77.714286;49;5;.8875;
2018-11-04;0;976.5875;20.682609;34;25.866667;21.7;75.913043;43;9.4;1.104167;
2018-11-05;26.4;982.033333;19.033333;23.5;21.470833;20.5;86.083333;70;6.8;1.15;
2018-11-06;0;982.995833;17.570833;26.7;22.416667;19.2;75.166667;56;6.6;1.291667;
2018-11-07;0;982.245833;19.543478;31.4;24.029167;20.7;78.478261;48;9.2;1.0125;
2018-11-08;59.2;984.854167;19.004167;22.2;20.429167;18.9;91.666667;75;8.7;.970833;
2018-11-09;20.6;985.058333;18.320833;22.6;20.025;18.1;90.083333;77;4.9;.870833;
2018-11-10;1.8;981.083333;19.183333;26.4;21.929167;18.9;85.25;64;6.3;1.008333;
2018-11-11;1.2;979.608333;19.233333;29.9;23.775;19.8;77.625;51;5.2;.783333;
2018-11-12;0;980.620833;19.456522;30.9;24.729167;20.3;74.869565;48;6.5;1.3625;
2018-11-13;0;981.55;19.671429;32.1;25.216667;21.4;75.190476;47;8.2;1.3875;
2018-11-14;0;978.925;20.265;33.6;26.558333;22.5;73.85;42;7.3;1.225;
2018-11-15;0;977.016667;20.738095;33.2;26.229167;22.5;76.285714;51;12.1;1.229167;
2018-11-16;0;980.6125;21.291667;31.6;24.408333;21.4;83.708333;56;9.1;.954167;
2018-11-17;13.4;983.533333;19.991667;28.5;23.275;19.7;82.5;60;4;.9;
2018-11-18;0;981.516667;19.608333;31;25.3375;21.6;72.208333;45;6.2;1.166667;
2018-11-19;0;979.925;20.466667;28;23.070833;21.4;85.875;61;5.3;.808333;
2018-11-20;35.2;983.7875;18.3625;21.2;19.629167;18.8;92.416667;83;2.9;.8;
2018-11-21;16.2;984.945833;18.854167;22;20.266667;18.6;91.75;83;5.8;.8375;
2018-11-22;3.4;983.8625;19.004167;27.5;22.666667;18;80.958333;58;6.4;1.329167;
2018-11-23;0;981.5625;19.070833;30.3;23.183333;19;79.291667;51;10.4;1.070833;
2018-11-24;.2;980.320833;19.3;28;23.1625;18.9;80.416667;55;5.7;.925;
2018-11-25;0;980.4125;19.5;30.3;24.354167;20.5;76.291667;44;8.3;1.2;
2018-11-26;1;982.2875;19.043478;31.9;23.991667;19.7;77;44;9.2;1.091667;
2018-11-27;0;983.5625;18.904167;30.8;22.954167;18.6;79.625;44;13;1.045833;
2018-11-28;3;982.754167;18.245833;30.8;24.220833;18.9;71.916667;44;5.7;1.066667;
2018-11-29;0;980.554167;17.8125;31.4;24.225;18.6;69.625;42;4.7;.879167;
2018-11-30;0;976.395833;19.25;33.3;24.425;18.6;77.545455;46;6.7;.829167;
2018-12-01;17;974.5875;20.945833;27.6;23.533333;21;85.791667;68;4.4;.9125;
2018-12-02;.4;973.791667;22.054167;30.2;24.35;22.1;87.458333;63;8.2;.954167;
2018-12-03;23.6;976.141667;20.129167;27.1;23.354167;21.3;82.791667;64;6.3;1.204167;
2018-12-04;0;976.1;18.916667;28.6;23.645833;20.5;75.75;54;4.3;1.104167;
2018-12-05;0;976.35;19.704545;32.3;24.841667;21.5;76.545455;49;11.6;1.183333;
2018-12-06;1.8;979.1375;20.209524;31.9;25.204167;19.4;79.333333;51;5.8;1.125;
2018-12-07;0;980.6;19.058333;27.8;23.233333;20.5;78.041667;61;4.3;1.029167;
2018-12-08;73;982.770833;17.395833;25.8;21.6125;19.2;78.833333;47;7.4;.875;
2018-12-09;3;987.8375;13.741667;26.1;19.833333;12.8;70.416667;45;8.4;1.525;
2018-12-10;0;988.8;16.133333;28.7;21.7625;14.9;72.791667;46;5.3;.970833;
2018-12-11;0;986.483333;18.319048;33.1;24.075;17.5;76.714286;41;5.1;.866667;
2018-12-12;0;983.916667;19.377273;34.3;26.0875;18.9;72.045455;42;5.9;1.154167;
2018-12-13;0;981.7;19.531818;34.5;26.416667;19.7;70.227273;39;9.3;1.054167;
2018-12-14;0;982.05;18.655;35.5;26.558333;19.5;69.95;35;6.8;.833333;
2018-12-15;0;983.054167;19.775;35.9;27.629167;20.1;69.95;35;5.3;.958333;
2018-12-16;0;984;20.878947;33.9;26.779167;20.6;78.052632;44;5.4;1.016667;
2018-12-17;0;982.829167;20.168421;33.6;26.070833;19.7;78.105263;41;6;.920833;
2018-12-18;0;981.079167;null;36;27.491667;20.4;86.166667;41;6.4;.9;
2018-12-19;0;979.875;null;36.4;28.054167;22.1;null;null;15.3;1.279167;
2018-12-20;1.6;978.9375;null;35.6;27.495833;21.7;null;41;4.5;.904167;
