Nome: ECOPORANGA
Codigo Estacao: A631
Latitude: -18.29138888
Longitude: -40.73638888
Altitude: 224
Situacao: Operante
Data Inicial: 2017-03-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-03-16;null;null;null;null;null;null;null;null;null;null;
2017-03-17;null;null;null;null;null;null;null;63;5.2;null;
2017-03-18;4.6;987.358333;19.1875;33.8;27.083333;21.8;62.75;45;7.8;1.520833;
2017-03-19;0;988.608333;21.195833;31.9;26.045833;22.9;76.291667;47;8;1.770833;
2017-03-20;0;988.775;21.158333;32.3;25.933333;22.8;76.375;49;10.1;2.095833;
2017-03-21;32;990.558333;19.479167;30.4;24.483333;20.6;76.083333;45;8.9;1.416667;
2017-03-22;0;991.191667;18.320833;31.1;24.6875;19.1;69.833333;44;9.3;1.9;
2017-03-23;0;989.891667;18.333333;30.1;24.85;20.7;69.333333;41;7.8;1.925;
2017-03-24;0;988.129167;18.141667;30.3;24.208333;18.5;70.708333;47;7.9;1.845833;
2017-03-25;0;986.416667;19.595833;32.9;26.029167;20.6;70.208333;41;6.9;1.55;
2017-03-26;0;985.883333;21.104167;34.1;27.1;21.6;72.833333;40;7.1;1.566667;
2017-03-27;0;987.016667;22.391667;32.6;26.658333;23.7;78.916667;46;8.6;2.020833;
2017-03-28;5.2;987.220833;21.2375;25.4;22.925;22.4;90.333333;82;9.9;2.033333;
2017-03-29;6.8;987.475;19.4625;29.1;23.404167;19.8;80.125;52;7.9;.979167;
2017-03-30;.2;987.470833;19.454167;30.3;23.891667;19.3;78.291667;49;7.8;1.404167;
2017-03-31;.2;988.8125;19.204167;30.5;24.145833;19.1;76.125;45;9.9;1.529167;
2017-04-01;3.4;990.125;18.429167;29.6;23.5875;19.8;74.833333;46;9.4;1.625;
2017-04-02;5.2;988.983333;19.275;29.9;23.9375;19;77.416667;47;7;1.025;
2017-04-03;0;988.770833;19.616667;30.3;24.4875;19.7;76.666667;44;5.2;1.195833;
2017-04-04;0;989.35;19.716667;31.9;25.291667;20.2;74.25;39;10.6;1.5875;
2017-04-05;0;990.125;21.3625;31.1;24.904167;20.7;81.708333;52;6.8;1.15;
2017-04-06;.4;989.683333;21.3;32.7;26.466667;21.6;75.5;47;6.4;1.5125;
2017-04-07;0;988.541667;20.679167;32;25.895833;21;75.083333;46;6.3;1.079167;
2017-04-08;0;988.9125;20.695833;32.8;26.295833;22.2;73.625;42;8;1.508333;
2017-04-09;0;988.608333;20.295833;33;25.716667;20.8;74.75;40;8.9;1.583333;
2017-04-10;0;988.1875;20.1375;32.9;25.941667;20.4;73.458333;43;8.7;1.295833;
2017-04-11;22.6;987.916667;21.95;28.9;24.791667;21.7;84.875;60;8.1;1.391667;
2017-04-12;1.8;987.129167;21.491667;32.3;25.745833;21.4;79.458333;49;8.2;1.3;
2017-04-13;5.8;989.033333;20.95;29.5;24.9125;21.1;79.666667;53;10;1.641667;
2017-04-14;.2;990.845833;20.591667;29.3;24.104167;21.5;81.5;58;8.9;2.179167;
2017-04-15;0;991.3;20.3125;29.2;23.8375;21.3;81.625;55;8.7;1.670833;
2017-04-16;0;989.3625;19.925;30;24.3;20.1;77.708333;53;5.4;1.266667;
2017-04-17;0;986.641667;19.7375;33.7;25.825;19.4;73.125;38;7.2;1.275;
2017-04-18;0;988.983333;19.629167;29.7;24.870833;22.8;73.958333;48;9.5;2.783333;
2017-04-19;0;990.7875;17.770833;27.1;23.354167;19.5;71.5;55;10.4;2.583333;
2017-04-20;0;990.745833;16.616667;28.7;23.220833;19.1;67.75;43;10.4;2.041667;
2017-04-21;0;989.35;15.891667;30.3;23.4625;16;65.416667;39;5.5;1.116667;
2017-04-22;0;987.645833;18.570833;33;24.945833;18.1;70.75;40;7;1.0625;
2017-04-23;0;989.008333;21.079167;29.4;25.1625;22.8;79.25;57;8.5;2.291667;
2017-04-24;0;990.7375;19.275;29.5;24.570833;20.3;73.375;52;10.3;2.270833;
2017-04-25;1.4;989.570833;19.6875;27.2;23.704167;20.7;79.25;62;10.3;2.225;
2017-04-26;0;988.225;19.141667;31.8;24.858333;19.3;73.458333;40;5.7;1.108333;
2017-04-27;0;987.645833;21.558333;33.1;26.420833;21.7;76.75;48;6;1.283333;
