Nome: VILA VELHA
Codigo Estacao: A634
Latitude: -20.46694443
Longitude: -40.40388888
Altitude: 25
Situacao: Pane
Data Inicial: 2017-02-14
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-02-14;null;null;null;null;null;null;null;null;null;null;
2017-02-15;null;null;null;null;null;null;null;null;null;null;
2017-02-16;null;null;null;null;null;null;67.846154;48;6.6;null;
2017-02-17;0;1011.225;21.695833;32.4;26.4875;21.8;76.708333;47;9.5;2.4375;
2017-02-18;0;1010.934783;21.417391;33.8;26.83913;21;74.26087;41;11.5;3.278261;
2017-02-19;0;1012.570833;21.620833;32.9;26.708333;21.6;75.375;50;10;3.045833;
2017-02-20;0;1013.775;21.357143;33.5;26.4125;21.8;74.428571;48;8.7;1.908333;
2017-02-21;8.4;1013.729167;null;32.2;25.175;21.6;75.6875;49;10.4;1.85;
2017-02-22;.2;1012.9625;21.4875;32.2;25.466667;21.4;80.041667;48;8.6;1.845833;
2017-02-23;0;1011.683333;21.525;32.1;25.966667;21.7;78.333333;49;9.8;2.820833;
2017-02-24;0;1009.1875;21.45;33.8;26.729167;21.4;75.041667;44;14;4.429167;
2017-02-25;0;1007.95;21.629167;34.4;27.433333;23.1;72.291667;40;14.5;4.604167;
2017-02-26;0;1008.695833;21.220833;33.5;27.266667;22;70.875;46;12;3.945833;
2017-02-27;0;1008.225;21.604167;34.4;26.9875;22.2;74.083333;41;11.6;4.004167;
2017-02-28;0;1006.85;22.295833;34.5;27.25;24.4;75.208333;46;14;4.475;
2017-03-01;0;1006.558333;20.983333;34.5;28.075;25.3;66.958333;42;12.3;4.741667;
2017-03-02;0;1008.729167;21.216667;35.5;27.95;23.9;68.625;39;14.8;5.2875;
2017-03-03;0;1010.804167;20.629167;34.1;27.35;22.7;68.375;41;14.6;4.575;
