Nome: ITATIAIA
Codigo Estacao: A635
Latitude: -22.37388888
Longitude: -44.70305555
Altitude: 2450
Situacao: Operante
Data Inicial: 2017-08-31
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2017-08-31;null;null;null;null;null;null;null;null;null;null;
2017-09-01;null;null;null;null;null;null;null;32;9.4;null;
2017-09-02;null;null;null;null;null;null;53.666667;5;8;null;
2017-09-03;0;766.35;-6.340909;17;7.1;-3.7;41.363636;12;8;2.618182;
2017-09-04;null;767.127273;-10.563636;17.4;9.622727;.8;28.727273;6;9.9;2.845455;
2017-09-05;0;766.1375;-6.104167;17.6;7.75;-5.4;42.25;7;9.5;2.583333;
2017-09-06;0;763.709091;1.118182;15.9;5.727273;-5;75;47;7;1.968182;
2017-09-07;0;764.265;1;16.4;null;-3.8;76.85;41;6.2;1.7;
2017-09-08;null;762.490909;-.281818;17.1;4.986364;-5.8;73.363636;36;7;1.654545;
2017-09-09;null;761.77619;-.8;18.4;null;-5;66.52381;11;10.4;1.942857;
2017-09-10;0;766.156522;-2.865217;18.2;10.008696;-4.5;45.391304;11;10.9;2.882609;
2017-09-11;0;765.472727;6.904545;18;10.372727;6.8;80.454545;44;9.5;3.104545;
2017-09-12;0;766.645833;4.3875;19.1;8.741667;-1.8;77.666667;38;10.4;1.825;
2017-09-13;0;768.127273;-3.577273;19.7;11.977273;.9;39.863636;8;11.1;2.836364;
2017-09-14;0;766;-3.154545;19.5;12.031818;2.4;38.590909;9;13.2;2.186364;
2017-09-15;0;766.304545;-1.272727;20.5;10.668182;-3.3;46.818182;11;8.4;2.595455;
2017-09-16;0;765.395455;-1.304545;20.4;9.4;-1.8;54.318182;8;12;2.386364;
2017-09-17;0;765.940909;2.986364;18;10.213636;-.6;63.5;38;6.6;1.981818;
2017-09-18;null;763.631818;4.672727;17.1;8.936364;0;76.409091;34;6.4;1.886364;
2017-09-19;0;765.530435;3.013043;17.6;10.482609;5.4;61.782609;28;10.8;2.678261;
2017-09-20;null;765.290909;4.677273;16.9;8.645455;-1;77.909091;39;8.8;2.009091;
2017-09-21;0;766.133333;.766667;17.7;7.8375;-3.9;67.833333;17;11;2.233333;
2017-09-22;0;767.233333;-2.779167;17.1;10.4;4;45.583333;16;10.8;3.075;
2017-09-23;0;766.916667;-2.066667;18.1;11.066667;-.8;43.125;9;9.5;2.804167;
2017-09-24;0;763.108333;3.254167;16.7;8.708333;1;71;40;7.3;2.120833;
2017-09-25;0;764.208333;-4.3125;15.9;8.395833;4.8;47.125;13;9.8;2.933333;
2017-09-26;0;765.441667;3.808333;16.2;7.558333;-1.9;78.25;45;8.5;2.508333;
2017-09-27;0;765.195833;5.229167;17.5;10.216667;6.3;72.875;43;10.4;2.720833;
2017-09-28;2.4;765.016667;6.433333;17.6;11.325;5.2;72.875;48;7.6;1.95;
2017-09-29;6;763.3375;7.816667;17.9;10.991667;5.6;81.583333;53;12.7;2.479167;
2017-09-30;83.8;756.991667;8.683333;10.9;9.029167;8.2;97.75;80;20.7;6.079167;
2017-10-01;24.4;759.933333;6.558333;15.6;10.008333;5.5;80.833333;49;22.5;7;
2017-10-02;0;758.175;9.295833;12.4;10.841667;10.1;90.5;70;21.6;5.7375;
2017-10-03;40;758.908333;7.933333;11.5;8.904167;8.2;93.791667;66;20;5.258333;
