Nome: ESCOLA NAVAL
Codigo Estacao: A651
Latitude: -22.91472222
Longitude: -43.15944444
Altitude: 14
Situacao: Desativada
Data Inicial: 2007-04-17
Data Final: 2007-09-26
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-04-17;null;null;null;null;null;null;null;null;null;null;
2007-04-18;null;null;null;null;null;null;null;null;null;null;
2007-04-19;null;null;null;null;null;null;null;null;null;null;
2007-04-20;null;null;null;null;null;null;null;null;null;null;
2007-04-21;null;null;null;null;null;null;null;null;null;null;
2007-04-22;null;null;null;null;null;null;null;null;null;null;
2007-04-23;null;null;null;null;null;null;null;null;null;null;
2007-04-24;null;null;null;null;null;null;null;null;null;null;
2007-04-25;null;null;null;null;null;null;null;null;null;null;
2007-04-26;null;null;null;null;null;null;null;null;null;null;
2007-04-27;null;null;null;29.3;null;null;83.8125;64;19.6;null;
2007-04-28;9.4;1021.879167;18.3875;25;22.7125;20.8;76.833333;65;10.7;2.05;
2007-04-29;0;1019.8875;19.233333;24.6;22.491667;20.9;82.125;66;6.2;1.833333;
2007-04-30;.2;1016.666667;19.325;25.4;22.791667;21.4;81.041667;64;11.5;2.066667;
2007-05-01;0;1016.575;19.058333;24.6;22.75;20.9;79.958333;68;6.2;2.129167;
2007-05-02;null;null;null;null;null;20.9;null;84;3;null;
2007-05-03;null;null;null;null;null;null;71.692308;57;8.8;null;
2007-05-04;.8;1019.183333;19.216667;25.1;23.383333;22;77.958333;63;8.8;3.55;
2007-05-05;null;null;null;null;null;21.1;74.666667;67;6;null;
2007-05-06;null;null;null;29.2;null;20.7;74.941176;41;4.4;null;
2007-05-07;null;null;null;30.7;null;22.1;68.470588;33;4.9;null;
2007-05-08;null;null;null;27;null;23.2;72.764706;51;10.2;null;
2007-05-09;null;null;null;null;null;23.2;null;74;1.8;null;
2007-05-10;null;null;null;null;null;null;null;57;9.4;null;
2007-05-11;null;1021.658621;15.451724;24.4;22.468966;null;64.655172;52;11.5;5.013793;
2007-05-12;0;1019.696774;16.503226;26.8;22.835484;19.9;68.145161;44;7;2.567742;
2007-05-13;0;1018.980392;19.072549;25;23.241176;19.6;77.607843;69;7;2.628571;
2007-05-14;0;1014.487719;18.526316;28.2;24.061404;21.7;71.947368;45;11.2;2.912281;
2007-05-15;0;1016.82093;19.772093;24;23.130233;21.3;81.44186;75;8.8;3.043902;
2007-05-16;0;1014.761538;19.405495;26;23.414286;21.1;78.461538;66;5.2;1.426374;
2007-05-17;0;1013.42766;19.557447;31.4;24.670213;21;74.37234;32;7.1;2.07234;
2007-05-18;0;1014.661053;20.827368;26.5;23.421053;21.7;85.494737;70;11.1;3.044211;
2007-05-19;0;1016.214583;19.975;25.7;23.627083;21.7;80.270833;64;11.8;3.025;
2007-05-20;48.2;1018.759574;19.393617;24.2;21.898936;20.3;85.819149;75;12.8;3.060638;
2007-05-21;0;1015.695556;19.947778;26;23.045556;20.1;82.833333;73;10.4;2.371111;
2007-05-22;0;1011.238824;20.236471;29.6;23.575294;20.9;82.023529;44;16;1.863529;
