Nome: AFONSO CLAUDIO
Codigo Estacao: A657
Latitude: -20.10416666
Longitude: -41.10694444
Altitude: 507.48
Situacao: Pane
Data Inicial: 2011-09-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2011-09-23;null;null;null;null;null;null;null;null;null;null;
2011-09-24;null;null;null;null;null;null;null;null;null;null;
2011-09-25;null;null;null;null;null;null;null;null;null;null;
2011-09-26;null;null;null;null;null;null;null;null;null;null;
2011-09-27;null;null;null;null;null;null;null;null;null;null;
2011-09-28;null;null;null;null;null;null;null;27;7.6;null;
2011-09-29;null;959.8125;16.058333;28;21.575;18.2;72.125;46;9.3;1.695833;
2011-09-30;0;957.858333;15.175;30.6;23.5;19.3;62.708333;33;8.6;2.25;
2011-10-01;0;956.1125;14.433333;30.7;23.216667;18.4;61.458333;29;9.3;2.558333;
2011-10-02;0;954.575;12.645833;30.4;22.7375;14.5;56.75;29;9;2.691667;
2011-10-03;0;955.1875;15.929167;27.5;22.445833;19.4;67.666667;42;7.5;1.920833;
2011-10-04;.4;959.366667;15.691667;25.1;21.166667;19.3;71.75;51;10.7;3.270833;
2011-10-05;0;961.125;13.9625;23;19.225;17.9;72.666667;56;8.8;2.35;
2011-10-06;2;960.058333;17.691667;21.9;18.6625;17.3;94.208333;79;5.7;.783333;
2011-10-07;5.6;959.3625;17.179167;27.8;21.1125;17.7;80.333333;50;6.5;1.279167;
2011-10-08;.2;958.533333;15.291667;28.2;21.775;16.1;69.375;38;7.7;2.020833;
2011-10-09;0;956.033333;14.270833;29.5;22.320833;16.9;62.583333;34;9.5;2.541667;
2011-10-10;0;954.133333;16.316667;25.6;22.25;19.6;70.166667;53;7.3;2.025;
2011-10-11;0;954.591667;17.770833;25.4;22.5;20.3;75.125;63;6.6;1.933333;
2011-10-12;0;954.795833;18.3;29.1;22.995833;19.6;76.166667;49;9.5;2.366667;
2011-10-13;0;955.020833;18.220833;26.4;22.083333;19.8;79.083333;60;8.7;2.266667;
2011-10-14;0;953.070833;17.304167;25.8;22.6625;19.3;72.541667;56;8.7;2.225;
2011-10-15;0;951.116667;18.208333;28.2;23.904167;20.8;71.25;54;5.9;1.95;
2011-10-16;14.2;949.633333;19.583333;27.3;23.420833;19.9;79.666667;61;9.3;2.045833;
2011-10-17;22;949.7375;19.825;26.4;21.858333;19.6;88.666667;66;7.9;1.804545;
2011-10-18;26;953.883333;14.420833;23.5;20.4625;18.6;69.583333;43;11.3;3.866667;
2011-10-19;0;959.375;11.895833;23.1;18.704167;16.8;65.041667;52;10.2;3.6625;
2011-10-20;0;959.766667;11.008333;21.2;17.45;13.2;66.458333;51;10;2.920833;
2011-10-21;0;960.366667;10.520833;22.7;18.108333;14.5;62.375;40;10;2.991667;
2011-10-22;0;961.475;15.095833;21.7;17.825;15.8;84.541667;68;7.8;1.516667;
2011-10-23;9.8;962.683333;16.245833;20.4;17.754167;16.7;91.583333;67;3.3;1.0625;
2011-10-24;18.2;960.5125;15.504167;22.7;17.970833;14.5;86.166667;67;5.3;1.454167;
2011-10-25;0;957.595833;16.291667;24.5;20.295833;17.1;79;57;7;1.65;
2011-10-26;.2;955.308333;18.220833;28.7;22.241667;18.5;79.625;52;9;2.808333;
2011-10-27;.2;955.0375;19.566667;28.6;23.7;20.6;78.708333;57;8.7;2.058333;
2011-10-28;0;954.170833;18.416667;31.5;24.179167;20.9;72.791667;42;22.7;2.8125;
2011-10-29;8;952.895833;17.354167;30.9;23.579167;17.3;70.458333;43;9.1;2.308333;
2011-10-30;0;952.166667;18.816667;29.5;22.616667;19.7;80.75;51;16.8;2.316667;
2011-10-31;9;954.191667;15.866667;20.9;18.5375;18.7;84.708333;66;8.6;2.666667;
2011-11-01;7.4;958.154167;12.733333;19.9;16.191667;13.5;80.708333;56;8.2;2.116667;
2011-11-02;1;960.325;11.629167;24.5;18.070833;15.2;66.875;43;10.4;3.1125;
2011-11-03;0;960.758333;10.15;26.4;18.629167;13.1;59.625;35;8.3;2.491667;
2011-11-04;0;960.408333;11.4875;27.7;20.029167;15.5;60.166667;32;7.8;2.383333;
2011-11-05;0;959.220833;12.066667;27.6;20.35;16.1;61.958333;34;7.5;2.195833;
2011-11-06;0;957.491667;11.933333;27.9;20.925;16.1;60.291667;27;7.9;2.25;
2011-11-07;0;956.129167;12.933333;26.8;20.008333;13.5;66.5;41;7.3;1.825;
2011-11-08;0;955.770833;14.75;26.4;20.970833;17.8;68.583333;49;7.9;2.316667;
2011-11-09;0;956.875;14.741667;27.1;21.129167;16;67.833333;45;7.8;2.416667;
2011-11-10;0;956.833333;16.179167;28.9;21.820833;17.1;72;45;5.7;1.5625;
2011-11-11;0;956.370833;16.708333;29.3;23.404167;18.7;68.583333;42;7.9;1.729167;
2011-11-12;0;955.970833;16.4875;32;24.491667;18.9;65.041667;29;9;1.975;
2011-11-13;1.2;955.475;17.879167;30.1;22.791667;19.4;77.375;38;9.5;2.3;
2011-11-14;42.4;954.341667;17.266667;29.1;23.4;18.5;71.166667;44;10.4;2.545833;
2011-11-15;39.8;951.745833;18.841667;27.1;22.479167;18.7;80.708333;62;10.3;2.854167;
2011-11-16;14.2;950.533333;19.479167;23.5;21.204167;19.9;90.208333;77;10.3;1.654167;
2011-11-17;1.4;953.475;16.258333;25.3;20.308333;17.6;78.166667;58;8.2;2.420833;
2011-11-18;.4;956.0125;15.825;23.3;19.3375;17.2;80.916667;62;6.7;1.616667;
2011-11-19;9.6;956.966667;16.820833;21.4;18.4125;17.1;90.583333;72;8.9;1.4375;
2011-11-20;14.6;957.2625;15.9875;21.6;18.266667;15.9;87.041667;66;5;1.229167;
2011-11-21;.8;957.054167;17.116667;26.6;21.170833;17.1;79.333333;54;7.3;1.558333;
2011-11-22;0;954.820833;18.05;26.8;22.5;19.4;76.708333;58;8.8;2.570833;
2011-11-23;21.8;953.245833;19.866667;23.3;21.425;20.4;90.875;74;10;1.641667;
2011-11-24;48.8;953.7125;19.783333;29.1;22.716667;20.4;84.625;53;12.5;2.2875;
2011-11-25;7.6;954.558333;19.479167;27.3;22.7125;20.2;82.625;64;8.3;2.0875;
2011-11-26;10.2;955.633333;19.2875;28.2;22.095833;19.6;85.166667;55;8;1.841667;
2011-11-27;9.8;955.708333;19.3375;24.3;20.941667;19.1;90.958333;68;6.2;1.245833;
2011-11-28;26.2;956.529167;18.5;24.2;19.375;18;95;70;9.9;1.275;
2011-11-29;22.2;955.6625;18.591667;21.6;19.254167;17.5;95.958333;87;2.9;.833333;
2011-11-30;20.4;953.533333;19.133333;26.9;21.933333;18.9;85.5;60;9.7;2.279167;
2011-12-01;7.8;953.233333;19.666667;26.7;22.4;20;85.041667;66;9.4;2.166667;
2011-12-02;6.6;952.608333;20.279167;26.3;22.166667;20.1;89.458333;68;8.3;1.845833;
2011-12-03;16.8;955.0875;15.85;23.7;20.425;17.8;75.416667;61;9.7;2.041667;
2011-12-04;2;955.775;18.195833;23.8;20.241667;18;88.208333;76;4.3;1.325;
2011-12-05;3.2;955.870833;19.854167;28.9;22.2;19.1;87.958333;55;8;1.4875;
2011-12-06;2.6;955.65;20.558333;26.1;22.091667;20.2;91.375;71;8.6;1.595833;
