Nome: PONTA PORA
Codigo Estacao: A703
Latitude: -22.5525
Longitude: -55.71638888
Altitude: 668
Situacao: Operante
Data Inicial: 2001-09-06
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-09-06;null;null;null;29.5;null;null;null;40;10.4;null;
2001-09-07;3.6;938.0125;14.9;30.1;22.629167;16.5;64.416667;35;16;5.0125;
2001-09-08;0;935.695833;13.804167;33.2;24.441667;17.8;55.541667;23;10.3;3.075;
2001-09-09;0;937.079167;14.929167;33.6;25.9875;19.8;53.958333;27;9.8;2.816667;
2001-09-10;0;938.458333;17.558333;28;19.3125;17.6;89.875;51;9.3;3.9875;
2001-09-11;0;940.1;10.104167;25.3;17.9375;13.9;68.375;24;10.1;3.641667;
2001-09-12;0;936.35;8.183333;29.1;20.345833;12.7;46.958333;30;8.2;3.1875;
2001-09-13;0;934.4125;13.229167;32.5;23.983333;17.9;52.791667;33;12.2;5.166667;
2001-09-14;3.2;935.725;16.925;27.9;18.691667;17.8;89.708333;50;9.9;2.4875;
2001-09-15;0;938.220833;9.183333;23.1;17.404167;12.2;61.041667;36;9.2;3.066667;
2001-09-16;0;944.916667;.995833;17.1;11.970833;7.4;50.041667;23;13.7;3.6625;
2001-09-17;0;944.570833;-.233333;21.5;12.420833;4.8;47.583333;17;11.1;4.158333;
2001-09-18;0;941.5875;4.254167;24.7;16.320833;8.8;47.833333;26;15;6.15;
2001-09-19;0;null;null;null;null;10.6;59;23;11.1;null;
2001-09-20;null;null;null;null;null;null;null;27;7.7;null;
2001-09-21;null;937.909524;14.942857;19.9;null;null;90.238095;66;12.9;5.509524;
2001-09-22;26.6;936.433333;16.466667;25;19.508333;15.3;84.125;56;8.5;3.375;
2001-09-23;0;935.345833;17.241667;31;22.041667;15.5;77.625;42;9.3;2.295833;
2001-09-24;0;933.716667;18.316667;32;23.733333;18.3;74.833333;41;15;4.604167;
2001-09-25;96.6;936.441667;16.6625;19.4;17.304167;16.5;96.125;87;12.5;2.541667;
2001-09-26;31.6;936.854167;16.7875;19;17.545833;16.2;95.208333;88;8.5;1.866667;
