Nome: SOROCABA
Codigo Estacao: A713
Latitude: -23.4261111
Longitude: -47.58555555
Altitude: 609.33
Situacao: Operante
Data Inicial: 2006-08-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-08-21;null;null;null;20.6;null;null;null;31;10.1;null;
2006-08-22;0;951.108333;3.854167;22.4;12.558333;5.5;61.625;22;8.1;2.741667;
2006-08-23;0;949.7625;4.5875;25.2;14.845833;4;59.791667;18;6.8;1.816667;
2006-08-24;0;950.095833;3.925;29.7;18.133333;7;46.958333;13;6.3;2.295833;
2006-08-25;0;948.745833;9.75;29.7;20.2625;12.4;57.458333;19;9.2;2.516667;
2006-08-26;0;944.345833;8.954167;30.9;22.529167;13.4;44.666667;21;11.3;2.691667;
2006-08-27;6;942.691667;14.283333;25.2;19.341667;15.8;75.458333;37;22.1;3.429167;
2006-08-28;0;945.841667;12.733333;25;18.0125;13.2;73.5;41;7.3;2.4375;
2006-08-29;0;950.825;9.720833;17.4;13.9625;11.8;76.208333;56;11.4;5.104167;
2006-08-30;0;951.966667;7.029167;22.6;14.075;7.1;66.5;33;12;4.770833;
2006-08-31;0;947.979167;10.304167;25.4;17.1;10.7;67.041667;38;9;2.5625;
2006-09-01;1.6;944.975;14.541667;28;18.166667;14.5;80.75;49;16.3;3.658333;
2006-09-02;36.2;940.795833;14.791667;25.1;18.604167;14.5;80.291667;54;18.5;2.504167;
2006-09-03;0;942.725;9.791667;24.3;18.829167;13.8;62.333333;22;8.3;2.004167;
2006-09-04;0;947.829167;9.020833;18.7;13.195833;11.5;76.833333;34;10.7;3.745833;
2006-09-05;0;953.604348;3.26087;17.5;9.813043;4.9;67.043478;32;10.3;4.078261;
2006-09-06;0;954.483333;5.1375;19.6;10.695833;4.3;71.041667;38;12.6;4.966667;
2006-09-07;0;952.329167;8.983333;24.9;15.770833;9.5;67.291667;33;9.6;3.825;
2006-09-08;0;950.3375;11.7;27.3;18.5125;12.7;68.458333;30;6.8;2.2125;
2006-09-09;0;947.904167;12.441667;28.3;20.9875;15.1;61.416667;32;12.5;2.591667;
2006-09-10;0;949.4375;12.770833;27.6;21.033333;14.9;61.583333;36;7;1.754167;
2006-09-11;0;949.608333;12.479167;31.1;21.8125;12.6;61.208333;26;7.3;1.570833;
2006-09-12;0;948.191667;12.129167;32.4;23.5875;14.3;54.208333;23;6.4;1.583333;
2006-09-13;0;946.370833;12.154167;32.4;24.3125;15.2;50.583333;22;7.6;1.9875;
2006-09-14;0;945.091667;10.216667;32.8;24.9625;16;45.458333;16;8.9;1.970833;
2006-09-15;0;944.333333;8.895833;34.3;24.891667;13.1;40.5;18;11.8;2.225;
2006-09-16;.2;947.829167;14.991667;30.3;18.558333;17.7;80.125;24;12.8;4.691667;
2006-09-17;6.4;948.125;14.35;23.7;17.208333;13.9;84.25;63;12.3;3.545833;
2006-09-18;6.4;947.908333;14.354167;25.1;18.183333;14.6;79.916667;50;14.5;3.879167;
2006-09-19;0;947.091667;12.191667;26.4;18.266667;12.7;71.791667;34;7.7;3.116667;
2006-09-20;0;942.470833;15.829167;24.7;18.195833;15.5;86.875;62;14.7;2.6125;
2006-09-21;16.2;942.975;14.754167;26.5;20.0125;16.1;74.625;30;8.4;2.104167;
2006-09-22;0;946.858333;12.7;25.3;18.804167;13.2;69.958333;40;5.9;1.954167;
2006-09-23;0;945.379167;14.541667;29.1;19.804167;12.7;75.333333;41;24.5;2.229167;
2006-09-24;3.8;947.375;13.375;19.4;16.25;14.5;83.583333;65;10.7;3.929167;
2006-09-25;0;950.591667;12.033333;23.3;16.058333;11.8;78.416667;52;10.2;4.008333;
2006-09-26;0;952.3375;11.4125;24.1;17.0875;11.3;70.958333;46;13.9;5.445833;
2006-09-27;0;951.683333;13.5;27.8;19.825;13.6;69.416667;39;12.5;3.666667;
2006-09-28;0;948.713043;13.234783;28.3;20.521739;13.6;67.304348;34;8.5;2.213043;
2006-09-29;0;947.508333;14.858333;23.2;18.504167;15.6;79.791667;55;12.4;4.220833;
2006-09-30;.8;949.933333;14.383333;22.7;18.033333;15.6;79.416667;65;8.8;4.445833;
2006-10-01;.4;948.558333;16.233333;23.1;19.420833;16;82.375;67;7;2.45;
