Nome: PORTO MURTINHO
Codigo Estacao: A723
Latitude: -21.70583333
Longitude: -57.88666666
Altitude: 78.56
Situacao: Operante
Data Inicial: 2006-10-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-23;null;null;null;null;null;null;null;null;null;null;
2006-10-24;null;null;null;null;null;null;null;42;10;null;
2006-10-25;null;1000.525;20.958333;35.6;28.545833;23.8;64.291667;44;8.4;2.05;
2006-10-26;0;1000.954167;23.029167;36.3;28.445833;24.7;74.5;43;18.6;1.8125;
2006-10-27;5.2;997.333333;22.383333;36.2;28.754167;20.8;72.166667;36;10.3;1.795833;
2006-10-28;0;997.745833;22.558333;37.2;31.116667;25.3;62.458333;38;8.3;2.066667;
2006-10-29;0;995.979167;22.875;38.3;32;26.6;60.666667;37;9.1;2.3;
2006-10-30;0;995.204167;22.908333;33;28.691667;27.5;71.083333;52;11.4;1.966667;
2006-10-31;0;995.975;22.895833;31.8;25.8;24.4;84.375;62;12;1.733333;
2006-11-01;22.4;997.304167;22.8375;27.4;24.1625;22.9;92.5;79;6.8;1.758333;
2006-11-02;9.4;997.945833;23.466667;31.3;26.466667;23.5;84.541667;62;8;1.283333;
2006-11-03;0;997.866667;24.441667;32.9;27.679167;24.7;83.291667;59;16.8;1.716667;
2006-11-04;16;997.229167;24.6375;32;27.0375;23.3;87.458333;64;8.7;1.670833;
2006-11-05;0;995.034783;24.278261;33.4;28.891304;24.5;77.304348;55;8.2;2.317391;
2006-11-06;0;995.208333;23.316667;34.1;29.291667;26.3;71.458333;49;11.7;2.841667;
2006-11-07;12.2;1001.245833;20.241667;25.8;23.108333;20.3;84.25;71;10.4;4.329167;
2006-11-08;1;1001.1875;16.479167;29.6;24.0875;19.9;62.916667;48;8.8;3.254167;
2006-11-09;.2;1001.454167;17.795833;25.9;21.4375;20.2;80.875;60;9.9;3.345833;
2006-11-10;13.4;1005.383333;15.445833;28.3;22.570833;18.4;68.625;30;9;3.2625;
2006-11-11;0;1005.108696;13.247826;30;22.765217;16.4;59.826087;27;10.3;2.43913;
2006-11-12;0;1004.2125;13.3125;32.3;24.041667;15.6;56.833333;24;6.1;1.404167;
2006-11-13;0;1004.083333;13.2875;32.4;24.808333;15.6;54.166667;24;9.6;1.829167;
2006-11-14;0;1000.8;14.045833;34.2;26.295833;16.5;50.75;25;9.2;1.795833;
2006-11-15;0;997.091667;15.191667;36.7;28.6375;20.3;47.666667;22;11.6;2.75;
2006-11-16;0;996.495833;18.945833;36.4;30.3625;24;51.666667;35;13.7;3.504167;
2006-11-17;0;998.133333;20.4875;37.3;31.379167;27;54.166667;30;12.6;3.341667;
2006-11-18;0;998.116667;20.645833;36.9;31.575;26.5;53.541667;34;8.9;2.5125;
2006-11-19;0;1003.141667;20.870833;32.3;24.441667;22.7;81.208333;52;11.5;3.275;
2006-11-20;.4;1004.508333;17.329167;29.6;23.408333;19.1;71.125;44;7.5;2.0875;
2006-11-21;0;1001.183333;18.720833;35.5;26.708333;18.9;65;37;7.1;1.258333;
2006-11-22;0;1000.158333;20.95;35.4;29.866667;24.4;60;40;9.2;1.679167;
2006-11-23;0;997.975;21.366667;36.8;28.725;24;67.125;37;11.6;2.0375;
2006-11-24;7.2;997.3;22.145833;35.9;28.6875;23.1;70.958333;41;8.3;1.695833;
2006-11-25;47.2;999.291304;21.047826;32.2;23.926087;20.7;85.130435;53;12.4;2.782609;
2006-11-26;4.2;997.716667;23.283333;35.2;28.05;21;77.375;51;7.5;1.145833;
2006-11-27;16;995.4125;23.795833;31.1;26.195833;23.6;86.875;71;14.7;1.9125;
2006-11-28;9.6;996.5375;22.633333;29.4;25.233333;22.6;86.166667;66;8.9;1.320833;
2006-11-29;0;999.108333;22.8375;32;27.070833;23;79.166667;56;7.8;2.045833;
2006-11-30;0;999.870833;21.345833;33.8;27.925;22.9;69.25;45;5.8;2.029167;
2006-12-01;0;997.579167;21.945833;36.1;29.325;22.9;66.833333;43;9.8;1.733333;
2006-12-02;0;997.3625;23.491667;35.2;30.079167;25;69.375;48;8.1;1.445833;
2006-12-03;0;997.975;23.816667;31.7;26.7625;26;84.666667;62;10.6;1.308333;
2006-12-04;46.4;999.278261;23.108696;32;25.43913;22.6;87.782609;60;8.3;1.33913;
2006-12-05;21.6;999.341667;24.104167;32.3;27.595833;24.3;82.291667;57;7.8;1.458333;
2006-12-06;0;999.320833;24.466667;30.2;26.925;24.8;86.625;75;9.4;2.5;
2006-12-07;8.8;996.5;23.754167;32.3;27.595833;24.5;80.458333;59;12.6;2.6125;
2006-12-08;2;996.3;22.075;29.2;25.216667;23.3;82.958333;72;16.4;1.9125;
2006-12-09;0;998.666667;22.570833;32.7;27.1375;22.7;77.916667;51;4.9;.7875;
2006-12-10;0;999.108333;23.6875;34.3;28.725;24.3;75.958333;46;7.1;1.3125;
2006-12-11;0;999.483333;23.145833;35.3;27.991667;24;76.166667;46;14.1;1.55;
2006-12-12;0;998.9625;22.408333;35.1;28.504167;23.4;71.75;45;13.1;1.216667;
2006-12-13;.2;998.966667;23.079167;30.4;26.095833;22.9;84.125;60;14.4;1.395833;
2006-12-14;6;997.45;24.35;34.7;28.9875;22.2;78;51;6.5;1.091667;
2006-12-15;0;999.208333;25.120833;34.1;29.666667;26;77.541667;54;7.6;1.204167;
2006-12-16;0;999.020833;24.808333;35.5;30.6125;26.1;73.041667;50;7.7;1.616667;
2006-12-17;0;997.741667;24.020833;35.1;30.054167;26.1;71.166667;48;11.4;2.345833;
2006-12-18;0;997.247826;24.23913;35.7;30.734783;26.3;69.73913;48;9.9;2.578261;
2006-12-19;0;996.6375;24.2375;36.2;30.958333;26.6;68.958333;47;11;2.958333;
2006-12-20;0;996.083333;23.4;35;30.5;26.4;66.791667;51;12.1;3.55;
2006-12-21;0;998.858333;22.933333;32.4;29.195833;27.7;69.291667;55;14.6;3.2125;
2006-12-22;0;1001.170833;23.208333;34.4;27.654167;24.1;77.833333;45;12.4;1.820833;
2006-12-23;4;999.616667;23.029167;35.4;29.441667;24.9;70.125;44;11;3.295833;
2006-12-24;0;997.429167;21.966667;35.5;30.3;25.7;63;42;13.8;3.775;
2006-12-25;.2;997.675;21.9125;36.4;30.679167;26.7;61.708333;37;13.5;3.491667;
2006-12-26;8.4;1000.475;23.625;32.3;27.216667;23.8;81.708333;56;11.5;1.591667;
2006-12-27;.2;1000.7;23.5375;34.5;29.158333;24.5;73.333333;51;8.5;1.529167;
2006-12-28;.2;1002.6625;23.075;31.7;26.358333;25.4;82.416667;63;9.4;1.895833;
2006-12-29;.8;1003.083333;22.279167;33.7;26.5625;23.1;78.916667;46;7.8;1.695833;
2006-12-30;.4;1002.666667;22.820833;31.3;26.366667;23.3;81.375;58;10.8;1.008333;
2006-12-31;2;1002.066667;22.783333;32.3;25.920833;23.1;83.541667;55;16.3;1;
2007-01-01;7.8;998.941667;22.833333;34.3;27.179167;22;78.916667;49;14.9;1.429167;
2007-01-02;6;998.033333;23.808333;33.2;27.4125;24;81.416667;57;12.8;2.6875;
2007-01-03;1.4;998.691667;23.558333;32.2;27.525;24.1;80.083333;56;11.2;3.070833;
2007-01-04;8.6;996.733333;24.3;33.2;27.758333;24.6;82.375;56;8.6;2.1875;
2007-01-05;.2;996.175;23.491667;35.7;29.366667;24.6;73.791667;42;9.1;2.004167;
2007-01-06;0;996.6875;23.366667;36.3;30.025;24.8;70.041667;38;7.8;1.229167;
2007-01-07;0;998.441667;23.658333;34.7;29.1;23.5;73.625;49;6;1.433333;
2007-01-08;0;999.066667;24.9375;35.3;29.05;26.2;79.541667;48;9.1;1.575;
2007-01-09;.6;999.1;23.954167;34.6;28.804167;24.7;76.666667;51;8.1;2.370833;
2007-01-10;.2;998.3375;23.033333;37.3;30.820833;26.2;66.041667;39;10.6;2.983333;
2007-01-11;0;998.016667;22.7625;37.5;31.554167;27.4;62.083333;35;11.3;3.004167;
2007-01-12;0;996.9875;23.975;35.1;29.6875;27.6;72.208333;50;11.5;2.020833;
2007-01-13;1.2;994.358333;24.008333;35;28.608333;24.7;78.333333;47;8.4;1.3375;
2007-01-14;9.2;995.95;22.379167;36.6;29.8625;24.9;69.041667;30;8.6;1.975;
2007-01-15;0;997.520833;20.495833;36.5;29.570833;22.5;60.583333;35;11.6;1.95;
2007-01-16;0;998.941667;22.8625;34.5;27.5;23.2;77.5;49;11.8;1.620833;
2007-01-17;8.6;997.129167;24.216667;33.1;27.954167;24.1;81.5;57;8.7;2.045833;
2007-01-18;0;998.129167;23.654167;36.5;29.6;25.4;72.083333;45;10.8;2.6;
2007-01-19;0;996.929167;23.220833;38;31.7625;26.7;63;38;11.6;3.304167;
2007-01-20;1.6;1001.558333;22.420833;32.9;25.083333;24.1;85.916667;54;11.4;2.4625;
2007-01-21;33.8;1003.933333;21.408333;31.6;25.208333;21.2;81.25;55;8.2;1.554167;
2007-01-22;0;1000.5625;23.383333;34.3;28.925;22.9;74.125;47;6.7;1.058333;
2007-01-23;0;997.279167;24.029167;35.6;30.4875;25.9;69.791667;48;8.1;2.3125;
2007-01-24;0;997.95;23.779167;34;29.608333;25.5;72.041667;53;9.9;2.4625;
2007-01-25;14.6;998.425;23.145833;30.9;25.925;21.5;85.25;66;12.6;2.2625;
2007-01-26;6;998.708333;23.516667;32.8;27.379167;22.3;80.75;58;7.4;1.908333;
2007-01-27;0;998.870833;24.691667;33.9;28.816667;26.2;79.125;54;10.7;2.020833;
2007-01-28;15.6;998.195833;23.7625;30.9;26.1125;24.3;87.166667;69;11;2.266667;
2007-01-29;26.2;998.7875;22.033333;33;26.966667;21.6;76.416667;51;7;1.233333;
2007-01-30;34.6;999.933333;24.116667;29.6;26.079167;23.4;89.5;69;9;.845833;
2007-01-31;34.6;1000.05;23.620833;28.9;25.595833;22.7;89.25;76;10.2;1.575;
2007-02-01;40.4;1001.358333;23.875;34.1;27.604167;22.9;81.916667;50;10.1;1.066667;
2007-02-02;0;1000.520833;23.7375;35;28.054167;23.8;78.916667;51;9.8;1.704167;
2007-02-03;1.4;998.3125;23.883333;34;28.733333;24.2;76.625;52;7.5;1.366667;
2007-02-04;0;996.633333;25.3;32.6;28.941667;26.1;81.5;63;7.9;1.583333;
2007-02-05;1.6;997.054167;23.7875;33.3;28.070833;23.8;79.291667;56;6.5;1.508333;
2007-02-06;0;995.870833;25.008333;35;30.266667;26.1;74.708333;54;8.8;2.5625;
2007-02-07;89;998.85;24.508333;32;27.383333;22.9;85.125;65;11.2;1.8375;
2007-02-08;0;1001.175;23.4375;33;28.341667;23.8;76.5;51;5.9;1.220833;
2007-02-09;0;1001.245833;24.116667;35.1;29.429167;24.7;75.125;46;5.9;1.170833;
2007-02-10;19.8;1003.433333;24.7875;31.2;27.5375;24.1;85.375;64;13.1;1.604167;
2007-02-11;4.4;1003.175;24.0875;32.8;27.733333;24.2;81.666667;58;8.4;1.545833;
2007-02-12;0;999.883333;23.229167;33.9;28.720833;24;74.166667;47;5.2;1.425;
2007-02-13;0;998.46087;22.882609;33.9;29.143478;24.7;71.130435;45;6.9;1.230435;
2007-02-14;0;997.595833;20.833333;33.9;28.75;23.5;64.833333;38;6.6;1.170833;
2007-02-15;0;996.358333;21.383333;33.5;28.3875;23.1;67.5;46;7.9;1.1375;
2007-02-16;3.4;995.520833;23.8625;31.3;27.1125;24.9;83.333333;61;18.8;2.770833;
2007-02-17;18;995.583333;23.745833;32;26.883333;23.6;84;58;12.8;2.629167;
