Nome: PIRACICABA
Codigo Estacao: A726
Latitude: -22.70305555
Longitude: -47.62333332
Altitude: 566.46
Situacao: Pane
Data Inicial: 2006-09-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-09-25;0;965.45;13.179167;28.2;20.245833;14.6;66.541667;40;8.6;2.625;
2006-09-26;0;965.895833;11.845833;29.6;20.908333;13;60.041667;28;10.8;3.670833;
2006-09-27;0;965.808333;14.166667;31.1;22.6625;16.1;61.291667;35;11.8;3.795833;
2006-09-28;0;963.6;14.143478;32.1;24.917391;18.2;53.304348;32;9.4;2.369565;
2006-09-29;0;961.4;14.045833;31.4;24.608333;20.8;52.666667;34;11.1;1.766667;
2006-09-30;0;963.55;15.554167;29.1;22.366667;18.3;66.625;46;11.5;3.591667;
2006-10-01;6.2;963.2875;17.716667;26.9;22.308333;18.6;75.625;61;10.2;2.925;
2006-10-02;27.4;960.7875;18.720833;28.9;23.104167;18.2;78.208333;52;13.6;1.908333;
2006-10-03;0;959.320833;19.733333;32.2;25.595833;20.9;72.5;39;6.6;.929167;
2006-10-04;0;958.55;19.2125;31.3;24.454167;19.6;73.666667;45;9;2.0375;
2006-10-05;3.8;960.083333;19.9;31.5;25.133333;21.2;74.833333;47;19.8;2.5875;
2006-10-06;12;960.7875;19.725;27.1;22.841667;19.7;83.125;63;16.3;1.9875;
2006-10-07;0;961.6375;20.25;31.1;25.341667;21.3;75.375;47;7;1.1125;
2006-10-08;0;961.941667;19.058333;30.6;24.879167;19.8;72.333333;46;7.2;1.7;
2006-10-09;0;962.920833;17.516667;31.9;24.895833;18.6;65.333333;42;15.3;3.808333;
2006-10-10;0;963.520833;17.808333;32.1;25.404167;19;65.291667;38;15.3;3.0125;
2006-10-11;0;961.3625;18.0375;31.8;25.516667;20.2;64.5;44;7;2.1125;
2006-10-12;0;958.691667;19.5625;29.9;23.620833;22.2;78.75;55;11.7;1.408333;
2006-10-13;14;958.129167;20.808333;29.3;24.2;20.5;82.583333;58;5.1;1.05;
2006-10-14;0;958.775;19.779167;31.1;25.104167;20.3;74;47;8.4;2.2875;
2006-10-15;0;958.729167;19.795833;31.8;25.654167;20.9;71.875;45;7.9;1.858333;
2006-10-16;6.6;958.579167;20.779167;31.1;25.091667;21.1;78.375;49;8.1;2.0375;
