Nome: PRADOPOLIS
Codigo Estacao: A747
Latitude: -21.33833333
Longitude: -48.11388888
Altitude: 540.41
Situacao: Operante
Data Inicial: 2008-04-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-21;null;null;null;22;null;null;null;89;5.9;null;
2008-04-22;null;952.541667;18.204167;29;22.020833;17.5;81.458333;48;6.6;1.45;
2008-04-23;9.6;951.358333;17.316667;29.3;21.2625;15.8;80.958333;44;11.3;1.508333;
2008-04-24;0;950.529167;15.366667;29.3;20.475;14.4;77.291667;35;9.5;1.4875;
2008-04-25;0;950.183333;14.179167;28.8;19.991667;12.7;74.166667;33;9.2;1.279167;
2008-04-26;0;950.166667;14.1375;28.8;19.679167;11.8;74.75;36;7.4;.879167;
2008-04-27;0;950.891667;14.129167;30.4;20.583333;12.7;72.166667;29;5.2;.6625;
2008-04-28;0;950.2125;14.258333;30.7;21.0375;12.5;71.125;29;6.6;.920833;
2008-04-29;0;949.8625;17.595833;31.5;22.591667;15.9;76.333333;44;18.4;2.304167;
2008-04-30;4.8;952.029167;18.295833;26;21.5125;18.7;82.916667;60;9.2;2.791667;
2008-05-01;0;953.5;15.23913;23.3;19.269565;16.6;77.695652;65;8.5;3.330435;
2008-05-02;13.8;952.125;18.070833;22;19.229167;17.4;93.083333;84;6.7;1.375;
2008-05-03;42.6;954.283333;13.075;19.8;16.3;14.5;82.041667;59;8.1;3.004167;
