Nome: COSTA RICA
Codigo Estacao: A760
Latitude: -18.49277777
Longitude: -53.17138888
Altitude: 727.34
Situacao: Operante
Data Inicial: 2012-12-03
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-12-03;null;null;null;null;null;null;null;null;null;null;
2012-12-04;null;null;null;null;null;null;null;null;null;null;
2012-12-05;null;null;null;null;null;null;null;null;null;null;
2012-12-06;null;null;null;null;null;null;null;34;11.8;null;
2012-12-07;0;928.679167;18.85;32.1;25.420833;20.8;68.625;42;14.7;4.116667;
2012-12-08;2.2;930.3125;19.320833;34.7;26.908333;21.1;66.291667;33;8.7;2.8;
2012-12-09;8.4;930.920833;20.2125;33.4;25.129167;20.3;76.583333;40;18.5;2.633333;
2012-12-10;28.2;928.383333;20.341667;30.8;23.766667;20.8;81.75;52;12.2;2.925;
2012-12-11;5.4;928.070833;19.329167;29.5;24.420833;20.8;74.625;50;11.6;3.8375;
2012-12-12;0;927.545833;19.9875;30.7;24.370833;20.7;78.416667;47;10.3;2.6625;
2012-12-13;.8;927.566667;20.483333;30.6;22.941667;20.6;86.75;54;13.9;3.2;
2012-12-14;8.6;926.904167;20.366667;29.9;23.895833;20.3;82.333333;54;10.6;3.408333;
2012-12-15;6.2;927.866667;20.3125;30.4;23.429167;21.1;83.791667;53;11.7;4.329167;
2012-12-16;1.8;928.683333;19.716667;30;23.258333;20.2;82.125;50;13.6;4.704167;
2012-12-17;27.6;930.541667;19.425;23.9;21.5375;19.7;87.958333;70;13.2;3.983333;
2012-12-18;1.4;929.3875;19.191667;30.1;23.191667;19.6;80.291667;46;16.6;3.304167;
2012-12-19;15;928.7;18.825;31.6;24.316667;19.1;73.708333;41;11.1;4.091667;
2012-12-20;1.6;928.5125;18.3;33.1;24.6875;19.6;70;38;14.1;3.658333;
2012-12-21;0;930.245833;19.525;33.4;25.05;20.9;73.291667;35;22.6;2.6625;
2012-12-22;35.4;930.829167;20.225;32;24.75;20.7;77.25;45;12.4;2.858333;
2012-12-23;10.6;929.9375;20.166667;31.9;24.7875;20.7;77.125;50;19.5;3.183333;
2012-12-24;8.6;929.870833;19.4;32.5;23.479167;18.4;79.541667;43;17.1;3.333333;
2012-12-25;20.4;929.408333;18.558333;32.2;24.3875;18.6;72.208333;41;12.6;3.825;
2012-12-26;0;931.1;18.229167;32.2;25.504167;20;67;40;9.5;3.308333;
2012-12-27;0;930.1;19.520833;32;24.216667;21.1;76.625;45;21.3;2.091667;
2012-12-28;28.6;930.508333;18.6875;30.6;22.716667;17.7;79.75;44;17.4;3.129167;
2012-12-29;0;930.758333;17.245833;30.7;23.6;18;70.875;37;7;2.425;
2012-12-30;0;931.058333;19.295833;31.4;23.720833;21.2;77.416667;44;12.3;2.275;
2012-12-31;5.8;930.966667;19.570833;31.8;24.466667;20.2;76.666667;43;11.4;2.883333;
2013-01-01;.2;930.929167;19.729167;32.2;23.733333;20.4;80.833333;38;14.6;3.141667;
2013-01-02;1.2;931.420833;19.283333;29.7;23.445833;19.5;79.166667;52;7.3;2.6875;
2013-01-03;0;931.879167;19.129167;34.1;25.508333;20.6;70.666667;30;9;2.741667;
2013-01-04;34.6;932.816667;20.033333;32.1;23.816667;20;80.833333;43;9.7;3.208333;
2013-01-05;.4;932.204167;19.541667;32.2;24.420833;20.6;76.166667;42;10.9;2.983333;
2013-01-06;0;930.833333;19.9375;30.4;24;20.6;78.875;52;9.1;3.1625;
2013-01-07;0;929.3875;20.133333;32.1;25.720833;22;72.916667;44;10.2;3.625;
2013-01-08;0;930.070833;20.975;30.8;24.6125;21.6;80.958333;56;12.6;3;
2013-01-09;12.6;930.520833;20.5625;31.5;23.975;20.5;82.791667;48;13.3;3.825;
2013-01-10;15.6;928.841667;20.1625;30;23.241667;20.3;84.166667;51;10.8;2.941667;
2013-01-11;50.2;927.133333;19.683333;26.3;22.225;19.5;86.083333;68;12.6;3.629167;
2013-01-12;0;926.15;19.708333;29.4;22.725;19.3;84.125;52;12.7;3.158333;
2013-01-13;84.8;928.420833;18.841667;27.4;22.279167;19.4;81.416667;59;16.6;5.95;
2013-01-14;.4;929.841667;18.825;27.9;21.6625;18.6;84.583333;61;9.5;4.5;
2013-01-15;44.2;928.241667;19.504167;28.4;22.525;17.7;84.125;56;14.7;3.025;
2013-01-16;7.4;927.108333;18.679167;29.6;22.95;18.1;78.875;51;11.3;3.983333;
2013-01-17;0;929.183333;19.45;31.2;24.5625;18.7;75.625;43;10.4;3.866667;
2013-01-18;9.2;929.55;19.7875;31.8;24.3625;20.3;77.25;41;13.2;2.458333;
2013-01-19;.8;929.058333;19.945833;31.2;24.079167;21;78.916667;50;8.7;2.420833;
2013-01-20;0;928.758333;19.8375;30.4;24.154167;20.1;78.541667;48;12.7;2.791667;
2013-01-21;9.8;930.2125;20.229167;28.6;23.166667;20.3;84.416667;57;10.4;2.079167;
2013-01-22;107.6;931.616667;19.908333;29.9;22.8125;20.2;84.958333;51;15.7;2.8625;
2013-01-23;53.2;930.4;20.108333;31.2;24.358333;20;79.208333;47;8.2;2.608333;
2013-01-24;5.6;928.679167;20.320833;30.1;24.1625;20.2;80.375;55;9.3;2.9375;
2013-01-25;.4;927.720833;20.9625;29.7;24.05;21.5;83.916667;56;12;3.5;
2013-01-26;3.8;928.6;20.733333;26.7;22.941667;21.1;87.833333;67;8.1;2.3875;
2013-01-27;0;929.970833;20.5625;30.3;24.120833;20.1;81.916667;51;10;1.979167;
2013-01-28;5;930.5625;20.583333;31.7;25.625;21.5;76.291667;45;8.6;2.6375;
2013-01-29;0;930.175;19.083333;32.4;25.279167;19.6;70.666667;42;8.6;2.525;
2013-01-30;0;929.304167;21.041667;30.9;25.0375;21.7;79.291667;50;8.8;3.416667;
2013-01-31;37.4;929.066667;20.654167;26.5;22.591667;20.4;89.083333;72;14.5;4.145833;
2013-02-01;4.6;929.195833;19.479167;29.3;23.6875;20.9;78.833333;48;12.4;4.9125;
