Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Pane
Data Inicial: 2012-11-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-11-29;null;null;null;null;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;null;null;null;null;
2012-12-01;null;null;null;null;null;null;null;null;null;null;
2012-12-02;null;null;null;null;null;null;null;null;null;null;
2012-12-03;null;null;null;null;null;null;62.083333;49;10.5;null;
2012-12-04;0;955.0875;20.741667;31.5;26.15;22.5;73.708333;46;12.5;4.454167;
2012-12-05;0;954.836364;20.031818;31.8;25.918182;21.5;72.136364;43;11.5;3.768182;
2012-12-06;0;953.1875;19.816667;32.3;26.095833;21.4;70.541667;44;11.9;3.854167;
2012-12-07;0;953.1625;20.604167;33.1;26.516667;21.9;71.625;44;10.4;4.283333;
2012-12-08;.4;955.066667;21.325;34.8;28.3375;23.6;68.916667;37;9.4;3.05;
2012-12-09;3;956.041667;21.625;33.2;26.645833;22.2;76.291667;43;10.5;2.525;
2012-12-10;0;952.904167;21.545833;34.2;27.3875;23.1;72.25;41;14.9;3.341667;
2012-12-11;0;952.629167;20.4625;31.8;25.4375;22.6;74.625;55;14.9;4.0375;
2012-12-12;.4;952.173913;21.747826;31;25.986957;23.4;78.347826;55;10.2;3.76087;
2012-12-13;1.4;952.320833;21.675;30.3;25.404167;22.9;80.5;59;12.6;4.379167;
2012-12-14;0;951.904167;21.325;28.9;24.791667;21.9;81.708333;64;10.6;3.9625;
2012-12-15;0;952.75;21.125;29.4;23.929167;22.1;85.208333;60;9.3;3.4;
2012-12-16;15.2;953.579167;21.383333;29.8;24.425;21.6;84.125;58;14.9;4.4875;
2012-12-17;4.2;955.433333;21.05;24.5;22.925;21.4;89.291667;80;10.2;2.904167;
2012-12-18;1.2;953.758333;20.683333;32;25.625;21.9;75.333333;49;11.1;3.525;
2012-12-19;.2;952.95;20.95;31.7;26.733333;22.8;72.375;44;8.4;3.175;
2012-12-20;0;952.954167;20.883333;34.2;27.670833;21.9;68.5;42;10.3;3.175;
2012-12-21;0;954.7125;20.279167;34;27.558333;22.4;65.791667;44;8.9;2.316667;
2012-12-22;64.8;955.841667;20.670833;32.2;25.991667;20;74.083333;46;17.1;3.058333;
2012-12-23;21;954.625;21.354167;32.3;26.245833;21.2;75.708333;47;10.2;3.954167;
2012-12-24;4.2;954.366667;21.170833;32;25.245833;21.5;78.875;56;19.8;3.083333;
2012-12-25;.2;954.15;20.2;32.4;25.570833;21.6;73.458333;48;19;3.758333;
2012-12-26;0;955.929167;20.229167;32.7;26.7;22.1;69.416667;42;8.9;2.979167;
2012-12-27;0;955.216667;20.654167;32.8;26.191667;21.2;72.875;44;6.2;2.325;
2012-12-28;0;955.6375;19.583333;31.5;23.366667;20.6;80.875;46;22.5;2.566667;
2012-12-29;14.2;955.908333;19.783333;30.6;24.070833;20.3;78.583333;49;5.7;2.229167;
2012-12-30;0;955.9375;20.941667;32.6;25.508333;22.5;77.416667;43;14.4;2.495833;
2012-12-31;.2;955.645833;21.075;32.9;24.975;22.1;80.125;43;13.6;2.983333;
