Nome: SANTA MARIA
Codigo Estacao: A803
Latitude: -29.72499999
Longitude: -53.72055554
Altitude: 103.1
Situacao: Operante
Data Inicial: 2001-11-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-11-25;null;null;null;null;null;null;null;null;null;null;
2001-11-26;null;null;null;null;null;null;null;62;6.2;null;
2001-11-27;null;999.9;19.629167;26.6;22.954167;21;82.166667;64;6.4;2.029167;
2001-11-28;0;999.9375;12.866667;26.2;21.004167;15;61.25;37;9.4;2.75;
2001-11-29;0;998.445833;12.879167;26.1;20.091667;13.7;65.25;43;11.3;2.6;
2001-11-30;0;995.025;13.9375;21.6;18.041667;17.3;77.25;60;9.8;2.004167;
2001-12-01;0;994.995833;13.816667;25.9;19.175;14.4;73.541667;42;6.5;1.6875;
2001-12-02;0;1000.458333;13.5;28.1;21.033333;13.6;66.166667;37;5.3;.95;
2001-12-03;0;1002.145833;15.441667;24.5;20.7625;17.1;71.791667;56;10.6;2.875;
2001-12-04;0;1001.475;17.2;21.3;19.35;18.5;87.458333;76;7;2.091667;
2001-12-05;0;996.929167;18.2;25.8;20.920833;18;85.333333;64;6.6;1.554167;
2001-12-06;0;996.341667;17.7125;24.8;20.758333;17.2;83.083333;67;7.6;1.870833;
2001-12-07;0;997.279167;16.7375;30.1;22.7625;15.7;72.208333;35;5.1;.866667;
2001-12-08;0;1000.229167;15.741667;25.5;20.883333;17.3;73.625;50;8.6;1.716667;
2001-12-09;0;1002.283333;12.3;24.6;18.4375;13.3;69.041667;46;7;1.883333;
2001-12-10;0;1001.375;14.675;26.6;19.2875;12.4;75.75;55;7.5;2.308333;
2001-12-11;0;1001.166667;17.583333;30.6;23.258333;18.1;72.958333;38;7.8;1.879167;
2001-12-12;0;998.616667;18.883333;32.4;25.6625;19.7;68.291667;41;6.1;1.55;
2001-12-13;0;995.2625;20.275;30.4;25.491667;22.3;73.916667;55;7.5;1.733333;
2001-12-14;0;996.425;18.979167;30.6;24.791667;21;71.583333;46;11.1;2.829167;
2001-12-15;0;999.454167;15.304167;27.8;22.554167;18.7;65.416667;36;10.3;2.854167;
2001-12-16;0;997.95;14.9875;28.7;22.0875;17.4;66.25;40;6.4;1.245833;
2001-12-17;0;995.278261;13.682609;29.3;22.913043;15.2;60.913043;23;8.6;1.395652;
2001-12-18;0;994.945833;14.8875;30;23.025;16.8;62.916667;27;9;1.270833;
2001-12-19;0;996.626087;14.265217;33.8;23.856522;14.6;59.782609;28;5.9;1.065217;
2001-12-20;0;996.233333;18.566667;36.2;26.995833;20.5;64.125;31;14.6;1.1625;
2001-12-21;0;993.929167;19.770833;35.3;24.275;20;78.75;35;16.7;2.4125;
2001-12-22;0;997.020833;17.683333;25.1;20.591667;17.6;84.166667;56;8.3;2.029167;
2001-12-23;0;1005.370833;14.333333;25.6;20.820833;15.8;69.541667;36;7.3;1.658333;
2001-12-24;0;1008.345833;14.3;26.5;21.083333;15.4;67.291667;43;11.2;2.666667;
