Nome: SANTO AUGUSTO
Codigo Estacao: A805
Latitude: -27.854345
Longitude: -53.791179
Altitude: 489.67
Situacao: Operante
Data Inicial: 2001-12-04
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-12-04;null;null;null;null;null;null;null;null;null;null;
2001-12-05;null;null;null;null;null;null;null;70;9.7;null;
2001-12-06;null;952.7375;16.495833;26.8;20.7375;17.5;78.875;49;9.8;2.995833;
2001-12-07;0;953.133333;13.929167;30.2;23.3875;16.6;59.083333;28;8.3;1.583333;
2001-12-08;0;954.570833;14.520833;31.2;24.808333;19.9;54.041667;35;14.8;3.495833;
2001-12-09;0;954.925;13.941667;30.8;22.8375;16.3;60.666667;32;9.7;3.2;
2001-12-10;0;954.675;15.9;32.5;24.325;17.1;62.208333;35;9.4;3.341667;
2001-12-11;0;956.308333;18.241667;31.7;24.754167;20;68.333333;45;15.7;3.195833;
2001-12-12;0;954.4125;17.991667;31.8;23.8625;18.5;72.666667;39;11.1;2.933333;
2001-12-13;.8;950.9875;18.6;31.8;23.308333;19.5;76.333333;42;12.2;3.1;
2001-12-14;0;950.591667;17.458333;31.1;24.5125;18.8;68.208333;38;9;3.354167;
2001-12-15;0;952.6625;16.725;28.6;22.745833;18.2;70;46;10.8;4.866667;
2001-12-16;0;952.766667;13.141667;28.1;21.170833;15.4;63.208333;35;8.1;2.9125;
2001-12-17;0;951.230435;12.226087;29.5;22.817391;15.6;54.826087;28;10.3;3.034783;
2001-12-18;0;951.108696;10.817391;32;24.252174;17;44.782609;28;10.8;2.291304;
2001-12-19;0;952.8375;13.8375;34.5;26.745833;20.2;48.125;24;8.1;2.954167;
2001-12-20;0;952.695833;14.704167;35.4;28.270833;23.2;45.208333;26;7.6;2.279167;
2001-12-21;0;950.229167;17.716667;34.1;25.4;21.1;66.375;30;23.7;4.608333;
2001-12-22;19.2;951.620833;17.983333;23.8;20.191667;19.2;87.416667;73;11.4;3.766667;
2001-12-23;1;958.975;12.591667;26;19.841667;15;66.875;36;10.5;3.408333;
2001-12-24;0;961.004167;11.775;29.2;21.379167;13.9;58.625;26;8.9;3.95;
2001-12-25;0;960.15;12.7;29.3;22.525;17.1;56.75;29;11.9;4.666667;
2001-12-26;0;957.695833;13.970833;31.2;23.825;18;56.083333;31;10.6;4.208333;
2001-12-27;0;955.266667;14.7;33.2;25.4125;19.5;53.25;29;14.3;3.525;
2001-12-28;0;954.4;17.820833;30.1;25.158333;21.7;64.25;45;10;2.125;
2001-12-29;0;954.041667;17.558333;32.9;25.475;19;64.916667;36;8.4;2.275;
2001-12-30;0;951.8625;17.708333;34.8;26.233333;20.3;63.416667;27;8;3.45;
2001-12-31;1.4;948.929167;19.2;32;24.354167;21.6;74.125;42;11.3;3.625;
2002-01-01;31.2;949.1;16.8;28.9;22.983333;18.1;71.666667;39;15.3;2.85;
2002-01-02;0;951.041667;15.170833;29.6;23.8875;18.8;59.375;39;10.5;3.1625;
2002-01-03;0;952.3875;15.075;29.9;24.029167;18.2;59.791667;34;8.8;3.083333;
2002-01-04;0;953.025;14.141667;30.8;24.141667;18;56.333333;30;6.9;2.325;
2002-01-05;0;954.004167;16.595833;25.4;21.8625;19.1;72.291667;52;9.3;3.8;
2002-01-06;.6;953.5125;16.154167;28.3;22.391667;18.9;70.458333;36;11;2.845833;
2002-01-07;0;953.658333;13.975;29.4;21.991667;15.4;62.875;34;7.3;2.079167;
2002-01-08;0;954.616667;11.4375;32.3;24.5625;17.4;46.166667;28;8.4;3.591667;
2002-01-09;0;957.366667;15.6875;35.8;26.291667;19.4;55.541667;23;14;4.458333;
2002-01-10;0;959.641667;16.270833;33.4;24.05;19.4;64.791667;28;12.7;4.541667;
2002-01-11;10;960.075;18.2;30.5;22.558333;20;78.041667;45;10.5;4.333333;
2002-01-12;9.4;957.683333;17.5;25.3;21.708333;18.9;77.583333;62;9.8;4.15;
2002-01-13;0;952.208333;18.7875;27.3;22.225;18.5;81.291667;59;8.3;3.104167;
2002-01-14;.4;952.158333;19.3875;32.3;24.9125;19.3;73.791667;39;17;3.729167;
2002-01-15;.2;955.175;13.866667;26.1;20.2375;16.4;68.458333;40;14.8;5.1;
2002-01-16;0;956.083333;10.641667;26.5;19.120833;12;61.791667;33;11.4;3.175;
2002-01-17;0;956.925;10.766667;27.5;19.966667;13.2;59.708333;30;8.6;3.516667;
2002-01-18;0;957.3125;11.866667;30.4;21.770833;14.6;56.666667;31;9.5;3.754167;
2002-01-19;0;955.745833;12.579167;32.1;24.145833;17.6;51.583333;25;10.3;4.104167;
2002-01-20;0;955.716667;13.1625;34.1;26.6875;19.7;45.083333;26;7.1;3.216667;
2002-01-21;0;956.220833;15.545833;34.3;27.183333;21.6;50.25;27;10.6;2.929167;
2002-01-22;0;956.6;19.675;31.8;24.808333;21.8;74.041667;50;8.2;2.2125;
2002-01-23;1.2;956.0625;20.020833;31.4;24.354167;19.3;78.125;51;9.5;2.779167;
2002-01-24;10.8;953.4;19.5125;26.8;22.654167;19.5;82.791667;66;14.2;3.145833;
2002-01-25;0;950.7625;20.45;30.9;24.966667;20.1;77.541667;53;10;2.191667;
2002-01-26;.8;952.2875;19.829167;26.2;21.429167;20.8;90.666667;74;12.6;3.208333;
2002-01-27;51.6;951.4125;18.754167;21.6;19.920833;18.9;93.041667;88;13.3;3.5;
2002-01-28;24.8;950.8625;18.066667;29.9;23.608333;19;74.375;34;6;1.633333;
2002-01-29;0;952.504167;18.345833;28.3;23.7375;18.9;72.25;50;8;3.075;
2002-01-30;0;953.672727;19.109091;30;24.018182;19.2;75.545455;52;10.3;2.954545;
2002-01-31;null;950.895455;19.513636;26.9;22.2;21.8;84.863636;74;36.4;5.072727;
2002-02-01;15.2;954.3625;18.416667;26.6;21.525;18;83.333333;60;6.6;2.054167;
2002-02-02;0;957.879167;11.5;25.3;19.908333;13.8;59.583333;33;8.1;3.345833;
2002-02-03;0;957.966667;11.745833;26.3;19.575;13.5;63.5;34;9.8;3.504167;
2002-02-04;0;955.1875;13.9375;29.4;21.6125;15.2;64.041667;36;11.3;4.05;
2002-02-05;0;956.183333;16.029167;29;23.925;19.7;61.625;45;11.7;2.454167;
2002-02-06;1;956.325;17.308333;26.4;21.9;19.1;76.083333;52;7.8;2.283333;
2002-02-07;1.4;954.158333;16.195833;27.6;21.4125;17;74;45;7.4;2.5875;
2002-02-08;0;952.954167;15.8;28.3;22.1;17;69.5;41;9.4;2.0875;
2002-02-09;0;952.616667;14.7625;26.9;21.545833;16.9;66.083333;45;16.7;2.404167;
2002-02-10;7.2;952.891667;16.079167;27.6;21.991667;17.1;70.041667;51;14.5;2.716667;
2002-02-11;7;955.429167;15.233333;30.4;23.766667;18.5;60.125;34;7;2.554167;
2002-02-12;0;957.7;17.795833;28;23.395833;20.1;71;51;8.1;2.1125;
2002-02-13;.6;955.883333;19.416667;25.8;22.120833;19.6;84.708333;70;8.8;2.870833;
2002-02-14;1.4;954.454167;19.345833;29.7;23.5125;19.7;79;42;6.7;2.116667;
2002-02-15;0;956.195833;18.958333;31;24.595833;19.5;73.25;42;8;1.995833;
2002-02-16;0;958.704167;18.183333;29.9;23.629167;19.1;73.166667;44;10.5;4.141667;
2002-02-17;0;958.745833;16.829167;30.8;22.679167;16.8;71.625;38;11.2;4.333333;
2002-02-18;0;956.491667;17.495833;31.1;22.720833;18.2;73.583333;48;11;4.558333;
2002-02-19;0;956.045833;18.0625;29.9;22.291667;19.5;78.125;53;11.8;4.354167;
2002-02-20;21.8;954.829167;18.1;28.1;22.275;18.9;78.375;50;9.5;3.483333;
2002-02-21;0;951.858333;18.025;29.6;23.870833;18.5;70.916667;48;7.6;1.720833;
2002-02-22;1.2;950;17.425;26.8;22.154167;18.3;76.166667;48;10.1;2.633333;
2002-02-23;0;953.158333;15.970833;28.7;21.820833;16.3;71.625;44;8.5;2.058333;
2002-02-24;.8;958.708333;15.008333;28.6;22.070833;16.5;66.666667;38;9.7;3.1625;
2002-02-25;0;957.45;12.320833;30.9;22.479167;15.6;56.291667;25;8;3.4625;
2002-02-26;0;954.770833;15.595833;32.3;24.983333;18.4;57.208333;36;10.1;3.770833;
2002-02-27;0;954.604167;18.283333;33.1;25.725;20.6;64.208333;42;11.1;4.1;
2002-02-28;1.8;954.329167;19.2875;31.5;25.341667;20.3;70.291667;48;11.2;3.891667;
2002-03-01;0;956.495833;20.1375;25.8;22.604167;22;86.166667;71;8.5;2.375;
2002-03-02;5.6;957.658333;19.333333;31.2;23.491667;19;79.25;46;8.4;2.920833;
2002-03-03;0;956.9875;19.933333;33.7;25.066667;19.6;75;44;10.1;3.916667;
2002-03-04;0;957.295833;20.083333;33.8;27.183333;22.2;66.916667;42;10;3.616667;
2002-03-05;0;957.625;20.433333;32;24.3;21.5;80.083333;53;13;3.329167;
2002-03-06;67.4;955.258333;20.329167;27.4;22.808333;20.6;86.375;67;9.2;2.029167;
2002-03-07;1.2;954.833333;20.333333;27.8;23.208333;20.9;84.333333;66;10;3.091667;
2002-03-08;0;956.5875;20.25;32;26.2125;21.8;71.458333;46;9.1;3.3125;
2002-03-09;0;957.8625;20.5;33.8;27.679167;22.4;66.375;44;8.4;3.354167;
