Nome: SANTA ROSA
Codigo Estacao: A810
Latitude: -27.890463
Longitude: -54.480014
Altitude: 272.84
Situacao: Operante
Data Inicial: 2006-11-14
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-14;null;null;null;null;null;null;null;null;null;null;
2006-11-15;null;null;null;null;null;null;null;29;6.1;null;
2006-11-16;null;976.804167;14.441667;35.6;27.254167;17.8;48.916667;24;12.8;1.908333;
2006-11-17;0;976.870833;19.616667;29.9;23.354167;22.7;80.541667;44;8.2;1.483333;
2006-11-18;42.2;979.0875;19.945833;22.7;20.695833;20.7;95.458333;89;7;1.183333;
2006-11-19;56;981.808333;16.729167;20.6;18.129167;16.2;91.708333;81;9.9;2.925;
2006-11-20;.6;982.708333;14.545833;27.4;19.604167;12.8;74.291667;45;8.8;2.095833;
2006-11-21;3;981.279167;16.55;29;21.454167;14.5;75.5;49;7;1.045833;
2006-11-22;0;980.641667;14.7625;31.6;23.833333;16.6;61.416667;30;7.1;1.133333;
2006-11-23;0;978.6875;14.954167;34.8;26.420833;17.2;52.416667;22;7.2;1.566667;
2006-11-24;0;978.558333;19.304167;29;22.645833;20.6;82.083333;46;11.4;1.541667;
2006-11-25;31;978.2125;20.25;26.9;22.016667;19.7;90.083333;69;7.4;1.208333;
2006-11-26;3.8;978.725;20.508333;31.1;25.095833;20.6;77.458333;51;12.2;2.045833;
2006-11-27;0;977.020833;18.9625;30.9;23.3625;19;77.25;58;12.7;2.166667;
2006-11-28;4;975.9375;18.9125;30.3;23.729167;19.7;76.75;48;9.7;1.4;
2006-11-29;0;979.2875;16.158333;29.1;22.770833;17.4;69.875;34;7.4;2.108333;
2006-11-30;1.6;980.854167;13.6875;31.8;23.991667;16.4;58.083333;24;7.7;1.783333;
2006-12-01;0;979.820833;16.591667;33.2;25.833333;19.2;60;30;6.8;1.5625;
2006-12-02;0;979.304167;15.845833;33.4;26.529167;19.4;54.166667;29;6.5;.920833;
2006-12-03;0;978.708333;17.208333;33.3;27.1;20.4;57.166667;31;4.8;.804167;
2006-12-04;0;978.291304;17.53913;36.2;28.591304;20.4;55.434783;27;7.5;1.278261;
2006-12-05;0;978.416667;19.216667;36.6;27.3875;21.7;64;29;8.8;1.9125;
2006-12-06;3.2;977.6375;19.729167;31.7;25.420833;21.5;73.375;40;10.2;2.3125;
2006-12-07;0;977.5375;15.35;30.7;23.45;16.5;63.5;31;7.2;2.15;
2006-12-08;0;975.266667;16.4125;34.6;25.729167;18.7;58.625;30;7.3;1.504167;
2006-12-09;0;977.129167;17.625;33.3;26.616667;19.8;62.416667;26;8.3;1.345833;
2006-12-10;0;979.454167;11.320833;34;26.179167;17.5;44.791667;14;9.5;2.254167;
