Nome: MARINGA
Codigo Estacao: A835
Latitude: -23.40527777
Longitude: -51.93277777
Altitude: 548.51
Situacao: Operante
Data Inicial: 2006-11-20
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-20;null;null;null;null;null;null;null;null;null;null;
2006-11-21;null;null;null;null;null;null;null;36;6.3;null;
2006-11-22;null;949.591667;16.225;33.4;27.05;21.2;54.125;29;8.3;2.2125;
2006-11-23;0;948.270833;15.666667;35.1;28.858333;23.5;47.208333;26;10.7;2.6125;
2006-11-24;0;949.004167;13.979167;34.7;28.275;22.9;43.541667;26;12;3.520833;
2006-11-25;2.4;949.054167;19.8375;30.6;23.541667;20.4;80.833333;52;12.2;2.429167;
2006-11-26;19.2;948.141667;20.4125;31.4;25.075;20.6;77.75;46;5.9;1.620833;
2006-11-27;0;946.925;20.404167;30.6;25.4125;22.5;74.625;54;8.6;2.0125;
2006-11-28;5.4;945.5;21.079167;28.6;23.858333;21.7;85.041667;64;12.4;1.766667;
2006-11-29;16;945.933333;21.358333;30.1;24.7875;21;82.666667;56;7.4;1.520833;
2006-11-30;3.4;948.016667;18.408333;32.5;26.883333;22;61.75;35;7.9;2.341667;
2006-12-01;0;950.204167;14.879167;31.5;25.275;18.7;55.333333;28;13.3;2.970833;
2006-12-02;0;949.820833;14.7875;32.5;25.279167;18.4;53.666667;34;10.5;2.816667;
2006-12-03;0;948.720833;18.9375;31.1;25.779167;22;66.708333;44;10.1;3.404167;
2006-12-04;0;948.617391;21.165217;31.1;24.734783;22.6;81.217391;53;11.9;2.26087;
2006-12-05;10.8;949.816667;21.104167;30;24.8375;21.5;80.875;54;8.8;2.095833;
2006-12-06;14.2;948.827273;21.240909;30.3;24.954545;20;81.227273;55;14.6;2.495455;
2006-12-07;19.8;947.079167;19.3;27.4;22.504167;19.3;83.25;63;8;1.229167;
2006-12-08;16.6;947.079167;19.2375;24.1;21.775;18.3;85.75;77;11.3;2.558333;
2006-12-09;1;947.358333;19.945833;28.2;24.083333;19.1;78.583333;61;7.2;1.6125;
2006-12-10;0;948.058333;19.170833;31.4;25.225;20.8;70.666667;44;12.3;2.145833;
2006-12-11;0;949.375;17.766667;32.2;25.904167;20.1;62.458333;37;9.1;2.208333;
2006-12-12;0;950.345833;16.6875;31.3;25.2375;19.5;59.875;40;10.3;2.804167;
2006-12-13;0;949.270833;18.0125;32.3;25.658333;19.8;63.583333;44;9.3;2.75;
2006-12-14;0;948.258333;19.6;30.8;26.704167;22.6;65.625;49;10.7;2.841667;
2006-12-15;0;949.191667;20.9;32.8;27.708333;23.6;67.5;46;9;2.216667;
2006-12-16;0;948.758333;20.3125;34.3;28.9;24.6;61.958333;36;9;2.004167;
2006-12-17;0;948.825;18.254167;35.1;29.5125;24.4;53.5;28;8.2;2.125;
2006-12-18;0;948.191667;19.379167;34.2;29.366667;25.6;55.875;40;8.6;1.995833;
2006-12-19;0;947.641667;20.820833;33.1;27.045833;23.4;70.125;49;18.3;1.666667;
2006-12-20;19.2;948.520833;20.845833;26.7;23.341667;20.8;86.166667;69;9.1;2.6125;
2006-12-21;106.6;950.533333;20.3625;25.1;21.308333;19.7;94.416667;79;9.2;1.6875;
2006-12-22;15.4;952.041667;21.316667;26.3;22.979167;19.8;90.541667;77;6.8;1.1625;
2006-12-23;15.2;null;null;26.2;null;20.4;91.5625;73;6.9;null;
2006-12-24;null;949.63913;21.521739;28.9;24.373913;21;84.913043;67;9.7;1.317391;
2006-12-25;null;null;null;null;null;null;null;80;2.1;null;
2006-12-26;null;null;null;null;null;null;79;56;9.1;null;
2006-12-27;.4;951.004167;19.683333;31.4;25.179167;19.1;73.708333;46;7.1;1.291667;
2006-12-28;0;952.695833;20.741667;30.8;25.979167;22.3;73.583333;51;9.8;2.158333;
2006-12-29;0;953.291667;18.9125;30.9;25.570833;21;67.916667;47;11.9;2.2625;
2006-12-30;0;952.183333;18.616667;30;25.604167;21.4;65.791667;46;9.3;2.370833;
2006-12-31;0;951.291667;20.054167;28.8;24.529167;21.5;76.791667;57;8.2;1.9125;
2007-01-01;6.6;949.233333;19.933333;27.4;24.670833;21.8;75.375;61;7.7;1.725;
2007-01-02;3.8;949.408333;21.15;27.5;23.3125;21.4;88.041667;69;6.8;1.6625;
2007-01-03;12.2;950.1625;21.429167;28;23.083333;21;90.833333;68;11.5;1.758333;
2007-01-04;6.2;947.470833;21.383333;28.3;22.633333;21.2;92.958333;70;12.8;2.145833;
2007-01-05;18.4;944.220833;22.266667;26.9;23.541667;21.8;92.791667;79;8.4;1.833333;
2007-01-06;10.6;944.35;22.120833;30.4;25.204167;22.2;84.291667;61;11.4;1.7;
2007-01-07;10.6;947.5625;22.145833;29;24.091667;22.2;88.958333;73;10.2;2.570833;
2007-01-08;10.6;949.866667;22.0625;29.7;24.454167;21.1;87.333333;63;8.1;2.466667;
2007-01-09;4.4;950;21.295833;29;24.366667;21.5;83.416667;64;8.2;2.4375;
2007-01-10;0;949.458333;21.529167;31.3;25.595833;20.6;79.583333;56;7.6;.8375;
2007-01-11;0;949.079167;22.179167;29.9;24.8625;22.9;85.75;63;9.6;1.85;
2007-01-12;1;946.65;21.583333;29.2;23.1;21.1;91.541667;69;9.2;1.116667;
2007-01-13;11.4;943.879167;21.704167;27.9;22.758333;21;94.041667;74;9.8;.883333;
2007-01-14;62.4;945.120833;21.1625;30.8;24.945833;21.2;81.25;50;6;1.141667;
2007-01-15;3.8;948.379167;17.745833;28;24.370833;20.4;68.166667;46;9.6;1.783333;
2007-01-16;0;950.4625;15.816667;31;25.566667;21;57.5;34;10.2;2.833333;
2007-01-17;0;948.9625;18.545833;26.2;22.295833;20.3;79.75;55;10;2.816667;
2007-01-18;9.6;947.533333;22.5125;29.8;25.020833;20.1;86.708333;67;12;2.55;
2007-01-19;3.8;948.108333;22.608333;32.4;26.658333;21.8;79.75;57;8.2;1.770833;
2007-01-20;36.2;949.983333;20.525;28.6;23.675;20.6;83.041667;66;13.4;2.4375;
2007-01-21;0;951.616667;19.908333;30.4;24.583333;20.6;76.25;50;6.7;1.641667;
2007-01-22;.2;951.5125;19.783333;27.5;23.9875;21.3;77.666667;65;9.8;3.2;
