Nome: PALMEIRA DAS MISSOES
Codigo Estacao: A856
Latitude: -27.92027777
Longitude: -53.31805554
Altitude: 614.11
Situacao: Operante
Data Inicial: 2008-02-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-02-25;null;null;null;null;null;null;null;null;null;null;
2008-02-26;null;null;null;null;null;null;null;null;null;null;
2008-02-27;null;null;null;null;null;null;null;null;null;null;
2008-02-28;null;null;null;null;null;null;67;56;12.2;null;
2008-02-29;28.8;934.469565;19.034783;26.2;20.991304;17.9;89.26087;64;11.8;3.23913;
2008-03-01;null;null;null;null;null;17.9;null;51;null;null;
2008-03-02;null;null;null;null;null;17;null;71;null;null;
2008-03-03;null;null;null;25.1;null;18.7;null;65;10;null;
2008-03-04;0;940.375;16.891667;23.9;19.2625;16.5;86.708333;67;11.5;2.475;
2008-03-05;.2;940.954167;14.9375;26.1;20.454167;16.2;73.125;42;8.7;1.520833;
2008-03-06;0;941.145833;13.675;27.5;21.916667;17.2;60.583333;41;7.5;1.2625;
2008-03-07;0;942.783333;14.704167;29.7;23.233333;18.4;60.458333;31;5.8;1.554167;
2008-03-08;0;943.366667;15.275;31.7;24.183333;18.1;59.833333;32;8.9;2.225;
2008-03-09;0;944.366667;18.325;30.2;23.95;19.5;72.208333;43;14.3;1.904167;
2008-03-10;22.2;943.054167;19.0625;25.6;21.145833;18.2;88.208333;70;7.9;1.9625;
2008-03-11;.2;941.154167;19.108333;25.6;21.125;18.1;88.583333;72;7.8;2.075;
2008-03-12;0;942.0875;17.5375;26.5;20.258333;16.9;85.041667;64;8.6;2.3125;
2008-03-13;0;943.7875;14.8125;25.4;18.879167;14.4;79.458333;46;10.1;2.433333;
2008-03-14;0;945.404167;13.158333;24.5;17.829167;12.8;76.041667;46;9;2.225;
2008-03-15;0;946.425;13.479167;24.3;18.570833;13.4;73.625;51;8.9;1.741667;
2008-03-16;0;947.641667;13.641667;27.5;20.341667;13.8;68.166667;39;9.3;1.675;
2008-03-17;0;947.316667;13.2625;28.6;21.233333;15.2;63.166667;33;8.3;2.070833;
2008-03-18;0;946.804167;14.333333;29.8;21.845833;15.5;63.375;40;7.8;1.925;
2008-03-19;0;944.570833;17.1;28.6;22.75;18.2;72.375;43;10.1;3.875;
2008-03-20;0;944.9875;17.170833;28.4;23.15;19.9;70.083333;46;10.7;3.266667;
2008-03-21;0;944.0875;16.866667;29.7;23.6375;18.1;68.208333;40;7.1;1.808333;
2008-03-22;0;943.108333;17.375;28.6;22.866667;18.5;72.375;53;11.3;3.016667;
2008-03-23;0;944.591667;17.016667;27.7;21.025;16.4;79.75;50;9;2.258333;
2008-03-24;.2;945.295833;16.558333;29.5;21.416667;15.9;76.5;41;9.2;2.329167;
2008-03-25;0;945.583333;16.345833;29.7;22.533333;17;71.416667;37;10.8;2.8625;
2008-03-26;0;943.866667;16.65;30.4;23.166667;18.6;68.5;40;12.5;3.329167;
2008-03-27;6.8;941.545833;16.316667;29.9;22.933333;19.1;68.416667;38;10.9;2.9125;
2008-03-28;.8;941.833333;16.608333;28.4;21.104167;17.6;76.625;47;8.5;2.241667;
2008-03-29;3.8;944.733333;14.966667;27.3;20.4125;15.5;73.625;41;9.5;2.358333;
2008-03-30;0;944.0875;14.925;28.4;20.404167;13.7;73;46;8.6;2.258333;
2008-03-31;2.4;942.9875;16.3125;23.5;18.291667;16.9;88.416667;64;9.5;3.295833;
2008-04-01;8.2;941.279167;16.041667;27.1;20.733333;16.8;76.375;47;9.9;3.066667;
2008-04-02;0;941.2875;14.283333;27.1;20.820833;17.6;68.791667;33;10.5;1.7875;
2008-04-03;0;943.4375;10.4875;22.2;15.991667;10.9;71.583333;44;7;2.141667;
2008-04-04;0;944.045833;9.5375;23.8;16.375;11.4;68.208333;32;6;1.783333;
