Nome: CACADOR
Codigo Estacao: A859
Latitude: -26.819156
Longitude: -50.98552
Altitude: 944.26
Situacao: Operante
Data Inicial: 2008-03-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-18;null;null;null;null;null;null;null;null;null;null;
2008-03-19;null;null;null;null;null;null;null;54;8.4;null;
2008-03-20;null;911.054167;15.483333;26.8;19.9375;17.1;76.75;47;11.1;1.770833;
2008-03-21;10.2;909.958333;14.55;27.4;19.108333;13.8;77.25;41;17.1;1.875;
2008-03-22;25;908.420833;15.375;25.6;19.366667;15;78.833333;49;7.5;1.1875;
2008-03-23;0;909.120833;15.583333;24.6;18.770833;14.5;82.333333;56;6.6;1.1375;
2008-03-24;.4;910.508333;15.079167;26.8;19.991667;16.3;74.375;48;5.8;1.5375;
2008-03-25;0;911.995833;15.054167;24.2;19.054167;15.7;78.416667;58;9.5;1.916667;
2008-03-26;.2;910.404167;13.941667;24.9;18.545833;15.7;75.541667;47;8.5;1.904167;
2008-03-27;0;907.275;12.479167;29.1;19.070833;11.8;70.583333;28;5.8;1.6125;
2008-03-28;0;906.891667;14.7625;25.3;18.004167;14.4;81.916667;54;9;1.3375;
2008-03-29;10.6;909.195833;14.541667;25;18.920833;14.7;77.458333;47;8.4;1.625;
2008-03-30;0;910.604167;12.804167;22.8;17.454167;15;74.625;57;8.8;2.666667;
2008-03-31;0;909.2875;12.304167;21.7;17.225;13.9;73.5;59;8.7;2.183333;
2008-04-01;1.2;907.158333;14.008333;23.4;17.5625;14.5;80.291667;57;6;1.375;
2008-04-02;2.8;905.9125;13.958333;21.2;16.1125;12.9;87.291667;68;7.9;1.154167;
2008-04-03;2.4;906.5875;11.095833;21.6;16.3;13.1;74.041667;41;7.5;1.766667;
2008-04-04;0;907.658333;8.3125;23.1;13.425;5.3;74.625;37;6.4;1.370833;
2008-04-05;0;908.229167;9.658333;24;15.483333;8.7;72.25;37;4.8;1.358333;
