Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 800
Situacao: Operante
Data Inicial: 2008-03-21
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-21;null;null;null;null;null;null;null;null;null;null;
2008-03-22;null;null;null;null;null;null;null;null;null;null;
2008-03-23;null;null;null;null;null;null;null;null;null;null;
2008-03-24;null;null;null;null;null;null;null;66;8.5;null;
2008-03-25;1.2;921.6375;16.470833;21.9;17.8125;16.5;91.958333;76;9.7;3.483333;
2008-03-26;0;919.891667;15.208333;21.2;17.529167;15.3;86.833333;69;8.3;1.633333;
2008-03-27;0;916.408333;16.108333;26.8;19.633333;15.6;82.5;45;5.6;1.254167;
2008-03-28;0;915.7625;17.025;25.7;19.675;16.6;86.166667;51;6.2;1.1;
2008-03-29;0;918.6375;15.745833;22.2;18.083333;15.7;86.791667;68;9.8;3.2;
2008-03-30;.2;920.616667;13.929167;17.7;15.2625;14.5;91.791667;80;9.3;3.458333;
2008-03-31;.6;918.979167;13.220833;22.5;15.6375;11.1;86.875;55;8;1.895833;
2008-04-01;0;916.35;14.1625;24.4;17.4875;12.9;82.791667;47;7;.808333;
2008-04-02;0;914.616667;15.754167;25.8;18.175;13.5;87.291667;54;11.6;1.025;
2008-04-03;.6;914.866667;15.295833;23.2;18;15.2;85.875;50;6.5;1.158333;
2008-04-04;0;916.504167;12.6875;23.5;16.254167;11.6;81.458333;46;7.7;2.166667;
2008-04-05;0;917.558333;12.475;23.5;16.566667;12.2;80.5;37;6.1;1.6;
2008-04-06;0;917.1875;13.545833;24.3;16.55;12.4;84.625;47;7;1.920833;
2008-04-07;0;917.1125;14.191667;26.8;18.554167;14.8;78.583333;35;7.9;1.7375;
