Nome: Laguna - Farol de Santa Marta
Codigo Estacao: A866
Latitude: -28.60444444
Longitude: -48.81333333
Altitude: 34.36
Situacao: Pane
Data Inicial: 2008-05-31
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-31;null;null;null;null;null;null;null;null;null;null;
2008-06-01;null;null;null;null;null;null;null;null;null;null;
2008-06-02;null;null;null;null;null;null;null;10.3;null;null;
2008-06-03;null;1014.475;15.141667;17.2;15.891667;15;95.291667;8.9;2.425;null;
2008-06-04;10;1011.6875;14.8625;20.4;16.695833;14.3;89.208333;11.7;2.8;null;
2008-06-05;0;1010.8375;15.625;19.8;17.354167;14.7;89.916667;9.1;4.6875;null;
2008-06-06;0;1010.640909;15.427273;21;17.463636;16.9;88.090909;16.1;5.631818;null;
2008-06-07;3;1014.091667;11.95;20;16.541667;13.6;74.791667;12.1;5.308333;null;
2008-06-08;.2;1010.375;15.254167;19.8;17.316667;14.9;87.833333;12.5;2.883333;null;
2008-06-09;0;1004.975;15.783333;23.4;18.091667;16.8;86.75;21.1;5.221739;null;
2008-06-10;2.4;1006.35;6.216667;18;15.629167;12.3;54.625;18;7.541667;null;
2008-06-11;0;1013.995833;5.570833;16;12.25;6.5;64.625;13.7;3.366667;null;
2008-06-12;.6;1013.833333;10.445833;16.9;14.4125;10.2;77.666667;9;3.520833;null;
2008-06-13;0;1012.979167;11.05;18;15.025;12.8;77.166667;6.7;2.904167;null;
2008-06-14;1.6;1003.75;15.383333;20.8;17.345833;14.2;88.416667;13.3;4.608333;null;
2008-06-15;0;1008.270833;6.725;18.4;15.8375;15.5;58;22.7;7.447619;null;
2008-06-16;.2;1018.470833;2.058333;13.8;10.858333;7.6;54.958333;20;6.316667;null;
2008-06-17;0;1015.9;5.404167;14.5;10.383333;5.2;71.75;8;3.2125;null;
2008-06-18;0;1012.216667;8.520833;16;11.783333;7.2;80.416667;9.6;3.8;null;
2008-06-19;0;1010.545833;11.2625;16.9;13.783333;9;84.791667;17.6;6.041667;null;
2008-06-20;0;1003.429167;14.5875;21.1;17.170833;13.1;85.166667;21.6;6.063636;null;
2008-06-21;4.2;1007.333333;8.820833;17.7;14.779167;11.9;69.458333;15.2;5.120833;null;
2008-06-22;0;1013.908333;8.129167;15.6;13.3625;10.9;70.791667;17.9;7.909091;null;
2008-06-23;0;1019.2375;7.904167;15.2;12.266667;8.2;75.5;18.2;6.316667;null;
2008-06-24;1.4;1020.579167;12.083333;15.7;13.158333;10.4;93.166667;10.6;3.55;null;
2008-06-25;5.4;1020.245833;13.3625;17.9;14.920833;11.9;90.708333;7.2;3.1625;null;
2008-06-26;0;1017.720833;14.791667;17.2;15.954167;13.8;92.791667;15.4;8.004167;null;
2008-06-27;8.6;1014.779167;15.379167;19.2;17.045833;16;90.041667;14.6;6.795833;null;
2008-06-28;10.8;1014.9875;16.15;17.7;16.916667;16.2;95.083333;18.8;6.020833;null;
