Nome: MORRETES
Codigo Estacao: A873
Latitude: -25.508935
Longitude: -48.808681
Altitude: 50.31
Situacao: Operante
Data Inicial: 2008-03-12
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-12;null;null;null;null;null;null;null;null;null;null;
2008-03-13;null;null;null;null;null;null;null;87;4.1;null;
2008-03-14;null;1007.741667;19.075;26.8;21.5125;18.9;87.041667;63;8.8;1.583333;
2008-03-15;21.4;1010.279167;19.3;26.3;20.645833;18.2;92.5;65;9.7;1.008333;
2008-03-16;48.2;1011.845833;19.4;27.7;21.145833;18.8;90.625;57;9.2;1.2125;
2008-03-17;6;1011.4375;19.975;25.8;21.4125;18.3;91.875;69;4.8;1.104167;
2008-03-18;1.2;1010.516667;21.091667;29;23.533333;20.2;87.166667;56;8.3;1.225;
2008-03-19;0;1009.904167;21.325;27.7;23.941667;21;86.041667;71;7.6;1.1;
2008-03-20;0;1009.1875;21.191667;30.1;23.775;20.2;86.416667;57;6;1.095833;
2008-03-21;2.6;1008.091667;20.85;29.3;23.025;19.2;88.666667;57;5.4;.729167;
2008-03-22;.2;1005.954167;21.9875;30.3;24.070833;20.4;89;62;5.1;.7;
2008-03-23;2.6;1006.433333;21.95;29.4;23.783333;21.4;90.25;61;7.5;.925;
2008-03-24;.8;1008.658333;21.358333;28.1;23.295833;21.3;89.458333;64;6.1;1.041667;
2008-03-25;15;1011.566667;20.666667;25;22.166667;21.2;91.583333;71;10.6;.7875;
2008-03-26;5.2;1009.7875;19.666667;26.6;22.179167;19.1;86.708333;58;6.2;.9;
2008-03-27;0;1005.133333;20.275;30.4;23.804167;18.4;82.5;51;7.2;1.1;
2008-03-28;0;1004.104167;21.229167;30.6;24.2625;20.5;84.625;53;6.1;1.1;
2008-03-29;.4;1007.766667;20.629167;26.1;22.591667;20.4;89.125;68;8.6;1.0875;
2008-03-30;5;1010.866667;19.270833;23.2;20.275;19;94.041667;80;5.1;.591667;
