Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2008-04-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-29;null;null;null;null;null;null;null;null;null;null;
2008-04-30;null;904.058333;4.391667;16.8;8.583333;null;78.208333;40;6.4;1.166667;
2008-05-01;0;905.541667;7.170833;12.6;8.3625;1.5;92.5;80;7.5;.85;
2008-05-02;25.8;900.9875;11.316667;15.3;12.145833;9.4;94.541667;88;8.7;1.783333;
2008-05-03;4.2;900.15;9.895833;17.2;12.320833;9.7;85.708333;62;10.4;2.304167;
2008-05-04;0;902.341667;10.35;17.6;12.783333;10;85.75;65;7.3;1.375;
2008-05-05;2.6;902.091667;9.05;16.4;11.3;10.1;87.166667;56;11;1.345833;
2008-05-06;3.6;902.695652;5.417391;18.6;8.33913;1.5;85.347826;43;6.8;.9;
2008-05-07;1.6;903.558333;5.308333;19.7;8.5;2.2;84.875;33;7.6;.8625;
2008-05-08;.2;902.995833;6.679167;19;9.545833;2.4;84.75;51;8.4;.833333;
2008-05-09;0;904.116667;7.1375;18.9;10.75;4.3;81.5;46;5;.791667;
2008-05-10;0;906.525;8.975;14.6;10.654167;5.3;89.666667;74;5.6;.945833;
2008-05-11;0;908.154545;8.927273;15.5;10.313636;5.4;91.636364;72;5.8;.986364;
2008-05-12;null;null;null;null;null;null;null;69;4.5;null;
2008-05-13;null;null;null;null;null;null;null;56;4.9;null;
2008-05-14;null;null;null;null;null;null;82.076923;56;4;null;
2008-05-15;null;null;null;null;null;null;76;41;7.3;null;
2008-05-16;null;null;null;null;null;null;80;45;3.7;null;
2008-05-17;null;null;null;null;null;null;67.5;38;7.3;null;
2008-05-18;null;null;null;null;null;null;null;43;8.3;null;
2008-05-19;null;null;null;null;null;null;72.923077;44;7.3;null;
2008-05-20;null;null;null;26.2;null;7.4;75.666667;45;8.2;null;
2008-05-21;null;null;null;null;null;null;66.25;36;8.3;null;
2008-05-22;null;904.489474;10.242105;26.2;null;7.4;72.210526;33;6.9;.915789;
2008-05-23;null;null;null;null;null;6.6;69.307692;41;5.7;null;
2008-05-24;null;null;null;null;null;null;70.428571;45;10;null;
2008-05-25;null;899.994737;6.515789;22.7;null;8.1;68.368421;20;8;1.431579;
2008-05-26;null;null;null;null;null;null;null;40;8.6;null;
2008-05-27;null;null;null;null;null;null;78.153846;43;9;null;
2008-05-28;null;null;null;null;null;8.5;70.153846;44;12.1;null;
2008-05-29;null;null;null;null;null;null;84;68;9.3;null;
2008-05-30;null;null;null;13.4;null;4.5;57.666667;23;7.9;null;
2008-05-31;null;null;null;null;null;null;null;51;6.9;null;
2008-06-01;null;null;null;null;null;null;null;85;4.9;null;
