Nome: VACARIA
Codigo Estacao: A880
Latitude: -28.513602
Longitude: -50.882738
Altitude: 969.89
Situacao: Operante
Data Inicial: 2008-04-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-04-25;null;null;null;null;null;null;null;null;null;null;
2008-04-26;null;null;null;null;null;null;null;59;14.1;null;
2008-04-27;4;902.154167;12.141667;23.9;16.333333;10.1;79.041667;45;12.1;2.866667;
2008-04-28;1.8;900.375;14.166667;17.1;14.829167;13.2;95.833333;78;11.2;3.920833;
2008-04-29;53.4;901.55;12.75;16.6;13.216667;13.2;97;88;10.5;2.958333;
2008-04-30;3.2;908.595833;1.825;13.1;5.841667;.1;74.583333;46;8;2.370833;
2008-05-01;0;909.558333;5.5125;16.4;8.0125;1.6;85.333333;61;12.4;4.091667;
2008-05-02;9.4;904.541667;11.079167;15.8;11.966667;6.2;94.291667;83;18.5;4.1625;
2008-05-03;16;902.875;10.566667;13.6;11.1375;9.5;96.291667;86;13.8;2.720833;
2008-05-04;5;905.841667;10.945833;16;11.583333;10.2;96;75;8.9;2.816667;
2008-05-05;2.2;904.795833;8.529167;16.1;10.720833;8.4;87.375;54;11.6;2.925;
2008-05-06;.2;905.754167;5.95;14.6;9.4375;5.9;81.166667;48;10;2.475;
2008-05-07;0;906.770833;4.166667;18.3;9.404167;1.2;73.708333;35;7.1;2.079167;
2008-05-08;0;906.704167;5.441667;15.7;9.916667;4.2;75.5;47;6.4;1.691667;
2008-05-09;0;908.579167;5.020833;15.3;8.554167;4.9;81.375;28;6;1.795833;
2008-05-10;0;910.075;3.533333;18.6;9.341667;2.4;71.875;26;8.1;3.625;
2008-05-11;0;911.675;6.566667;18;9.858333;4.6;81.875;50;9.8;4.025;
2008-05-12;0;912.441667;8.666667;18.1;11.820833;7.1;82.416667;52;9;3.725;
2008-05-13;0;912.029167;9.216667;19.4;12.591667;8.2;81.375;47;9;4.0375;
2008-05-14;0;910.379167;8.666667;20;13.3375;9.5;76.25;36;7.8;3.245833;
2008-05-15;0;908.720833;7.75;20.5;12.308333;7;77.083333;39;11.3;3.658333;
2008-05-16;.2;909.420833;4.6875;19.5;11.1625;4.3;68.041667;32;5.6;2.079167;
2008-05-17;0;909.766667;5.25;21.5;12.129167;6.2;69.041667;22;12.8;4.958333;
