Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2013-11-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2013-11-28;null;null;null;null;null;null;null;null;null;null;
2013-11-29;null;null;null;null;null;null;null;null;null;null;
2013-11-30;null;null;null;null;null;null;null;null;null;null;
2013-12-01;null;null;null;null;null;null;null;null;null;null;
2013-12-02;null;null;null;null;null;null;null;50;4.5;null;
2013-12-03;null;1006.5625;17.979167;31.7;23.4125;18.9;74.125;38;10.9;1.775;
2013-12-04;0;1005.6625;15.270833;33.1;24.1375;16.1;58.791667;39;6.7;1.55;
2013-12-05;84.2;1003.095833;19.7125;26.8;22.929167;20.4;82.5;68;13.9;1.383333;
2013-12-06;0;1010.3375;13.9875;24.3;19.954167;14.8;70.208333;48;6.7;1.708333;
2013-12-07;0;1010.545833;13.808333;29.5;21.045833;15.1;66.625;33;6.2;1.291667;
2013-12-08;0;1008.554167;15.716667;35.6;24.641667;15.6;64.458333;17;7;1.129167;
2013-12-09;0;1005.725;20.508333;32.1;24.904167;20.4;78.125;49;10.4;.970833;
2013-12-10;5.6;1010.345833;19.9;24.7;22.104167;21.7;87.5;72;8.3;1.354167;
2013-12-11;15.8;1013.4375;15.258333;25.3;21.070833;18.1;70.666667;50;8.3;2.166667;
2013-12-12;0;1010.716667;14.9125;29;21.645833;14.1;67.958333;43;7.1;1.654167;
2013-12-13;0;1007.3;16.929167;30.1;23.279167;16.6;69.291667;45;5.2;1.145833;
2013-12-14;0;1007.358333;18.291667;34.1;25.816667;18.8;66.833333;32;6.4;1.283333;
2013-12-15;0;1008.079167;18.741667;33.3;25.95;19.3;67.333333;37;6.1;1.1875;
2013-12-16;0;1008.533333;19.1625;32.7;24.745833;20.6;73.125;36;8.6;1.4625;
2013-12-17;0;1008.083333;17.158333;32;24.504167;17.8;66.625;35;8.4;1.8;
2013-12-18;0;1006.625;16.495833;34.5;25.091667;17.4;61.958333;32;7.9;1.5875;
2013-12-19;0;1007.216667;17.5125;33.2;25.308333;17.6;64.625;36;9;1.858333;
2013-12-20;0;1007.308333;17.9125;32.9;25.375;18.9;65.416667;39;10;1.841667;
2013-12-21;0;1008.833333;17.9875;32;24.9125;18.1;68.083333;42;9.8;1.7875;
2013-12-22;0;1011;17.695833;30.2;24.108333;18;69.208333;44;10.5;2.291667;
2013-12-23;0;1010.970833;18.741667;29;23.391667;18.9;76.208333;51;8.5;1.729167;
2013-12-24;0;1007.975;19.308333;32.9;25.104167;19.8;72.666667;42;6.8;1.704167;
2013-12-25;0;1006.25;18.758333;37.1;26.933333;19.6;67.583333;19;7.6;1.3625;
2013-12-26;0;1006.3875;18.425;39.9;29.425;20.8;58.083333;18;7.6;1.3375;
2013-12-27;0;1006.495833;19.033333;40.9;29.4875;22.3;57.916667;23;12.5;1.370833;
2013-12-28;4;1006.570833;21.141667;35.8;28.616667;23.9;66.208333;31;6.8;1.391667;
2013-12-29;0;1002.825;20.1625;38.3;30.825;23.3;56.916667;29;11.9;1.416667;
2013-12-30;11.2;1002.104167;21.829167;36.2;28.066667;22.9;71.458333;41;9.3;1.7375;
2013-12-31;.4;1002.495833;21.833333;31.8;26.908333;23.5;74.666667;56;9.8;1.504167;
2014-01-01;11;1004.333333;22.083333;34.1;27.066667;22.4;75.708333;50;7.1;1.445833;
2014-01-02;1.4;999.925;22.216667;33.3;27.858333;23.7;72.875;52;10.5;1.520833;
2014-01-03;9.4;1006.85;20.466667;29.5;22.0875;22;90.583333;62;9.9;1.304167;
2014-01-04;20.8;1015.0625;15.941667;28.1;22.445833;17.2;69.75;38;8.1;1.833333;
2014-01-05;0;1013.9;16.170833;32.7;24.45;17.1;63.291667;31;7.7;1.358333;
2014-01-06;0;1012.158333;17.841667;34.5;25.858333;17.7;65.125;30;7.7;1.5125;
2014-01-07;0;1007.75;18.316667;37;29.3125;21.2;55.916667;30;8.1;1.270833;
2014-01-08;0;1006.508333;19.120833;31.2;28.258333;25.8;58.25;42;9.1;1.983333;
