Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2019-02-18;null;null;null;null;null;null;null;null;null;null;
2019-02-19;null;null;null;null;null;null;null;60;5.8;null;
2019-02-20;null;934.275;18.1;29.1;23.054167;18.4;75.458333;46;8.4;2.308333;
2019-02-21;.2;936.591667;17.654167;28.1;22.8625;18.7;73.25;57;11.1;2.975;
2019-02-22;0;936.6875;18.116667;30.5;24.208333;18.7;69.791667;50;10.2;2.9375;
2019-02-23;0;934.425;19.345833;31.7;26.058333;20.7;67.916667;45;8;3.1;
2019-02-24;0;931.391667;19.158333;31.7;26.154167;22.3;66.708333;46;14.3;4.920833;
2019-02-25;22;933.620833;16.908333;22.6;18.358333;17;91.333333;80;14.8;4.2;
2019-02-26;43;935.420833;14.983333;22.5;18.020833;14.5;83.083333;64;8.9;3.229167;
2019-02-27;0;936.520833;15.525;26;20.058333;15.4;75.875;56;8.2;3.095833;
2019-02-28;0;937.504167;13.041667;25.9;20.166667;14.4;65.708333;34;7;1.916667;
2019-03-01;0;936.4375;14.470833;29;21.220833;14.5;66.416667;42;9.3;2.920833;
2019-03-02;0;937.083333;14.654167;29;23.233333;17;62.208333;29;9.3;2.333333;
2019-03-03;0;937.3125;13.604167;30.8;23.845833;17;55.208333;19;7.5;2.333333;
2019-03-04;0;936.016667;16.333333;32.1;25.116667;19.3;59.541667;41;13.6;3.854167;
2019-03-05;0;938.0875;18.6625;31.9;25.558333;20.4;67.291667;41;9.5;3.529167;
2019-03-06;0;937.633333;18.358333;31.3;24.2125;20.7;70.791667;50;12;3.445833;
2019-03-07;14.4;936.5875;17.983333;27.8;21.408333;19;81.625;61;14.2;4.175;
2019-03-08;6;935.283333;18.3875;29.3;22.091667;18.4;80.583333;59;18.3;4.533333;
2019-03-09;23.8;937.804167;18.429167;21.1;19.7375;18.3;92.291667;84;9.2;2.266667;
2019-03-10;7;939.354167;17.241667;24.9;20.4;17.3;82.5;68;11.2;5.216667;
2019-03-11;0;938.058333;17.779167;24.8;20.658333;17.9;84.166667;64;10.6;3.645833;
2019-03-12;14.4;936.8875;17.891667;23.4;19.4125;17.9;91.208333;74;9.1;3.9125;
2019-03-13;28.4;935.108333;18.5375;25.9;20.741667;17.2;87.583333;70;6.1;2.225;
2019-03-14;.8;935.733333;18.85;25.4;21.0875;18.9;87.541667;67;6.4;1.625;
2019-03-15;.2;936.8875;18.483333;26.7;21.0875;16.8;86.041667;63;4.8;1.725;
2019-03-16;0;936.808333;18.966667;27.7;23.15;18.6;77.958333;62;7.2;2.558333;
2019-03-17;.4;935.045833;18.9;23.6;20.941667;20;88.25;74;9.3;3.154167;
2019-03-18;22.2;933.395833;18.65;21.2;19.533333;18.7;94.583333;89;10.9;2.85;
2019-03-19;28.8;934.258333;16.775;25.8;19.483333;14.1;85.875;55;6.4;1.483333;
2019-03-20;.2;935.570833;16.6;21;18.625;16.5;88.25;78;9.6;3.220833;
2019-03-21;0;938.4625;13.1125;21.1;16.983333;14.2;78.333333;61;12.1;4.554167;
2019-03-22;0;938.520833;15.083333;26.4;18.816667;14;80.291667;55;9.1;2.9875;
2019-03-23;0;938.866667;15.1375;26.6;20.3625;15.1;73.958333;48;6.4;2.554167;
2019-03-24;0;938.245833;15.570833;28.2;21.9375;16.8;68.083333;49;9.4;2.770833;
2019-03-25;0;937.8375;14.475;26.8;21.116667;15;67.125;43;6.8;1.670833;
2019-03-26;0;938.9;9.883333;26.7;20.066667;14.4;54.25;26;7.4;3.179167;
2019-03-27;0;941.5625;13.583333;26.3;19.541667;14.5;69.583333;43;10.2;4.358333;
2019-03-28;0;942.770833;16.241667;27.6;21.241667;16.4;74.125;55;10.3;4.095833;
2019-03-29;0;942.5375;15.666667;27.8;21.629167;16.4;70.041667;49;7.3;2.75;
2019-03-30;0;940.725;15.829167;28.2;22.291667;17.2;67.916667;49;6.6;2.320833;
2019-03-31;0;938.383333;16.958333;27.5;22.754167;17.6;71.125;48;7;2.391667;
2019-04-01;0;937.3;17.6375;30.4;23.75;18.8;71.125;39;7.5;2.258333;
2019-04-02;0;936.666667;17.645833;29;23.154167;19.9;71.833333;47;7.3;2.691667;
2019-04-03;0;935.575;17.566667;26.8;22.104167;19.1;76.083333;60;8.2;2.291667;
2019-04-04;0;931.2;19.166667;28.9;23.729167;20.7;76.333333;60;12;4.045833;
2019-04-05;14.8;932.304167;19.120833;23.3;20.604167;20;91.333333;80;11.8;3.825;
2019-04-06;5.4;937.358333;15.6;18;16.758333;15.8;92.875;86;12.6;3.554167;
2019-04-07;13.2;938.316667;17.3875;21.4;18.504167;16.1;93.416667;80;5.6;1.758333;
2019-04-08;.2;938.454167;16.825;24.1;19.533333;17;85.125;63;8.1;3.204167;
2019-04-09;0;938.704167;15.225;27.3;19.683333;14.2;76.666667;44;8.6;3.191667;
2019-04-10;0;938.945833;14.6875;26.2;20.154167;15.2;72.125;50;6.9;2.775;
2019-04-11;0;938.704167;14.7625;27.3;21.133333;16.3;68.375;36;6.6;2.704167;
2019-04-12;0;937.420833;16.175;27.3;21.254167;16.4;74.333333;43;7.6;1.9125;
2019-04-13;0;936.475;15.933333;28.7;22.225;17.3;69.833333;43;7.7;2.4125;
2019-04-14;0;937.333333;16.5125;29.2;23.1625;18.1;67.083333;42;12.9;2.7;
2019-04-15;0;938.775;17.8;30.1;23.566667;19.2;71.5;46;7;2.191667;
