Nome: CUIABA
Codigo Estacao: A901
Latitude: -15.559295
Longitude: -56.062951
Altitude: 241.56
Situacao: Operante
Data Inicial: 2002-12-07
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-07;null;null;null;null;null;null;null;null;null;null;
2002-12-08;null;990.766667;null;null;null;null;null;null;null;null;
2002-12-09;null;990.929167;null;null;null;null;null;null;null;null;
2002-12-10;null;993.579167;null;null;null;null;null;null;null;null;
2002-12-11;null;995.175;null;null;null;null;null;null;null;null;
2002-12-12;null;994.254167;null;null;null;null;null;null;null;null;
2002-12-13;null;995.408333;null;null;null;null;null;null;null;null;
2002-12-14;null;994.1625;null;null;null;null;null;null;3;null;
2002-12-15;null;993.066667;null;null;null;null;null;null;null;null;
2002-12-16;null;996.145833;null;null;null;null;null;null;null;null;
2002-12-17;null;996.230435;null;null;null;null;null;null;null;null;
2002-12-18;null;993.704167;null;null;null;null;null;null;null;null;
2002-12-19;null;993.175;null;null;null;null;null;null;15;null;
2002-12-20;null;995.25;null;null;null;null;null;null;2;null;
2002-12-21;null;997.4;null;null;null;null;null;22.1;6.6;null;
2002-12-22;null;null;21.641667;36.4;29.8625;24.4;64.375;39;8.3;null;
2002-12-23;null;null;20.983333;35.8;30.566667;25.1;58;38;9.8;null;
2002-12-24;null;null;22.045833;36.2;29.533333;25.2;65.333333;39;7.7;null;
2002-12-25;null;null;22.8375;35.7;27.770833;24.7;76.25;43;6.4;null;
2002-12-26;null;null;22.233333;34.4;27.9625;24;73.791667;40;8.5;null;
2002-12-27;null;null;22.579167;34.7;28.825;25.6;70.166667;45;7.3;null;
2002-12-28;null;null;22.5;33.4;26.983333;23.8;77.375;52;6.2;null;
