Nome: TANGARA DA SERRA
Codigo Estacao: A902
Latitude: -14.65
Longitude: -57.43166666
Altitude: 440.01
Situacao: Pane
Data Inicial: 2002-12-10
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2002-12-10;null;null;null;null;null;null;null;null;null;null;
2002-12-11;null;null;null;null;null;null;null;null;null;null;
2002-12-12;null;null;null;null;null;null;null;null;null;null;
2002-12-13;null;null;null;null;null;null;null;null;null;null;
2002-12-14;null;null;null;null;null;null;null;null;null;null;
2002-12-15;null;null;null;null;null;null;null;null;null;null;
2002-12-16;null;null;null;null;null;null;null;null;null;null;
2002-12-17;null;null;null;null;null;null;null;null;null;null;
2002-12-18;null;null;null;null;null;null;null;null;null;null;
2002-12-19;null;null;null;null;null;null;null;null;null;null;
2002-12-20;null;null;null;null;null;null;null;null;null;null;
2002-12-21;null;null;null;null;null;null;null;null;null;null;
2002-12-22;null;null;null;null;null;null;null;null;null;null;
2002-12-23;null;null;null;null;null;null;null;null;null;null;
2002-12-24;null;null;null;null;null;null;null;null;null;null;
2002-12-25;null;null;null;null;null;null;null;null;null;null;
2002-12-26;null;null;null;null;null;null;null;null;null;null;
2002-12-27;null;null;null;null;null;null;null;null;null;null;
2002-12-28;null;null;null;null;null;null;null;null;null;null;
2002-12-29;null;null;null;null;null;null;null;null;null;null;
2002-12-30;null;null;null;null;null;null;null;null;null;null;
2002-12-31;null;null;null;null;null;null;null;null;null;null;
2003-01-01;null;null;null;null;null;null;null;null;null;null;
2003-01-02;null;null;null;null;null;null;null;null;null;null;
2003-01-03;null;null;null;null;null;null;null;null;null;null;
2003-01-04;null;null;null;null;null;null;null;null;null;null;
2003-01-05;null;null;null;null;null;null;null;null;null;null;
2003-01-06;null;null;null;null;null;null;null;null;null;null;
2003-01-07;null;null;null;null;null;null;null;null;null;null;
2003-01-08;null;null;null;null;null;null;null;null;null;null;
2003-01-09;null;null;null;null;null;null;null;null;null;null;
2003-01-10;null;null;null;null;null;null;null;null;null;null;
2003-01-11;null;null;null;null;null;null;null;null;null;null;
2003-01-12;null;null;null;null;null;null;null;null;null;null;
2003-01-13;null;null;null;null;null;null;null;null;null;null;
2003-01-14;null;null;null;null;null;null;null;null;null;null;
2003-01-15;null;null;null;null;null;null;null;null;null;null;
2003-01-16;null;null;null;null;null;null;null;null;null;null;
2003-01-17;null;null;null;null;null;null;null;null;null;null;
2003-01-18;null;null;null;null;null;null;null;null;null;null;
2003-01-19;null;null;null;null;null;null;null;null;null;null;
2003-01-20;null;null;null;null;null;null;null;null;null;null;
2003-01-21;null;null;null;null;null;null;null;null;null;null;
2003-01-22;null;null;null;null;null;null;null;null;null;null;
2003-01-23;null;null;null;null;null;null;null;null;null;null;
2003-01-24;null;null;null;null;null;null;null;null;null;null;
2003-01-25;null;null;null;null;null;null;null;null;null;null;
2003-01-26;null;null;null;null;null;null;null;null;null;null;
2003-01-27;null;null;null;null;null;null;null;null;null;null;
2003-01-28;null;null;null;null;null;null;null;null;null;null;
2003-01-29;null;null;null;null;null;null;null;null;null;null;
2003-01-30;null;null;null;null;null;null;null;null;null;null;
2003-01-31;null;null;null;null;null;null;null;null;null;null;
2003-02-01;null;null;null;null;null;null;null;null;null;null;
2003-02-02;null;null;null;null;null;null;null;null;null;null;
2003-02-03;null;null;null;null;null;null;null;null;null;null;
2003-02-04;null;null;null;null;null;null;null;null;null;null;
2003-02-05;null;null;null;null;null;null;null;null;null;null;
2003-02-06;null;null;null;null;null;null;null;null;null;null;
2003-02-07;null;null;null;null;null;null;null;null;null;null;
2003-02-08;null;null;null;null;null;null;null;null;null;null;
2003-02-09;null;null;null;null;null;null;null;null;null;null;
2003-02-10;null;null;null;null;null;null;null;null;null;null;
2003-02-11;null;null;null;null;null;null;null;null;null;null;
2003-02-12;null;null;null;null;null;null;null;null;null;null;
2003-02-13;null;null;null;null;null;null;null;null;null;null;
2003-02-14;null;null;null;null;null;null;null;null;null;null;
2003-02-15;null;null;null;null;null;null;null;null;null;null;
2003-02-16;null;null;null;null;null;null;null;null;null;null;
2003-02-17;null;null;null;null;null;null;null;null;null;null;
2003-02-18;null;null;null;null;null;null;null;null;null;null;
2003-02-19;null;null;null;null;null;null;null;null;null;null;
2003-02-20;null;null;null;null;null;null;null;null;null;null;
2003-02-21;null;null;null;null;null;null;null;null;null;null;
2003-02-22;null;null;null;null;null;null;null;null;null;null;
2003-02-23;null;null;null;null;null;null;null;null;null;null;
2003-02-24;null;null;null;null;null;null;null;null;null;null;
2003-02-25;null;null;null;null;null;null;null;null;null;null;
2003-02-26;null;null;null;null;null;null;null;null;null;null;
2003-02-27;null;null;null;null;null;null;null;null;null;null;
2003-02-28;null;null;null;null;null;null;null;null;null;null;
2003-03-01;null;null;null;null;null;null;null;null;null;null;
2003-03-02;null;null;null;null;null;null;null;null;null;null;
2003-03-03;null;null;null;null;null;null;null;null;null;null;
