Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Pane
Data Inicial: 2003-02-24
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-02-24;null;null;null;null;null;null;null;null;null;null;
2003-02-25;null;null;null;null;null;null;79.083333;57;7.9;null;
2003-02-26;null;973.119048;21.328571;31.3;null;20.3;88.285714;58;14.1;.933333;
2003-02-27;14.8;973.129167;21.766667;32;25.316667;21.3;82.25;55;8.5;1.2375;
2003-02-28;0;973.7875;21.466667;33.9;26.016667;20.3;78.541667;45;10.2;1.133333;
2003-03-01;23.4;973.179167;21.85;32.6;24.966667;21.7;84.25;50;9.7;1.7125;
2003-03-02;20;972.625;21.733333;32;25.825;21.6;80.166667;50;8.2;1.704167;
2003-03-03;19.2;973.354167;21.975;31.4;24.508333;21.3;86.75;57;11.8;1.495833;
2003-03-04;4;974.0875;21.5375;32.1;25.754167;21.5;79.625;49;7.9;1.416667;
2003-03-05;0;973.408333;21.483333;32.9;25.970833;21.2;78.375;46;7.9;1.175;
2003-03-06;0;972.1;21.475;33.8;26.554167;20.7;76.791667;42;5.5;1.125;
2003-03-07;22.6;972.991667;21.420833;32.6;24.516667;20.3;84.416667;49;12.5;1.654167;
2003-03-08;1.2;972.333333;21.578261;32.8;25.791667;20.9;78.695652;41;8.4;1.266667;
2003-03-09;14;972.429167;22.195833;31;24.533333;21.7;87.5;60;8.2;1.5625;
2003-03-10;0;971.616667;22.625;32.1;25.508333;21.7;85.25;56;9.4;1.3125;
2003-03-11;16.6;972.4875;22.791667;30.3;25.429167;22.3;86.041667;60;9;1.958333;
2003-03-12;0;973.033333;21.979167;30.8;24.833333;21.2;85.125;57;9.8;1.8875;
2003-03-13;8.4;973.333333;22.195833;25.6;23.404167;21.9;93.083333;83;7.2;1.341667;
2003-03-14;5.6;972.754167;22.416667;30.8;25.308333;22;85.125;60;6.2;1.675;
2003-03-15;0;973.775;22.216667;32.5;25.4625;22;83.666667;51;5;1.45;
2003-03-16;17.6;974.225;22.575;31;25.058333;22;87.208333;58;7.6;1.329167;
2003-03-17;27.2;973.441667;21.854167;29.9;24.429167;21.4;86.5;64;8.5;1.295833;
2003-03-18;37.6;972.704167;22.033333;27.2;23.625;21.4;91.125;72;7.3;1.4;
2003-03-19;6.4;973.654167;22.166667;29.3;24.458333;21.8;87.833333;66;7.3;1.629167;
