Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2003-11-16
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2003-11-16;null;null;null;null;null;null;null;null;null;null;
2003-11-17;null;null;null;null;null;null;null;65;3.8;null;
2003-11-18;null;null;null;null;null;null;67.416667;52;7.1;null;
2003-11-19;.6;977.5625;20.2625;27.8;23.841667;20.9;81.125;63;8;2.929167;
2003-11-20;0;977.983333;20.133333;32.5;24.366667;20.5;79.666667;42;9.2;2.091667;
2003-11-21;5.2;978.483333;21.241667;30.5;24.758333;21.7;81.875;55;8;2.204167;
2003-11-22;.6;978.408333;21.408333;30.7;25.383333;23;80.208333;48;8.7;1.954167;
2003-11-23;1.2;977.675;21.341667;31;25.3875;22.2;79.666667;54;7;1.425;
2003-11-24;0;975.579167;20.825;35.6;27.0875;21.7;71.125;34;12.3;2.270833;
2003-11-25;17.4;976.075;21.666667;33.7;26.5375;22.4;76.083333;50;10.8;2.8375;
2003-11-26;8.6;977.154167;21.566667;34;25.55;22.5;79.791667;47;13.1;2.033333;
2003-11-27;1;976.9875;21.65;33;25.220833;21.8;82;52;14.6;2.3125;
2003-11-28;3;975.566667;21.645833;33.1;25.820833;21.9;79.166667;50;15.5;2.329167;
2003-11-29;.2;974.5375;21.841667;33.9;25.7375;22.2;80.416667;48;11.9;2.1875;
2003-11-30;2.2;975.029167;21.7125;33;25.479167;22.3;80.833333;51;10.2;2.675;
2003-12-01;.2;975.9375;22.208333;30;24.316667;23.4;88.291667;65;8.1;1.9375;
2003-12-02;40.6;974.716667;21.966667;31.9;24.979167;22.2;84.166667;55;11.6;2.166667;
2003-12-03;0;975.3125;21.383333;30.9;26.054167;23;76.708333;54;9;2.2625;
2003-12-04;2;975.795833;22.1375;32.3;26.35;22.9;78.958333;49;10.8;2.720833;
2003-12-05;3.2;976.041667;22.833333;31;25.6625;23.3;85;61;14.4;1.858333;
2003-12-06;13.6;976.779167;22.504167;29;24.8;22.9;87.458333;69;10.2;2.2875;
2003-12-07;1.4;976.654167;21.691667;33.4;25.766667;21.5;79.916667;49;8.3;2.0875;
2003-12-08;0;976.404167;22.7375;33.3;26.070833;22.7;82.75;54;13.1;2.058333;
2003-12-09;10.8;979.095833;20.995833;26.1;22.625;23;90.583333;82;9.5;2.891667;
2003-12-10;64.2;977.5625;20.525;32.6;23.616667;19.8;83.958333;51;14.3;2.0875;
2003-12-11;11;978.320833;21.966667;33.6;25.258333;21.2;82.958333;51;12.2;2.066667;
2003-12-12;5.4;978.591667;20.833333;34;26.5375;20.9;73.833333;41;20.3;2.091667;
2003-12-13;0;976.495833;21.375;35.9;27.6875;21.7;71.25;37;7.1;2.204167;
2003-12-14;0;976.941667;21.6625;34.3;26.920833;21.9;74.916667;46;13;2.458333;
2003-12-15;1.2;977.883333;21.633333;35.3;27.179167;22;74.5;41;7.1;1.925;
2003-12-16;0;978.154167;21.4625;36.3;27.670833;21.8;71.833333;34;13.8;2.345833;
2003-12-17;0;978.725;21.670833;33.4;26.583333;22.4;76.333333;50;11.6;2.2125;
2003-12-18;1.4;978.958333;21.945833;35.5;26.783333;22;76.958333;47;8.4;1.975;
2003-12-19;43.6;980.129167;21.395833;32.4;25.945833;21.5;77.875;45;13;1.929167;
2003-12-20;.2;979.6125;22.208333;35;28.154167;22.5;72.708333;40;8.6;1.675;
2003-12-21;.2;977.916667;22.025;35.1;28.345833;22.8;71;42;10.4;1.8;
2003-12-22;0;976.2;22.191667;35.7;27.879167;22.9;73.5;40;7.8;1.866667;
2003-12-23;0;977.354167;21.704167;29.1;25.283333;23.3;81.083333;62;7.9;2.091667;
2003-12-24;0;977.5625;20.658333;34.7;27.3;21.2;70.541667;37;5.7;1.816667;
2003-12-25;3;978.275;21.954167;33.8;27.479167;22.7;73.666667;46;10.3;2.533333;
2003-12-26;24;976.833333;21.4625;32;26.183333;21;76.666667;51;17.8;2.025;
2003-12-27;0;974.658333;22.7;30.8;26.491667;22.9;80.375;63;7.4;1.8875;
2003-12-28;0;974.3875;21.8;32.4;26.766667;22.4;75.833333;49;10.2;2.55;
2003-12-29;0;975.283333;21.929167;32.3;26.291667;23.3;78.375;50;10.3;2.766667;
2003-12-30;24.4;977.145833;22.004167;30.4;24.841667;21.9;84.875;61;12.7;2.6125;
2003-12-31;3.2;978.554167;21.616667;32.9;26.158333;22.4;77.75;49;10.1;2.65;
2004-01-01;10.8;978.179167;22.133333;31.6;25.191667;21.9;84;56;11.3;1.854167;
2004-01-02;5.4;976.666667;22.241667;32.4;25.95;23.1;81.041667;56;9.5;2.041667;
