Nome: APIACAS
Codigo Estacao: A910
Latitude: -9.56333333
Longitude: -57.3936111
Altitude: 217.75
Situacao: Pane
Data Inicial: 2006-10-23
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-23;null;null;null;33.2;null;null;null;42;.2;null;
2006-10-24;null;985.983333;22;34.1;26.775;22.4;77.5;44;1.3;0;
2006-10-25;.6;986.633333;22.404167;33.6;25.266667;22.7;85.083333;49;.7;0;
2006-10-26;3.6;987.004348;22.56087;32;25.578261;22.8;84.782609;53;.6;0;
2006-10-27;null;null;null;null;null;null;null;null;null;null;
2006-10-28;null;null;null;null;null;null;null;null;null;null;
2006-10-29;null;null;null;null;null;null;null;null;null;null;
2006-10-30;null;null;null;null;null;null;null;null;null;null;
2006-10-31;null;null;null;null;null;null;null;null;null;null;
2006-11-01;null;null;null;null;null;null;74.333333;52;11.3;null;
2006-11-02;9;984.786957;22.652174;29.1;25.043478;23.3;87;67;8.2;1.047826;
2006-11-03;null;985.022222;22.75;32.1;null;22.8;80.555556;56;16;1.138889;
2006-11-04;25.6;984.379167;22.775;30.9;24.508333;21.6;90.958333;64;11;.6875;
2006-11-05;11.8;983.208696;22.743478;32.6;26.452174;21.9;81.869565;55;4.7;.630435;
2006-11-06;0;982.129167;23.020833;34.4;27.9;22.8;77.333333;47;5.1;1.020833;
2006-11-07;0;983.825;22.9;32;26.3375;22.7;82.416667;57;6;1.075;
2006-11-08;0;984.390909;22.759091;28.4;24.413636;22.8;90.727273;74;6.3;1.004545;
2006-11-09;5.4;984.695833;22.033333;33;25.566667;21.7;83;47;6.2;.841667;
2006-11-10;.2;984.85;22.741667;33.9;27.375;22.6;78.083333;48;6.1;1.2;
2006-11-11;13.6;986.166667;22.4125;29.2;25.041667;22.1;85.875;67;5.9;1.058333;
2006-11-12;4.8;985.775;22.65;31.3;26.316667;22.4;82.166667;53;7.6;.733333;
2006-11-13;0;985.325;22.7;31.2;25.8125;22.1;84.083333;58;7.1;.6875;
2006-11-14;9;985.6125;22.679167;27.6;24.758333;23.3;88.333333;74;6.2;.683333;
2006-11-15;5.2;984.495833;22.833333;32.1;25.983333;23.3;83.833333;50;10.9;.995833;
2006-11-16;5;984.516667;22.441667;33.3;25.916667;22;83.416667;48;7.8;.920833;
2006-11-17;3;985.95;22.758333;32.1;26.329167;21.6;82.125;56;10.4;1.05;
2006-11-18;1;986.266667;22.6375;31.7;26.108333;22;82.458333;59;4.1;.795833;
2006-11-19;0;986.333333;22.229167;31.6;26.354167;22.8;79.833333;50;7.1;.966667;
2006-11-20;3.4;987.45;22.283333;31.3;26.308333;22.8;79.5;56;5.9;1.229167;
2006-11-21;0;986.458333;22.475;34.4;26.191667;22.4;82;43;9.4;.991667;
2006-11-22;.4;986.283333;22.329167;31.8;25.558333;22.5;83.541667;56;8.8;1.15;
2006-11-23;0;985.204167;22.120833;30;24.158333;22.3;88.791667;67;7.6;1.066667;
2006-11-24;12.6;984.970833;21.8875;32.4;25.791667;21.8;81.416667;47;7.6;.7125;
2006-11-25;.8;984.55;22.641667;33.5;26.770833;22.2;80.166667;47;6.7;.666667;
2006-11-26;0;984.370833;23.1375;33.3;27.020833;23.3;81.416667;53;14.1;1.133333;
2006-11-27;29.8;984.525;22.8625;29.7;25.133333;22.5;87.875;70;6.4;1;
2006-11-28;0;984.020833;23.020833;33.1;26.045833;23.3;84.541667;53;9.1;.704167;
2006-11-29;0;984.329167;22.816667;33;25.704167;23.2;85.25;53;7.6;.7;
2006-11-30;5.4;984.154167;22.758333;33;27.3;22.8;77.791667;51;5.4;.633333;
2006-12-01;0;984.2375;23.654167;28.3;25.2125;24.6;91.166667;75;7.5;.945833;
2006-12-02;4.8;984.5125;22.670833;29.6;24.825;23;88.333333;64;7.7;1;
2006-12-03;.2;983.954167;22.554167;32.8;25.391667;21.9;85.333333;54;10;.6625;
2006-12-04;8;984.056522;23.556522;31.3;25.7;23.4;88.565217;65;10.7;.3;
2006-12-05;11.8;985.633333;23.3375;30.3;25.666667;23.3;87.375;68;4;.6;
2006-12-06;0;985.279167;22.8625;33.4;26.3875;22.7;82.791667;51;11.3;1.0625;
2006-12-07;6.8;983.958333;23.229167;30.4;25.958333;23;85.875;57;9.2;1.195833;
2006-12-08;32;985.920833;22.0625;27.6;23.416667;21.8;92.291667;76;7.3;.8625;
2006-12-09;3.2;985.933333;22.808333;32.5;26.304167;22.2;82.75;57;3.8;.508333;
2006-12-10;0;985.420833;23.120833;33.7;26.483333;23.4;83.25;52;6.7;.85;
2006-12-11;6;986.433333;23.125;31.1;25.383333;23.1;87.875;64;6.2;.7125;
2006-12-12;10.2;986.0875;23.3125;28.6;24.7125;23.7;92;76;7.1;.716667;
2006-12-13;15;985.4625;22.966667;32.1;25.445833;22.8;86.875;59;6.5;.708333;
2006-12-14;23.2;985.708333;22.979167;27.1;24.3875;23.3;92.041667;77;8.1;.9;
2006-12-15;40.6;987.045833;22.716667;29.5;25.229167;22.6;86.541667;67;4.9;.583333;
2006-12-16;1;986.133333;23.204167;32.7;26.295833;23.4;84.25;55;8.2;.583333;
2006-12-17;.6;985.916667;22.933333;30.8;25.816667;22.5;84.958333;64;7.6;1.075;
2006-12-18;0;985.486957;23.36087;33.2;26.06087;23.7;86.565217;51;10.2;1.06087;
2006-12-19;47.2;986.6;22.483333;27.8;24.6625;22.7;88.166667;72;7.6;1.479167;
2006-12-20;.2;986.320833;21.65;33.7;26.116667;21.8;78.958333;45;6.9;.970833;
2006-12-21;0;986.658333;22.416667;35.2;27.333333;22.7;76.833333;45;10.2;.770833;
2006-12-22;0;986.916667;22.583333;34.7;26.816667;23.1;79.125;49;9.8;.766667;
2006-12-23;0;null;null;28.9;null;23.3;87.588235;68;14.3;null;
2006-12-24;null;986.626087;21.321739;34;26.4;20.8;77.173913;42;6.3;.943478;
2006-12-25;null;null;null;null;null;null;null;46;4.6;null;
2006-12-26;null;null;null;null;null;null;87.153846;48;10.1;null;
2006-12-27;38.8;987.295833;22.4125;33.4;26.245833;21.8;81.541667;50;6;.770833;
2006-12-28;0;987.8375;23.029167;34.1;27.316667;23;79.041667;48;9.2;1.054167;
2006-12-29;42.6;988.691667;22.475;30.9;25.220833;20.7;85.875;59;8.6;.858333;
2006-12-30;.6;987.579167;22.725;32.5;25.408333;22.8;85.833333;56;15.3;1.004167;
2006-12-31;1;988.045833;22.154167;30.1;24.8625;22.8;85.625;60;6.5;.733333;
2007-01-01;15.8;986.758333;22.4;32.8;26.658333;22.2;79.25;48;9.1;.720833;
2007-01-02;1.2;986.191667;22.916667;33.8;27.129167;23.3;79.583333;47;9.4;1.195833;
2007-01-03;2.8;986.570833;22.895833;34;27.35;23;78.333333;50;10.7;1.225;
2007-01-04;0;985.520833;23.441667;33.5;26.654167;23.7;83.291667;53;5.9;.841667;
2007-01-05;19;985.604167;23.1625;30.7;25.483333;23.3;87.583333;61;6.5;.975;
2007-01-06;37.4;985.970833;22.433333;29.8;24.9;22.8;87.041667;63;8.7;.966667;
2007-01-07;6.4;985.6875;22.920833;32;26.279167;22.3;83;55;8;.775;
2007-01-08;3.8;985.808333;22.741667;31.8;25.4875;22.8;85.75;60;10;.816667;
2007-01-09;11;985.8;22.841667;31.1;25.345833;22.3;87.041667;63;12.3;.791667;
2007-01-10;5.2;986.1375;22.925;27.1;24.45;23.4;91.416667;74;8.5;.5375;
2007-01-11;12.2;986.383333;22.5375;32.6;26.370833;22;81.041667;53;8.9;.833333;
2007-01-12;.2;985.2125;23.595833;32.5;25.9625;23.8;87.458333;57;9.2;.783333;
2007-01-13;4.2;983.675;23.266667;31.8;26.0125;22.8;85.916667;60;6.8;1.170833;
2007-01-14;5.2;984.379167;22.9625;31.1;26.6;23.4;81.583333;61;5.4;1.004167;
2007-01-15;8;984.95;23.0625;30.8;25.416667;22.4;87.291667;63;10.9;1.075;
2007-01-16;16;985.0625;23.270833;32.3;26.395833;22.9;84.333333;57;3.9;.379167;
2007-01-17;5;985.508333;22.716667;31.7;26.204167;22.3;82.291667;57;6.9;1.1;
2007-01-18;0;985.770833;23.441667;34.3;26.2375;23.4;86.041667;53;10.9;.791667;
