Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Pane
Data Inicial: 2006-11-01
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-11-01;null;null;null;29;null;null;null;13;8.7;null;
2006-11-02;null;979.020833;4.166667;29.4;25.8;23.5;26.388889;10;8.2;1.766667;
2006-11-03;0;979.429167;3.266667;32.8;26.858333;23.7;23.782609;12;7.9;1.2125;
2006-11-04;4.8;979.079167;4.413043;29.8;24.366667;22.7;30.857143;16;10.3;.7375;
2006-11-05;4.2;977.786957;1.036364;32.4;26.63913;22.8;20.318182;10;4.7;.86087;
2006-11-06;0;976.666667;1.75;34.8;27.270833;23.1;19.75;10;14.3;.85;
2006-11-07;.4;978.704167;2.9875;29.4;25.75;23.3;23.458333;10;7.2;.833333;
2006-11-08;.6;978.413043;2.365217;32.4;26.034783;23.1;22.173913;10;10.2;1.078261;
2006-11-09;.2;979.141667;.972727;32.3;25.375;22.4;22.55;10;8;1.1625;
2006-11-10;0;979.758333;-1.831579;32.3;26.6;23.4;17.176471;10;6.4;1.7625;
2006-11-11;0;980.870833;null;29.1;25.545833;22.1;null;10;9.2;1.979167;
2006-11-12;0;980.520833;null;32.3;25.775;19.9;20.692308;10;7.6;1.020833;
2006-11-13;0;979.616667;null;34.5;26.65;21.1;23.2;15;13.1;1.3;
2006-11-14;7;979.766667;5.222222;30.9;25.258333;22.8;26.888889;22;8.9;1.808333;
2006-11-15;14.2;978.925;2.211111;32.7;26.129167;22.5;26.8125;10;9.3;1.4375;
2006-11-16;0;979.070833;1.027778;33.5;26.808333;22;17.833333;11;11.8;1.358333;
2006-11-17;.6;980.345833;null;34.8;27.329167;22;24.416667;12;6.9;.841667;
2006-11-18;0;980.433333;null;34.2;26.841667;21.6;null;12;4.9;.958333;
2006-11-19;0;980.858333;null;33.5;25.095833;21.7;26.25;11;10.3;.933333;
2006-11-20;1.6;982.145833;null;30.4;24.633333;21.6;null;10;5.3;1.345833;
2006-11-21;0;980.858333;null;34.2;26.875;21;null;10;7.3;.933333;
2006-11-22;8.8;980.708333;4.383333;31.7;25.383333;22.9;33.176471;10;8.5;1.225;
