Nome: SINOP
Codigo Estacao: A917
Latitude: -11.98222221
Longitude: -55.56611111
Altitude: 366.57
Situacao: Pane
Data Inicial: 2006-10-28
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2006-10-28;null;null;null;null;null;null;null;null;2.1;null;
2006-10-29;null;966.945833;null;null;null;null;null;71;7.4;1.252174;
2006-10-30;null;null;null;null;null;null;null;74;4;null;
2006-10-31;null;null;null;null;null;null;null;null;null;null;
2006-11-01;null;null;null;null;null;null;null;null;null;null;
2006-11-02;null;null;null;null;null;null;null;null;null;null;
2006-11-03;null;null;null;null;null;null;null;null;null;null;
2006-11-04;null;null;null;null;null;null;82.2;63;11.7;null;
2006-11-05;null;966.272222;22.088889;33.3;null;22.4;73.055556;45;5.5;1.327778;
2006-11-06;0;965.366667;22.283333;34.2;27.35;23.5;76.083333;43;7.9;2.033333;
2006-11-07;1.8;967.25;22.129167;28.8;24.691667;22.7;86.083333;62;7.9;1.720833;
2006-11-08;.4;966.791667;22.0125;31.7;25.466667;21.9;83.041667;53;10.8;1.491667;
2006-11-09;3;967.766667;22.233333;30.9;24.408333;22.5;88.625;57;12.9;1.416667;
2006-11-10;11.2;968.329167;22.129167;28.9;24.270833;21.7;88.583333;61;8.6;2.270833;
2006-11-11;8.2;969.095833;20.5625;27.5;23.5375;19.8;84.333333;63;7.1;2.316667;
2006-11-12;0;968.858333;20.466667;31;25.454167;21.3;76.25;46;6.6;1.758333;
2006-11-13;0;968.416667;19.883333;32;26.804167;21.1;67.791667;41;7.7;2.3625;
2006-11-14;0;968.345833;20.716667;30.4;25.508333;20.6;75.666667;56;8.4;1.816667;
2006-11-15;0;967.875;20.175;32.7;26.108333;21.9;72.083333;43;7.8;1.941667;
2006-11-16;0;967.883333;19.1125;34;27.3875;21.4;64.333333;31;10.4;1.9875;
2006-11-17;0;968.654167;17.320833;35.9;28.2875;19.7;55.791667;22;8.2;1.591667;
2006-11-18;0;968.720833;20.029167;34.2;27.704167;21.5;64.833333;37;8;1.8375;
2006-11-19;0;968.825;20.7;34.7;27.416667;21.7;69.375;36;7;1.745833;
2006-11-20;0;970.329167;20.454167;30;24.945833;22.2;76.75;55;6.9;2.479167;
2006-11-21;0;969.570833;20.55;33.5;26.333333;19.8;73.625;41;6.3;.8375;
2006-11-22;0;969.1;21.341667;32.2;24.945833;22;81.833333;50;18;2.695833;
2006-11-23;8.2;967.9375;20.245833;31.3;24.629167;19.8;79.208333;50;7.6;1.470833;
2006-11-24;1.6;968.133333;21.379167;32.8;25.875;22.5;78.5;44;6.6;1.708333;
2006-11-25;0;968.004167;21.3625;33.4;25.983333;21.4;77.916667;45;16.6;1.8;
2006-11-26;27.6;967.3875;22.104167;33.9;26.9875;22.5;77.083333;43;9.3;1.520833;
2006-11-27;.4;967.654167;22.204167;26.2;23.804167;23;90.875;81;10.2;2.416667;
2006-11-28;.2;967.329167;21.904167;30.9;24.2;21.5;88;57;11.6;1.483333;
2006-11-29;.8;967.929167;22.379167;27.2;24.095833;22.5;90.25;75;7.1;1.454167;
2006-11-30;2.4;967.283333;21.758333;33.1;26.283333;21.6;79.083333;40;6;1.229167;
2006-12-01;71;967.333333;22.425;28.1;24.725;21.9;87.5;71;7.3;1.325;
2006-12-02;2.8;967.104167;22.404167;28.8;24.520833;22.2;88.458333;65;8.6;2.279167;
2006-12-03;14.4;967.225;22.291667;28.4;24.4875;22.2;88.333333;67;7.3;1.1125;
2006-12-04;2.4;967.472727;22.554545;30.1;25.65;23.1;83.590909;61;9.7;1.281818;
2006-12-05;33.2;969.275;22.145833;28;23.954167;21.6;90.083333;73;7.7;2.2125;
2006-12-06;0;968.779167;22.466667;31.8;25.470833;22.2;84.833333;53;12.5;1.566667;
2006-12-07;2.4;967.179167;22.2625;31;24.708333;21.4;87;61;9.7;1.5;
2006-12-08;30;969.3;20.925;24.9;21.895833;21;94.25;83;9;2.1;
2006-12-09;22.4;969.416667;21.575;28.7;23.716667;20.6;88.458333;69;4;.9125;
2006-12-10;0;968.425;22.529167;31.6;26.133333;22.6;82.125;51;6.7;1.508333;
2006-12-11;11;969.141667;22.1125;29.6;23.9;21.6;90.25;65;9.1;2.15;
2006-12-12;20.2;968.545833;22.720833;29.4;24.6875;22.3;89.25;65;8;1.933333;
2006-12-13;15.4;968.229167;22.3;29.4;24.220833;21.6;89.5;68;9.5;2.416667;
2006-12-14;8.6;968.45;22.533333;29.3;24.0875;22;91.375;70;12.8;2.070833;
2006-12-15;52.8;970.375;21.5;26.7;23.033333;21.2;91.333333;75;10;1.616667;
2006-12-16;10.6;969.370833;22.2375;31.5;25.325;21;83.958333;56;6.1;1.216667;
2006-12-17;.6;969.1875;22.358333;30.4;24.491667;22.1;88.458333;63;10.7;1.1;
2006-12-18;.4;968.85;22.458333;30.7;24.65;22.7;88.375;61;9.6;1.491667;
2006-12-19;4.2;969.933333;21.266667;24.7;22.504167;21.8;93;76;7.3;1.9;
2006-12-20;4;969.554167;20.925;31.6;24.795833;19.3;81.041667;51;4.9;1.129167;
2006-12-21;.2;970.216667;22.341667;31.2;25.533333;22.2;83.333333;58;10.4;1.358333;
2006-12-22;13.4;970.516667;21.941667;31.4;24.783333;21.5;85.416667;57;14.2;1.504167;
2006-12-23;4.2;null;null;29.5;null;21.4;89.75;70;7.1;null;
2006-12-24;null;969.969565;21.091304;29.7;23.708696;18.7;86.521739;62;4.5;1.178261;
2006-12-25;null;null;null;null;null;null;null;79;3.1;null;
2006-12-26;null;null;null;null;null;null;88.583333;78;7.1;null;
2006-12-27;.2;970.5125;21.779167;31.5;24.975;20.2;84.083333;53;4.7;1.154167;
2006-12-28;29.8;971.283333;22.420833;30.7;25.295833;21;85.083333;62;11.9;1.558333;
2006-12-29;0;971.616667;22.508333;26.7;24.116667;22.3;91.041667;73;8.5;1.516667;
2006-12-30;15.4;970.566667;21.6625;32.1;25.229167;20.6;82.125;52;8.9;1.433333;
2006-12-31;34.6;971.15;21.691667;29.5;24.520833;21.2;85.291667;60;8;1.616667;
2007-01-01;5;969.670833;22.629167;30.8;25.545833;22.4;84.75;58;9.1;1.720833;
2007-01-02;3.4;969.833333;22.4625;29.9;25.0875;22.1;85.875;64;6;1.983333;
2007-01-03;13.4;970.166667;22.108333;31.8;24.666667;21.7;86.583333;59;11.6;2.2125;
2007-01-04;12.6;969.066667;21.7125;31.7;25.125;21;83.041667;50;10.6;1.6125;
2007-01-05;1.2;968.595833;22.120833;30.2;25.016667;21.4;84.791667;61;7.2;1.8625;
2007-01-06;77.8;968.908333;21.758333;28.5;23.6125;21.2;89.875;66;8.2;2.066667;
2007-01-07;7.8;969.054167;22.091667;28.7;24.345833;21.9;87.666667;68;8.5;1.233333;
2007-01-08;6.4;969.129167;22.304167;29.8;25.379167;22.2;83.833333;62;5.2;1.420833;
2007-01-09;0;968.725;23.0625;32;26.104167;22.9;84.5;56;5.8;1.091667;
2007-01-10;1.2;969.241667;22.6;30.7;25.358333;21.6;85.625;61;5.7;2.054167;
2007-01-11;3;969.741667;21.733333;29.6;24.8;21.3;84.083333;54;7.1;1.220833;
2007-01-12;2.4;968.05;21.2875;33.2;26.291667;20.2;76.125;42;5.2;1.258333;
2007-01-13;13;966.404167;22.791667;29.6;25.420833;22.4;86.041667;68;7.6;1.683333;
2007-01-14;.4;967.070833;22.316667;29.1;24.933333;22.2;85.916667;67;11.1;2.9125;
2007-01-15;.4;967.9375;22.116667;28.4;24.004167;22;89.541667;71;9.3;2.095833;
2007-01-16;7.6;968.7375;22.341667;31.5;24.283333;21.8;89.666667;56;8.3;1.504167;
2007-01-17;.6;968.404167;22.3375;32.9;24.916667;22.2;86.791667;51;12.2;1.641667;
2007-01-18;.8;968.729167;22.591667;33.2;25.6;21.8;84.916667;54;7.6;1.358333;
2007-01-19;.4;968.920833;22.654167;32.9;25.9;21.4;83.875;53;9;1.633333;
2007-01-20;0;969.1875;22.795833;31.8;24.7375;22.6;89.583333;60;16.2;1.091667;
2007-01-21;7.4;970.416667;22.145833;32.7;25.933333;21.6;81.666667;50;4.5;1.341667;
2007-01-22;0;968.85;22.625;34.4;26.879167;22.3;79.541667;44;8.3;1.141667;
2007-01-23;4;968;22.25;33.2;25.2375;21.6;85.25;48;11.4;1.833333;
2007-01-24;25;968.15;22.8;29.9;24.529167;22.1;90.291667;65;8.7;1.6375;
2007-01-25;5.8;968.304167;22.566667;29.1;24.633333;22.2;88.916667;65;8.4;1.695833;
2007-01-26;5;969.2875;22.366667;29.6;24.229167;22.4;89.791667;65;12.3;1.470833;
2007-01-27;48.8;970.804167;21.616667;28.2;23.654167;21;88.916667;65;5.9;1.379167;
2007-01-28;2.8;969.533333;22.445833;31.5;25.379167;22;84.833333;58;10.1;1.7;
2007-01-29;.2;970.995833;22.15;26.4;23.654167;22.6;91.666667;77;6.2;1.645833;
2007-01-30;4.8;970.516667;21.958333;31.6;24.758333;21.6;85.875;51;9.6;1.208333;
2007-01-31;.4;968.9625;22.3625;28.6;24.604167;21.9;88;69;7.9;1.0875;
2007-02-01;.6;969.366667;22.470833;27.6;23.945833;22.1;91.583333;76;8.4;2.5875;
2007-02-02;5;969.341667;22.545833;28.4;24.2375;22.9;90.708333;71;9.3;2.733333;
2007-02-03;5.6;969.008333;22.583333;30.5;24.670833;22.2;88.791667;61;13.1;2.5;
2007-02-04;5.8;968.958333;22.579167;29.2;24.129167;22.3;91.583333;70;10.3;2.204167;
2007-02-05;19.2;969.516667;22.4625;27.8;24.0125;22.2;91.291667;74;6.6;1.541667;
2007-02-06;15;968.9375;22.208333;28.4;23.875;22;90.625;72;9.5;2.125;
2007-02-07;3;969.1625;22.3625;30.6;24.604167;22.5;88.291667;58;14.2;2.033333;
2007-02-08;47;968.870833;22.241667;26.3;23.616667;20.7;92.458333;81;12;1.533333;
2007-02-09;.2;970.458333;21.9125;29.1;24.616667;21.8;85.75;64;7.7;1.808333;
2007-02-10;.8;971.8;22.229167;33.2;26.379167;22.7;80.166667;48;10.3;1.658333;
2007-02-11;1;970.7;22.470833;32.3;26.079167;22.3;81.958333;47;8.7;1.4375;
2007-02-12;16.6;969.220833;22.583333;30.9;25.458333;23.3;84.833333;58;10.1;2.5875;
