Nome: CONFRESA
Codigo Estacao: A918
Latitude: -10.63944444
Longitude: -51.57138888
Altitude: 233.28
Situacao: Fechada
Data Inicial: 2008-06-06
Data Final: 2018-03-11
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-06-06;null;null;null;null;null;null;null;null;null;null;
2008-06-07;null;986.170833;16.670833;33.3;25.5125;null;62.541667;29;8.2;1.591667;
2008-06-08;0;985.9125;17.625;33.1;25.766667;19.4;64.333333;36;8.1;1.5125;
2008-06-09;0;986.575;17.358333;33;25.825;18.9;63.416667;31;10.9;1.529167;
2008-06-10;0;986.370833;17.416667;33.4;25.720833;18.3;63.5;35;11.8;1.566667;
2008-06-11;0;985.6;17.145833;33.6;26.020833;19.3;61.875;32;8;1.5;
2008-06-12;0;986.533333;16.129167;33.3;25.895833;19.2;58.166667;30;7.3;1.666667;
2008-06-13;0;986.429167;15.2625;33.8;25.358333;18.4;59;24;8.4;1.441667;
2008-06-14;0;984.808333;15.6375;33.1;25.2125;17.4;58.375;32;8.4;1.358333;
2008-06-15;0;986.025;16.108333;33.2;25.616667;18.9;60.541667;27;6.1;1.054167;
2008-06-16;0;987.120833;15.370833;33.3;25.5125;18.1;57.333333;28;8.4;1.508333;
2008-06-17;0;985.795833;15.8375;33.1;25.191667;17.3;59.958333;31;6.8;1.245833;
2008-06-18;0;985.108333;16.670833;33.7;26.0875;19.4;59.666667;32;7.2;1.720833;
2008-06-19;0;985.0625;16.370833;33.8;26.183333;19.4;58.833333;29;7.1;1.454167;
2008-06-20;0;985.633333;15.616667;33.4;25.641667;18.2;57.541667;28;7.1;1.516667;
2008-06-21;0;985.375;15.441667;33.2;25.308333;18;58.875;27;11.6;1.241667;
2008-06-22;0;985.075;15.041667;33.1;25.216667;17.7;57.75;29;8.1;1.5875;
2008-06-23;0;986.191667;14.475;33.6;25.358333;18.8;55.791667;26;7.6;1.366667;
2008-06-24;0;987.6375;14.358333;33.5;25.029167;17.2;56.5;26;9.1;1.695833;
2008-06-25;0;986.954167;14.3125;33.3;25.133333;17.5;55.875;26;7;1.520833;
2008-06-26;0;986.1125;14.254167;33.6;25.295833;17.6;54.833333;24;9.4;1.9375;
2008-06-27;0;987.858333;14.158333;32.8;25.245833;16.9;53.541667;27;9.9;2.083333;
2008-06-28;0;989.341667;14.891667;32.9;24.8875;17.4;57.25;27;8.4;1.679167;
2008-06-29;0;988.629167;16.054167;32;25.108333;18.6;60.375;33;9.8;1.758333;
2008-06-30;0;987.720833;15.65;33.8;26.279167;20.4;55.916667;27;8;1.704167;
2008-07-01;0;987.8125;13.725;33;26.458333;20.1;48.041667;26;9.4;2.054167;
2008-07-02;0;987.854167;14.7875;34;25.625;17.6;54.833333;28;13;1.479167;
2008-07-03;0;987.504167;15.8625;33.4;26.025;19.3;57;29;8.3;1.929167;
2008-07-04;0;986.9125;15.2;33.2;26.045833;17.9;55.625;28;8.1;1.316667;
2008-07-05;0;986.4875;14.175;34.5;25.9875;17.7;53.666667;24;7.9;1.458333;
2008-07-06;0;986.779167;14.8875;34.2;25.9125;18.3;53.833333;28;8.7;1.75;
2008-07-07;0;987.625;16.195833;33.7;26.104167;18.7;57.666667;31;8.7;1.7375;
2008-07-08;0;987.308333;14.616667;32.9;25.741667;18.4;54.833333;25;10.5;2.125;
2008-07-09;0;987.1375;12.291667;32.4;24.729167;17.3;49.666667;22;12.7;2.0125;
2008-07-10;0;988.0125;11.908333;32.8;25.183333;18.9;46.375;25;8.6;1.920833;
2008-07-11;0;988.733333;13.125;33;25.566667;18.3;49.458333;26;10.6;2.2625;
2008-07-12;0;988.545833;14.895833;32.3;25.079167;16.8;56.083333;33;10.2;2.1125;
2008-07-13;0;987.045833;13.870833;32.8;24.8875;16.3;55.458333;24;9.1;1.645833;
2008-07-14;0;987.625;10.733333;31.9;25.258333;19.2;43.333333;21;10.7;2.458333;
2008-07-15;0;988.75;11.333333;31.7;23.3;14.5;50.916667;26;11;2.2125;
2008-07-16;0;988.983333;12.129167;31.9;23.816667;15.3;52.041667;25;10;1.9875;
2008-07-17;0;987.645833;11.695833;32.7;24.025;14.5;49.708333;24;8.7;1.579167;
2008-07-18;0;987.466667;13.675;34.5;25.1625;17.6;53.041667;26;11.2;1.3375;
2008-07-19;0;987.325;14.65;34.6;26.1;18;53.708333;26;8.8;1.7625;
2008-07-20;0;986.65;14.1875;35.5;26.758333;18.2;50.916667;23;9.3;1.6375;
2008-07-21;0;986.204167;13.0375;34.9;26.179167;17.3;49.875;21;9.3;1.966667;
2008-07-22;0;987.075;9.783333;34;25.870833;16.9;40.541667;17;8.1;1.708333;
