Nome: SANTO ANTONIO DO LESTE
Codigo Estacao: A931
Latitude: -14.92777777
Longitude: -53.8836111
Altitude: 664.21
Situacao: Pane
Data Inicial: 2008-05-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-05-29;null;null;null;null;null;null;null;null;null;null;
2008-05-30;null;null;null;null;null;null;null;null;null;null;
2008-05-31;null;null;null;null;null;null;null;null;null;null;
2008-06-01;null;null;null;null;null;null;null;null;null;null;
2008-06-02;null;null;null;null;null;null;67.076923;48;8.5;null;
2008-06-03;0;940.408333;15.754167;29.1;22.116667;16.1;69.833333;39;9.4;1.783333;
2008-06-04;0;940.217391;14.756522;28.4;21.108696;15.2;69.695652;39;7.9;2.282609;
2008-06-05;0;940.483333;13.075;28.7;21.420833;14.3;61.916667;35;11.9;3.158333;
2008-06-06;0;941.169565;13.230435;29.6;21.230435;13.7;63.869565;31;8.7;2.469565;
2008-06-07;0;940.066667;12.558333;29.8;21.366667;15.6;60.416667;29;7.7;2.291667;
2008-06-08;0;939.416667;10.975;30.2;22.141667;14.8;52.375;26;7.8;2.45;
2008-06-09;0;940.225;13.8875;31.1;23.620833;16.8;58.041667;26;5.9;1.895833;
2008-06-10;0;939.729167;14.483333;30.6;23.733333;17;58.5;30;6.5;1.716667;
2008-06-11;0;939.329167;15.279167;30.1;21.375;15.6;71.916667;33;7;2.258333;
2008-06-12;0;940.079167;13.670833;31.1;22.916667;15.8;59.666667;29;6.3;1.916667;
2008-06-13;0;939.7625;14.095833;30.7;22.920833;16.1;61.083333;30;6.5;1.683333;
2008-06-14;0;938.229167;12.845833;29.8;22.458333;15;57.458333;32;9.2;2.841667;
2008-06-15;0;939.8;12.633333;30.8;22.995833;15;54.791667;29;6;1.870833;
2008-06-16;0;941.433333;15.8375;28.4;21.445833;16.5;72.333333;43;8.8;2.883333;
2008-06-17;0;940.1;12.870833;29.5;19.829167;11.9;68.333333;31;7.8;2.641667;
2008-06-18;0;938.708333;12.9375;30.5;21.6875;13.2;62.375;28;7.4;1.545833;
2008-06-19;0;937.975;13.9;30.4;22.670833;15.1;59.75;36;10.2;3.045833;
2008-06-20;0;938.845833;13.0875;31.1;23.591667;17.3;54.833333;27;8.1;2.270833;
2008-06-21;0;938.7875;12.370833;31.3;22.654167;13.7;55.958333;28;5.9;1.391667;
2008-06-22;0;939.545833;16.525;29.6;20.683333;16.8;80.333333;37;7.3;3.4375;
2008-06-23;0;940.545833;15.704167;29.7;20.858333;17;76.458333;35;7.8;3.2125;
2008-06-24;0;941.833333;14.7625;29.5;20.416667;15.6;75;31;7.4;2.729167;
2008-06-25;.2;940.9375;13.991667;30.5;20.9;15.2;70.333333;28;11.3;2.825;
2008-06-26;0;939.691667;11.208333;30.5;21.758333;14.5;54.541667;27;10.1;2.454167;
2008-06-27;0;941.345833;11.95;29.9;21.8875;14.8;56.666667;25;8.9;2.4875;
2008-06-28;0;942.808333;11.558333;30.2;21.733333;16.1;56.5;25;8.4;2.241667;
2008-06-29;0;942.341667;12.158333;30.2;20.929167;14.3;63.833333;26;8.2;2.1125;
2008-06-30;0;941.195833;11.091667;30.2;21.445833;13.4;55.333333;28;7.9;2.1;
2008-07-01;0;941.241667;11.104167;30;22.125;16.7;52.125;27;8.5;2.729167;
2008-07-02;0;941.854167;10.045833;30.6;21.491667;13.5;51.333333;25;10.3;2.4125;
2008-07-03;0;941.579167;11.129167;30.7;22.104167;15.5;53.333333;26;8.2;2.045833;
2008-07-04;0;940.795833;9.183333;30.5;21.904167;15.1;48.333333;21;9.5;2.104167;
2008-07-05;0;939.908333;6.279167;30.5;21.6875;13;40.25;19;7.9;2.145833;
2008-07-06;0;940.25;6.9625;30.6;21.7;13.4;41.666667;21;13.7;2.775;
2008-07-07;0;941.225;10.775;30.9;23.404167;17.4;46.791667;22;7.4;1.9625;
2008-07-08;0;940.7125;10.541667;30.8;22.395833;15;50.416667;26;11.2;2.170833;
2008-07-09;0;940.6125;7.179167;30.3;22.295833;13.2;41.541667;19;9.8;3.375;
2008-07-10;0;941.770833;5.504167;28.8;19.9875;13.1;42.166667;20;8.3;2.829167;
2008-07-11;0;942.620833;5.983333;29.4;20.170833;11.5;42.541667;22;9.1;1.8875;
2008-07-12;0;941.708333;7.895833;29.6;21.633333;13.5;45.041667;20;8.2;2.158333;
2008-07-13;0;940.316667;10.25;29.9;22.829167;17.7;47.291667;24;7.7;2.354167;
2008-07-14;0;941.4;8.525;28.6;21.629167;16.6;46.333333;23;10.5;3.354167;
2008-07-15;0;942.579167;6.479167;28.1;19.3375;11.2;46.5;23;11;2.870833;
2008-07-16;0;942.4375;8.216667;28.6;20.095833;10.7;48.916667;27;10.9;3.020833;
2008-07-17;0;940.445833;8.004167;29.4;20.775;13.9;47.958333;22;12.5;3.670833;
2008-07-18;0;940.583333;8.604167;30.1;22.0875;10.8;44.75;26;8.1;2.1375;
2008-07-19;0;940.770833;10.245833;32.6;23.558333;14.5;46.875;22;8.1;1.7125;
2008-07-20;0;940.483333;8.804167;33.6;24.070833;14.4;42.625;17;8.2;2.116667;
2008-07-21;0;939.475;7.316667;32.6;24;15.7;38.208333;17;12.6;3.083333;
2008-07-22;0;940.020833;7.629167;31.5;23.791667;15.9;37.625;20;11.3;3.5875;
2008-07-23;0;939.933333;5.970833;31.4;23.233333;15.6;34.791667;17;12.2;3.333333;
2008-07-24;0;940.204167;7.875;32.2;23.745833;14.1;39.25;18;8.2;2.091667;
2008-07-25;0;940.495833;7.745833;32.3;23.8625;13.3;38.5;17;9.5;2.008333;
2008-07-26;0;940.129167;6.491667;32.5;23.3625;13.9;38.541667;14;13.8;3.3375;
2008-07-27;0;940.345833;4.8125;32.9;24.1875;13.1;31.291667;14;14;3.391667;
2008-07-28;0;941.5875;6.025;31.5;23.425;17.6;34.25;19;9.3;3.283333;
2008-07-29;0;940.595833;7.1375;31.1;23.245833;15.2;37.875;20;11.5;3.204167;
2008-07-30;0;939.079167;6.816667;30.6;22.795833;14.6;39.25;19;8.9;3.129167;
2008-07-31;0;938.2625;6.683333;31.4;24.083333;17.7;34.5;20;10.1;2.645833;
2008-08-01;0;937.8625;7.879167;32.4;24.566667;14.3;37.833333;17;11;2.666667;
2008-08-02;0;936.875;9.35;32.9;26.166667;20.5;36.25;22;9.6;2.925;
2008-08-03;0;937.566667;12.883333;33.2;24.995833;18.2;48.791667;25;13.8;3.8;
2008-08-04;0;937.566667;13.745833;32.2;22.5875;14.5;63.75;26;16.3;2.275;
2008-08-05;0;938.0625;9.745833;34.4;26.891667;18.1;38.375;14;9.9;2.516667;
