Nome: PONTES E LACERDA
Codigo Estacao: A937
Latitude: -15.23444444
Longitude: -59.3461111
Altitude: 272.53
Situacao: Pane
Data Inicial: 2008-01-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-01-29;null;null;null;null;null;null;null;null;null;null;
2008-01-30;null;null;null;null;null;null;null;null;null;null;
2008-01-31;null;null;null;null;null;null;80.666667;56;7;null;
2008-02-01;.4;975.925;22.841667;28.7;24.9875;22.8;88.041667;64;5.9;1.154167;
2008-02-02;3;977.320833;22.666667;29.1;24.591667;23.1;89.583333;65;6.9;.966667;
2008-02-03;9.2;979.316667;21.1125;32.9;26.104167;22.4;77.958333;36;9.8;1.4875;
2008-02-04;0;979.895833;19.866667;33;26.254167;20.6;71.291667;41;7.3;1.175;
2008-02-05;0;979.770833;19.633333;33.9;26.720833;20.6;69.125;34;7.4;.941667;
2008-02-06;0;979.858333;21.229167;33.6;26.779167;21.8;74;37;8.2;1.120833;
2008-02-07;0;980.033333;21.945833;31.1;25.933333;22;79.416667;57;12.3;1.65;
2008-02-08;10.8;981.154167;21.1375;29.2;24.675;22;81.916667;56;9.2;1.25;
2008-02-09;2.2;978.695833;21.358333;31.6;25.095833;21.1;80.666667;56;8;1.241667;
2008-02-10;0;978.558333;21.520833;31.6;25.3625;21.9;80.125;55;12.6;1.470833;
2008-02-11;5.8;981.020833;21.008333;25.9;23.579167;22.7;85.833333;69;10;1.5625;
2008-02-12;0;980.9875;20.329167;30.7;25.070833;21.1;76.083333;56;6.8;1.820833;
2008-02-13;0;979.633333;21.3875;33.1;25.8125;20.7;78.916667;47;6.7;1.133333;
2008-02-14;33.4;979.945833;22.354167;28.7;24.65;22.2;87.791667;67;8;1.633333;
2008-02-15;.2;979.116667;21.7;32;25.608333;21.6;80.791667;54;9.1;1.183333;
2008-02-16;0;977.5875;22.233333;30.5;25.458333;22.6;83.333333;60;5.8;1.079167;
2008-02-17;0;977.7125;21.891667;32.3;25.8375;22.3;80.25;53;11.3;1.4125;
2008-02-18;5.4;979.7875;21.9625;31.8;25.75;21.6;80.916667;54;9.2;1.454167;
2008-02-19;.6;981.016667;21.975;31.7;25.975;22.4;79.541667;56;9;1.579167;
2008-02-20;0;979.9625;21.566667;31.2;25.329167;22.1;80.958333;56;7.3;1.441667;
2008-02-21;0;978.620833;22.1;31.9;25.883333;23;80.916667;53;10.5;1.208333;
2008-02-22;1.2;979.775;21.679167;31.7;25.966667;22.4;78.541667;50;11.1;1.975;
2008-02-23;1.8;981.829167;22.120833;30.9;25.2;22.4;83.916667;57;11.3;1.158333;
2008-02-24;.2;981.245833;21.979167;32.2;26;22.5;80.208333;52;7.5;1.05;
2008-02-25;2.6;979.454167;22.7375;28.4;25.004167;23.2;87.666667;71;10.7;1.120833;
2008-02-26;8;979.295833;22.15;29.8;23.9625;21.9;90.041667;63;11.8;1.045833;
2008-02-27;7.6;979.325;22.1125;30.9;25.445833;21.9;82.958333;52;10.6;.945833;
2008-02-28;.6;978.379167;22.404167;31.8;25.354167;22.5;84.583333;54;11.1;.775;
2008-02-29;10.2;978.208333;22.354167;29.8;24.608333;22.4;87.958333;63;11.4;1.645833;
2008-03-01;18.4;977.866667;21.754167;27.5;23.708333;21.8;89.375;72;12.9;1.483333;
2008-03-02;13.8;977.641667;21.729167;30.4;23.483333;21.3;90.541667;63;8.7;1.083333;
2008-03-03;23.4;979.1375;21.783333;30.7;24.0625;21.7;88.166667;55;9.3;.975;
2008-03-04;.2;979.729167;22.070833;30.5;24.445833;22;87.5;58;7.4;.895833;
2008-03-05;0;978.758333;22.045833;31.4;25.358333;21.9;83.083333;57;6.4;1.108333;
2008-03-06;.4;977.754167;22.045833;29.4;24.479167;22.1;87;64;7;1.525;
2008-03-07;20.2;null;null;26;null;22;92.5625;82;7.5;null;
2008-03-08;null;null;null;null;null;null;null;null;null;null;
2008-03-09;null;null;null;null;null;null;null;null;null;null;
2008-03-10;null;null;null;null;null;null;84.5;69;9.7;null;
2008-03-11;1.2;979.404167;21.5;30;24.641667;21.5;83.833333;55;7;.941667;
2008-03-12;0;979.916667;22.525;31.1;25.658333;22.6;83.5;60;7.7;.779167;
2008-03-13;28.2;981.575;22.3125;26.1;23.833333;21.5;91.333333;82;7.2;.995833;
2008-03-14;33.2;981.279167;20.695833;28.9;23.575;21.1;84.833333;58;9;1.754167;
2008-03-15;0;980.604167;18.483333;31;25.070833;20.5;69.583333;43;8.1;1.170833;
2008-03-16;0;980.875;19.9375;32.7;25.483333;19.9;74.041667;44;6.2;1.1;
2008-03-17;0;980.804167;21.420833;33.3;26.25;21.8;76.666667;44;7.6;1.091667;
2008-03-18;0;980.570833;21.033333;33;26.220833;21.4;75.791667;43;7.8;1.258333;
2008-03-19;0;978.745833;21.408333;33.3;26.183333;20.8;77;46;7.3;.729167;
2008-03-20;115;980.108333;22.316667;31.1;25.4375;21.4;84.166667;55;8.9;1.220833;
2008-03-21;1;979.633333;21.575;32.9;26.475;22.4;76.791667;46;8.3;.895833;
2008-03-22;0;978.920833;22.325;33;26.670833;22.4;78.75;49;7.4;.8125;
2008-03-23;.2;980.225;21.95;31.9;24.975;21.6;84.041667;55;12.4;.7;
