Nome: CACERES
Codigo Estacao: A941
Latitude: -16.07472221
Longitude: -57.69305555
Altitude: 123.53
Situacao: Fechada
Data Inicial: 2012-03-29
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2012-03-29;null;null;null;null;null;null;null;null;null;null;
2012-03-30;null;null;null;null;null;null;54.416667;39;7.2;null;
2012-03-31;9.2;1000.241667;21.054167;34.6;27.5375;22.1;70.541667;39;6.2;1.125;
2012-04-01;0;997.783333;21.908333;34.4;27.3375;21.8;74.708333;45;4.7;.9125;
2012-04-02;0;996.891667;21.470833;34.7;27.033333;22.7;73.125;43;15;1.258333;
2012-04-03;.2;997.370833;20.958333;33.5;27.033333;20.7;70.875;47;9.7;1.316667;
2012-04-04;2.8;996.545833;21.6875;33.7;27.6875;22.3;71.583333;47;6.1;1.520833;
2012-04-05;0;995.704167;22.383333;34.9;29.4375;24.9;67.5;44;7;1.645833;
2012-04-06;0;996.695833;22.941667;33.8;27.345833;21.5;77.916667;52;14.1;1.458333;
2012-04-07;.2;995.75;22.983333;34;27.8125;23.4;77.708333;38;3.5;.945833;
2012-04-08;.4;995.716667;22.6;34.5;27.866667;23.3;74.666667;48;12.4;1.083333;
2012-04-09;0;995.558333;22.0875;31.8;26.704167;24.1;76.708333;54;10.2;1.533333;
2012-04-10;0;996.608333;22.3125;32.9;27.129167;23.6;76.958333;51;8;1.370833;
2012-04-11;0;998.433333;22.2375;34;27.945833;24.1;73.458333;40;5.6;1.395833;
2012-04-12;0;998.654167;23.3625;33;27.1;24.4;80.833333;60;9.5;1.1;
2012-04-13;0;997.1875;22.775;33.2;27.241667;22.9;77.708333;52;6.6;1.245833;
2012-04-14;0;995.920833;23.125;32.7;27.104167;24.8;79.583333;55;10.5;1.395833;
2012-04-15;0;997.479167;22.841667;28.9;25.691667;24;84.833333;65;6.4;1.133333;
2012-04-16;0;997.4;22.4;32.5;26.491667;22.4;79.958333;52;4.5;1.075;
2012-04-17;0;998.291667;22.870833;31.5;25.6875;23;85.166667;55;9.7;.9875;
2012-04-18;0;998.883333;23.3875;32.7;26.175;23.1;85.625;55;5.8;.9375;
2012-04-19;0;996.954167;22.8875;34.2;27.5875;22.9;77.541667;50;5.4;1.025;
2012-04-20;0;995.7875;23.595833;34.7;28.370833;24.2;77.333333;44;7.5;.979167;
2012-04-21;0;997.529167;23.116667;32.3;27.358333;23.7;78.75;57;7;1.15;
2012-04-22;0;999.008333;22.283333;30.7;25.8125;23.2;81.75;57;6.5;1.408333;
2012-04-23;0;998.258333;22.395833;32.9;26.575;22.8;79.833333;49;5.2;1.058333;
2012-04-24;0;997.2625;22.216667;33.6;26.954167;22.5;76.708333;47;5.8;1.325;
2012-04-25;0;996.120833;22.395833;33.1;28.191667;24.7;72.166667;48;6.6;1.658333;
2012-04-26;0;996.0875;22.445833;33.7;27.675;24.9;74.25;50;7.5;1.6625;
2012-04-27;0;997.4;22.120833;29.7;25.208333;22.6;83.583333;65;5.4;1.283333;
2012-04-28;0;996.604167;22.875;30.7;26.104167;23.8;83;64;4.7;1.283333;
2012-04-29;0;998.45;21.645833;26.8;23.65;23.8;88.75;75;9.5;1.5;
2012-04-30;0;1005.120833;15.141667;22.7;18.966667;17.1;79.041667;59;8.3;2.120833;
2012-05-01;0;1003.25;12.720833;27;19.3;14;70.125;30;6.9;1.4375;
2012-05-02;0;1001.1625;13.483333;29.4;20.583333;13.8;67.791667;33;4.6;1.145833;
2012-05-03;0;1001.279167;16.029167;31.4;22.545833;15.7;71.166667;36;4.8;.945833;
2012-05-04;0;1000.475;16.6625;33;23.3625;16.8;70.875;33;5.2;1.195833;
