Nome: ITAPORA
Codigo Estacao: S710
Latitude: -22.092833
Longitude: -54.798833
Altitude: 360
Situacao: Operante
Data Inicial: 2018-02-25
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-02-25;null;null;null;null;null;null;null;null;null;null;
2018-02-26;null;null;null;null;null;null;null;55;15.7;null;
2018-02-27;null;null;null;null;null;null;85.533333;66;11.5;null;
2018-02-28;5.8;968.6875;21.979167;33.6;24.845833;21.4;85.666667;48;11.3;2.041667;
2018-03-01;13.8;970.929167;22.133333;32.6;24.625;21.2;86.958333;53;8.7;1.629167;
2018-03-02;9.2;971.995833;21.975;33.7;24.829167;22.1;85.583333;52;8.6;1.325;
2018-03-03;3;970.041667;21.883333;33.9;26.683333;22.4;77.166667;42;10.1;1.229167;
2018-03-04;1.4;968.1375;21.034783;35.6;27.2;20.9;72.043478;39;13.7;2.266667;
2018-03-05;2.4;967.8625;21.233333;34.6;25.491667;20.9;79.208333;43;17;1.8125;
2018-03-06;.4;968.220833;20.945833;33.3;25.754167;20.5;77.25;42;9.5;2.041667;
2018-03-07;0;968.866667;20.445833;32.1;26.216667;20.5;72.916667;47;6.4;1.55;
2018-03-08;0;968.2875;19.841667;34.2;27.508333;20.5;64.958333;42;6.3;1.366667;
2018-03-09;5;968.491667;22.525;32.6;25.966667;23;82;55;12.4;1.945833;
2018-03-10;.4;967.866667;21.672727;33.5;26.15;21.8;80.909091;52;9.1;2.504167;
2018-03-11;0;967.508333;21.522222;34.8;27.158333;21.1;81.277778;52;8.9;1.65;
2018-03-12;.8;966.9;23.426316;34.6;27.341667;24.5;85.421053;58;8.8;1.983333;
2018-03-13;1;966.979167;24.052381;35.1;27.695833;23.7;84.857143;49;14;1.75;
2018-03-14;8.4;967.825;23.636842;36.2;28.879167;23.9;80.052632;43;10.1;2.070833;
2018-03-15;0;968.620833;22.705;36.3;28.066667;23.6;79.25;41;12.8;3.104167;
2018-03-16;0;969.5625;null;35.1;27.404167;21.8;86.333333;59;12.3;2.3125;
2018-03-17;21.2;968.270833;null;36.3;29.016667;22.3;81.875;63;9.3;1.983333;
2018-03-18;7;966.4625;null;35.2;28.866667;22.4;81.066667;61;12.5;2.070833;
2018-03-19;0;967.025;null;36.3;28.558333;23.2;79;62;13.9;1.829167;
2018-03-20;0;967.7375;null;35.5;27.5125;22.7;87.0625;63;10.5;1.820833;
2018-03-21;3.6;969.783333;22.094444;31.6;25.55;21.9;89.333333;65;6.9;1.558333;
2018-03-22;0;968.158333;null;33.6;26.720833;22;88.933333;65;7.9;2.020833;
2018-03-23;0;967.945833;null;34.7;27.816667;23.2;82.866667;67;10.3;1.545833;
2018-03-24;0;967.758333;null;35.4;27.729167;23.3;88.714286;65;9.4;2.470833;
2018-03-25;8.6;970.5625;20.7875;29.2;22.745833;21.8;88.833333;56;11.5;1.975;
2018-03-26;6.4;972.658333;14.304167;27.2;19.879167;14.3;70.583333;58;10.9;2.0125;
2018-03-27;0;971.654167;20.245833;28.5;23.125;16.5;84.333333;65;15.6;2.229167;
2018-03-28;32.4;972.05;21.030435;29.9;24.075;21.2;85.391304;60;8.9;2.270833;
2018-03-29;1.4;971.670833;21.2;29.6;24.9125;22.1;81.304348;62;5.8;1.6125;
2018-03-30;8.4;970.758333;20.886364;29.9;23.995833;20;86.090909;66;10.5;1.604167;
2018-03-31;5.6;969.041667;21.2375;28.4;23.808333;21.6;86.375;63;6.9;1.65;
2018-04-01;.2;967.920833;21.775;28.1;23.941667;21.5;88.333333;65;8.5;1.8;
2018-04-02;1;969.0875;21.317391;29.6;23.4375;21.2;89.956522;57;6.7;1.270833;
2018-04-03;1;968.85;18.386957;29.7;24.2375;19;73.608696;43;6.2;1.583333;
2018-04-04;0;969.245833;17.261905;30.2;24.383333;17.6;69;46;5.7;1.775;
2018-04-05;0;968.804167;17.794737;30.9;24.2625;17.2;75;48;5.9;1.15;
2018-04-06;0;969.420833;null;32;25.295833;17.4;68.882353;48;5.4;1.383333;
2018-04-07;0;970.3875;null;32.4;24.708333;17;69.941176;47;6.6;1.404167;
2018-04-08;0;971.929167;15.577778;31.6;25.191667;17.4;62.722222;43;7.5;1.55;
2018-04-09;0;971.725;17;32.1;25.258333;17;67;43;6.1;1.808333;
2018-04-10;0;970.6875;null;33.2;26.516667;21.3;76.117647;61;9.5;2.4875;
2018-04-11;0;970.575;null;32.9;26.570833;21.3;76.764706;59;9.8;2.441667;
2018-04-12;0;972.05;null;32.8;26.4125;20.8;72;51;9;1.954167;
2018-04-13;0;974.554167;null;31.8;25.358333;19.2;67.25;47;6.2;1.570833;
2018-04-14;0;975.929167;null;32.3;26.254167;21.4;64.857143;51;7.5;2.133333;
2018-04-15;0;977.570833;null;28.5;24.870833;22.1;70.6;60;8;2.4125;
2018-04-16;0;976.954167;18.054167;29.1;23.495833;19.6;72.916667;52;10.8;2.5375;
2018-04-17;0;975.8625;17.808333;29.2;23.15;18.9;72.875;53;9.3;2.629167;
2018-04-18;0;976.3875;18.304167;30;24.008333;19.6;71.541667;51;8.5;2.4;
2018-04-19;0;975.341667;null;32.5;24.829167;19.7;77.25;50;9.5;2.05;
2018-04-20;0;974.791667;null;29.9;23.770833;21;null;null;10.1;1.495833;
2018-04-21;12.8;973.3875;20.304545;30.8;24.4125;19.9;80.409091;50;6;1.295833;
2018-04-22;0;972.229167;17.986364;30.9;24.920833;19.3;69.045455;40;6.1;1.520833;
2018-04-23;0;973.083333;16.165217;31.1;23.95;16.6;64.347826;40;7.8;1.479167;
2018-04-24;0;974.320833;17.157143;31.5;25.016667;18.8;66.095238;46;6.5;1.654167;
2018-04-25;0;974.741667;16.865217;31.2;24.6;17.2;64.869565;42;8.2;1.691667;
2018-04-26;0;973.4375;16.831818;31.2;24.891667;18.3;64.5;40;6.7;1.820833;
2018-04-27;0;972.508333;17.295652;31.4;25.170833;17.5;63.26087;48;6.5;1.8125;
2018-04-28;0;973.695833;null;33;26.175;19.3;73.266667;50;6.8;1.579167;
2018-04-29;0;973.016667;null;33;26.6125;21.6;null;null;6.5;2.0125;
2018-04-30;0;972.779167;null;32.9;26.370833;18.4;null;51;6.5;1.775;
2018-05-01;0;973.8;null;33.3;26.704167;21.2;68.857143;46;6.7;1.8;
2018-05-02;0;973.795833;null;33.2;26.0375;17.9;63.6875;44;7.7;1.975;
2018-05-03;0;972.941667;null;32;24.4;17.2;62.235294;35;4.5;1.15;
2018-05-04;0;972.408333;null;32.8;24.604167;16.3;60.5;39;6.9;1.520833;
2018-05-05;0;973.6625;16.285;30.3;24.933333;18.8;58.8;42;5.8;1.35;
2018-05-06;0;975.0125;18.394737;31.8;25.583333;20.4;71.105263;43;7.5;1.954167;
2018-05-07;0;975.45;18.454167;31;25.0125;20.1;68.166667;47;8;2.075;
2018-05-08;0;974.508333;17.279167;31;23.8875;18.8;68;44;10.8;2.375;
2018-05-09;0;973.929167;16.920833;31.2;24.208333;18.8;65.458333;40;8.5;2.383333;
2018-05-10;0;971.620833;null;32.3;24.3;17.8;70.5;42;9.7;2.575;
2018-05-11;6.2;972.091667;17.757895;24.1;19.733333;17.5;90.105263;75;12;1.875;
2018-05-12;24;974.291667;14.391667;23.9;18.466667;13.9;78.625;54;6.8;1.9375;
2018-05-13;.2;973.204167;13.991667;26.1;18.929167;11.5;74.708333;50;5.4;1.529167;
2018-05-14;0;971.695833;17.0625;29.5;21.633333;15.8;76.333333;54;6.9;1.833333;
2018-05-15;0;970.945833;18.773684;33.2;24.316667;18.4;80.631579;52;8.2;1.975;
