Nome: SELVIRIA
Codigo Estacao: S717
Latitude: -20.35138888
Longitude: -51.43027777
Altitude: 374
Situacao: Pane
Data Inicial: 2018-04-04
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2018-04-04;null;null;null;null;null;null;null;null;null;null;
2018-04-05;null;null;null;null;null;null;null;38;6.2;null;
2018-04-06;null;null;null;null;null;null;61.571429;43;4.9;null;
2018-04-07;null;null;null;32.2;null;22;59.941176;41;7.3;null;
2018-04-08;0;970.9375;18.858333;31.9;26.5125;21.3;63.375;49;7;2.5;
2018-04-09;0;970.891667;20.904167;31.8;26.554167;22.6;72.125;50;6.7;2.345833;
2018-04-10;0;971.1125;20.4125;33.3;26.433333;20.8;71.958333;42;10.1;2.420833;
2018-04-11;0;971.445833;19.608333;32;26.679167;21.4;66.708333;45;9.9;2.683333;
2018-04-12;0;972.3375;18.041667;32.4;25.629167;20.9;65.083333;35;9.9;2.708333;
2018-04-13;0;974.208333;17.5;30.2;24.808333;18.4;65.375;38;7.6;2.2;
2018-04-14;.6;975.220833;19.858333;30.3;24.829167;20.7;75.208333;52;5.7;1.770833;
2018-04-15;3.8;976.825;20.279167;27.1;23.595833;21.1;82.25;67;24.5;3.075;
2018-04-16;0;975.8125;18.983333;27.8;23.7875;21;74.958333;59;8.7;2.6375;
2018-04-17;0;975.345833;18.145833;27.3;23.779167;20.5;70.958333;60;11.1;4.066667;
2018-04-18;0;976.441667;19.145833;30;24.9625;22.3;70.875;49;9.1;3.004167;
2018-04-19;0;975.791667;19.7375;30.5;24.820833;20.5;74.875;46;7.3;1.595833;
2018-04-20;0;974.620833;18.754167;30.8;24.991667;20.2;70.666667;39;8.1;1.845833;
2018-04-21;0;973.216667;16.120833;30.9;24.55;20.1;62.666667;31;5.7;1.3625;
2018-04-22;0;972.025;14.670833;30.6;23.529167;18.6;59.333333;34;6;1.470833;
2018-04-23;0;972.3625;17.904167;31;24.058333;18.5;70.291667;45;5.2;1.679167;
2018-04-24;0;973.679167;17.6625;31.9;25.216667;19.1;64.791667;32;5.5;1.8125;
2018-04-25;0;973.9625;16.379167;31.4;24.808333;18.4;60.791667;35;7.7;1.7125;
2018-04-26;0;972.9125;18.020833;32.1;24.9375;18.6;67.375;43;5.8;1.458333;
2018-04-27;0;972.475;19.195833;32.6;25.633333;19.7;70.375;37;7.5;1.7875;
2018-04-28;0;973.316667;18.679167;32.2;25.375;19.2;69.291667;38;4.9;1.441667;
2018-04-29;0;972.8625;19.0625;31.8;25.320833;19.6;70.666667;43;6.6;1.879167;
2018-04-30;0;972.941667;18.733333;33.3;25.791667;19.8;67.833333;36;8;1.916667;
2018-05-01;0;973.895833;18.658333;32.5;25.6;18.9;68.583333;37;6.3;1.7875;
2018-05-02;0;974.166667;17.125;32;24.491667;17.9;67.125;33;6.2;1.720833;
2018-05-03;0;973.204167;15.108333;31.6;24.541667;17.5;58.958333;28;6.2;1.620833;
2018-05-04;0;972.583333;17.079167;34.3;24.879167;17.4;65.833333;30;8.4;1.7125;
2018-05-05;0;973.4625;18.491667;32.2;24.925;18.1;70.041667;40;6.3;1.6625;
2018-05-06;0;974.3625;18.258333;33;25.504167;18.7;67.25;33;5.5;1.7125;
2018-05-07;0;974.8375;17.666667;31.7;25.6625;21.7;62.875;40;9.1;2.783333;
2018-05-08;0;974.295833;17.270833;30.6;25.020833;20.6;63.208333;42;9.5;3.4125;
2018-05-09;0;974.175;16.629167;30.9;24.95;20.8;61.208333;37;8.5;3.270833;
2018-05-10;0;972.679167;16.983333;32.1;24.5875;17.9;65.75;34;9.9;2.283333;
2018-05-11;0;972.254167;16.5375;33;24.979167;19;62.416667;30;10.9;3.025;
2018-05-12;0;972.558333;17.608333;26.9;22.454167;20;75.166667;53;7.2;2.229167;
2018-05-13;0;972.7625;16.695833;27.2;21.3625;16.6;76.333333;53;4.9;1.604167;
2018-05-14;0;972.083333;18.558333;30.7;24.2;19;73.041667;46;10;2.070833;
2018-05-15;0;971.408333;18.404167;33.7;26.441667;20.5;64.5;36;10.7;2.379167;
2018-05-16;2.6;972.5125;18.533333;28;23.2625;19.7;75.458333;56;10.2;2.5875;
2018-05-17;.2;972.220833;19.595833;25.9;22.575;20.5;83.791667;67;5.7;1.683333;
2018-05-18;0;970.2875;19.575;32.3;24.358333;19.1;78.041667;42;8.2;1.8;
2018-05-19;3.2;970.6;17.395833;24.7;21.079167;18.2;79.708333;69;13.4;3.083333;
2018-05-20;0;975.241667;8.908333;21.7;15.1;9.1;69.083333;41;10.3;2.975;
2018-05-21;0;974.270833;8.658333;23.4;15.2875;7.9;67.791667;37;6.9;1.75;
2018-05-22;0;975.358333;8.325;25.9;16.945833;9.2;62.25;26;7.4;1.666667;
2018-05-23;0;976.425;9.583333;27.4;17.833333;10.3;63.041667;23;5.1;1.283333;
2018-05-24;0;977.241667;11.7375;28.9;19.533333;12;65.5;24;5.9;1.820833;
2018-05-25;0;975.958333;14.420833;29.6;22.016667;16.2;63.625;39;9.7;3.070833;
2018-05-26;0;975.075;14.9125;29.8;23.2625;19.1;60.416667;39;7.5;2.675;
2018-05-27;0;976.416667;14.283333;30.3;23.7;18.5;56.916667;33;9;3.2625;
2018-05-28;0;976.754167;12.75;28.5;22.8125;17.7;54.166667;32;8.8;2.995833;
2018-05-29;0;975.633333;14.579167;29.2;22.95;17.2;60.75;36;9.5;2.508333;
2018-05-30;0;974.758333;15.591667;30.6;23.125;18.2;63.833333;33;10.6;3.4;
2018-05-31;0;972.7625;13.941667;30.7;23.45;18.2;58.25;28;9.8;2.625;
2018-06-01;0;971.625;14.1625;29.1;22.470833;17;61.041667;39;8.7;1.8875;
2018-06-02;0;973.620833;17.820833;30.3;23.591667;18.1;72.083333;44;7.2;1.4875;
