Nome: BARBALHA
Codigo Estacao: A315
Latitude: -7.30083333
Longitude: -39.2711111
Altitude: 409.41
Situacao: Pane
Data Inicial: 2007-05-30
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2007-05-30;null;null;null;null;null;null;null;null;null;null;
2007-05-31;null;null;null;null;null;null;null;null;null;null;
2007-06-01;null;null;null;null;null;null;58.166667;44;12.1;null;
2007-06-02;.4;968.170833;18.55;27.6;24.2;22.1;71.166667;59;9.5;2.4125;
2007-06-03;0;967.616667;18.15;31.5;25.316667;20.2;65.916667;41;7.5;1.604167;
2007-06-04;0;967.8625;19.325;32.9;25.116667;20.6;73.583333;36;4.6;.870833;
2007-06-05;0;968.541667;17.891667;31.4;24.891667;20.6;69.166667;31;7.4;1.420833;
2007-06-06;0;968.8125;16.658333;31.3;24.475;18.8;63.916667;36;7.8;1.820833;
2007-06-07;0;967.873913;17.204348;30.7;24.604348;18.9;64.608696;40;11.9;2.508696;
2007-06-08;0;967.658333;16.6;30.7;25.104167;20.7;60.875;39;8.9;2.291667;
2007-06-09;0;967.495833;16.091667;30.9;24.829167;20.3;59.458333;39;8.3;2.016667;
2007-06-10;1.2;967.625;18.479167;30;24.229167;20.6;72;45;9.6;2.029167;
2007-06-11;0;967.5;15.5125;30.7;24.904167;20.4;57.375;36;10.5;3.0125;
