Nome: CAMPOS SALES
Codigo Estacao: A347
Latitude: -7.07777777
Longitude: -40.36277777
Altitude: 577.95
Situacao: Pane
Data Inicial: 2008-03-06
Data Final: 2021-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-06;null;null;null;null;null;null;null;null;null;null;
2008-03-07;null;null;null;null;null;null;null;null;null;null;
2008-03-08;null;947.354167;19.766667;29.7;22.270833;null;86.75;53;10.5;1.533333;
2008-03-09;6.8;947.886957;20.073913;28.1;22.865217;19.8;85.043478;62;8.5;1.978261;
2008-03-10;null;null;null;null;null;null;null;57;8.8;null;
2008-03-11;0;946.295833;20.5125;29;23.279167;19.7;85.375;61;7.5;2.054167;
2008-03-12;2.2;947.054167;20.983333;24.8;22.395833;20.5;91.75;79;7.1;1.333333;
2008-03-13;16.4;947.325;20.475;29.3;23.191667;20;85.541667;55;9.4;1.695833;
2008-03-14;.4;946.270833;20.266667;30.4;23.195833;19.2;84.958333;52;6.8;.970833;
2008-03-15;56.2;946.966667;20.225;29.5;23.1375;18.4;84.875;54;11.5;1.6375;
2008-03-16;32.2;948.008333;20.4625;26.1;21.866667;20.3;92.125;67;6.7;1.025;
2008-03-17;1.2;947.375;20.3375;27;22.333333;19.6;89.041667;64;9.3;1.308333;
2008-03-18;33.6;947.458333;20.125;28.6;23.4625;19.3;82.75;56;7.6;1.4875;
2008-03-19;0;947.141667;20.404167;26.1;22.475;20.1;88.5;68;7.1;.945833;
2008-03-20;5.2;947.379167;20.4375;27;22.1;19.5;90.791667;65;10.6;1.1625;
2008-03-21;6.6;946.4625;20.458333;28.1;23.108333;19.6;85.958333;62;9.4;2.216667;
2008-03-22;1;946.570833;20.966667;27.7;23.308333;21.1;87.333333;63;6.8;1.620833;
2008-03-23;4;946.275;21.358333;27.1;23.216667;21;89.708333;70;7.9;1.133333;
2008-03-24;38.6;947.404167;21.008333;25.9;22.929167;20.5;89.5;70;5;.908333;
2008-03-25;2.8;947.520833;21.15;29;23.5125;20.4;87.541667;56;8.4;1.066667;
2008-03-26;21;946.75;20.8375;28.3;22.445833;19.4;90.875;63;9.8;1.2125;
2008-03-27;.8;945.420833;20.220833;29;22.979167;20;85.416667;59;9.7;2.020833;
2008-03-28;.4;945.45;20.454167;27.8;23.15;20.3;85.625;61;7.9;1.65;
2008-03-29;10;945.3625;21.091667;28.8;23.2125;20.4;88.708333;60;9.2;1.245833;
2008-03-30;8.4;945.333333;20.620833;26.1;22.841667;20.3;87.958333;67;8.8;1.2625;
2008-03-31;19.8;944.833333;20.6;28.2;23.166667;19.5;86.458333;60;10.4;1.941667;
2008-04-01;26.2;945.158333;20.7125;26.6;22.383333;20.5;90.666667;72;7.2;1.466667;
2008-04-02;3;945.458333;20.983333;26.2;22.579167;21;91.083333;72;6.1;1.2125;
2008-04-03;22.6;945.654167;20.895833;25.9;22.879167;20.9;89.083333;72;6.6;1.483333;
2008-04-04;.4;945.575;20.4625;28.8;23.533333;19.6;84.25;57;5.8;1.475;
2008-04-05;0;945.745833;20.916667;30.4;23.958333;20;84.5;55;7.3;1.3625;
2008-04-06;0;946.445833;20.8875;29.5;23.7375;21.5;84.833333;55;6.8;1.458333;
2008-04-07;.6;946.116667;21.054167;29;23.870833;21;85.416667;58;7.1;1.6375;
2008-04-08;5;947.104167;20.9125;28.4;23.529167;21.1;85.875;64;8.8;3.1125;
2008-04-09;31.2;947.341667;20.720833;29.2;23.404167;20.8;86.166667;57;10;2.583333;
2008-04-10;0;945.2875;19.5;29.1;23.058333;19.2;82.166667;51;8.6;1.745833;
2008-04-11;0;944.1375;19.129167;29;22.554167;17.4;82.25;57;7.1;1.979167;
2008-04-12;.2;944.883333;20.6625;28.4;23.1375;19.7;86.583333;58;7.4;1.925;
2008-04-13;.2;945.820833;20.9875;28.6;22.879167;21.1;90;61;11.5;1.133333;
2008-04-14;3.4;946.595833;20.55;28.6;22.666667;20.4;88.625;58;10;1.820833;
2008-04-15;1.2;946.683333;20.666667;28.6;22.883333;20.5;88.166667;61;11.8;1.9125;
2008-04-16;3;947.408333;20.0875;28.8;22.670833;19.7;86.25;60;11.1;1.845833;
2008-04-17;0;947.554167;19.266667;29.8;23.470833;18.8;78.958333;53;9.5;1.929167;
2008-04-18;0;946.970833;19.441667;29.4;22.816667;18.1;82.541667;54;9.2;1.908333;
2008-04-19;.6;946.6625;19.791667;30;23.270833;18.5;82.541667;49;6.9;1.441667;
2008-04-20;0;946.7;19.820833;30;23.470833;18.5;81.541667;51;7;1.8125;
2008-04-21;0;947.045833;20.4875;29.7;23.970833;20.5;81.916667;57;8.2;2.070833;
2008-04-22;0;946.5875;20.075;29.8;23.5125;19.7;82.458333;56;8.7;1.9625;
2008-04-23;0;946.2375;20.15;29.5;24.070833;20.1;80.5;52;11.3;2.458333;
2008-04-24;1.4;946.0875;19.6125;28.7;23.091667;18.1;82.208333;55;11.6;1.779167;
2008-04-25;0;945.616667;20.620833;29.3;23.275;19.1;85.791667;59;8.9;1.779167;
2008-04-26;0;945.716667;20.4125;29.5;24.008333;19.7;81.958333;50;7.1;1.616667;
2008-04-27;0;945.845833;19.625;29.9;23.470833;18;80.458333;54;6.4;1.4875;
2008-04-28;0;945.495833;20.5875;29.7;23;18.3;86.958333;61;9.8;1.629167;
2008-04-29;8;945.695833;21.433333;27.2;22.954167;20.6;91.375;71;9.3;1.7;
2008-04-30;2.4;945.5625;20.395833;29.5;23.845833;20.8;82.625;50;6.3;1.629167;
2008-05-01;0;945.320833;20.679167;28.6;22.845833;19.5;88.041667;65;7.9;1.575;
2008-05-02;2.4;945.641667;20.366667;29.2;23.2375;20.1;85;58;9.2;1.958333;
2008-05-03;9.6;946.520833;20.591667;28.7;23.208333;19.7;86.333333;60;7.9;1.529167;
2008-05-04;0;947.258333;19.645833;30.1;23.141667;17.9;82.083333;49;7.3;1.6125;
2008-05-05;0;947.704167;19.770833;29.2;22.925;17.8;83.541667;58;7.7;1.6625;
2008-05-06;2.8;947.395833;21.004167;27.6;22.929167;20.3;89.5;69;7.1;1.4375;
2008-05-07;15;946.8375;20;30.9;23.891667;18.7;81.166667;47;8.3;.8;
2008-05-08;0;946.408333;20.933333;29;23.425;19.6;86.625;61;5.6;1.35;
2008-05-09;0;946.341667;20.5375;28.1;23.425;19.8;84.625;62;7;1.566667;
2008-05-10;0;947.491667;19.333333;28;22.620833;19.5;82.25;63;9.7;2.316667;
2008-05-11;0;948.520833;18.795833;28.4;23.566667;20.5;75.5;54;11.3;2.866667;
2008-05-12;0;949.1125;18.770833;27.9;22.795833;19.7;78.833333;59;12.6;3;
2008-05-13;0;949.554167;17.795833;26.9;21.758333;19.1;78.75;61;11;2.875;
2008-05-14;0;949.058333;17.916667;28.2;22.325;17.9;77.375;54;12.4;2.479167;
2008-05-15;0;949.395833;17.55;29.6;23.2625;18.7;72.583333;43;9.8;2.004167;
2008-05-16;0;949.1125;18.8875;30.9;23.854167;19.2;75.791667;49;9.3;2.533333;
2008-05-17;0;949.091667;18.85;28.9;23.5125;19.4;76.541667;54;9.8;2.0625;
2008-05-18;0;949.158333;18.8125;29.8;23.4;18.3;77.083333;50;10.5;2.270833;
2008-05-19;0;948.633333;18.995833;27.9;22.545833;18;81.833333;53;9.6;1.829167;
2008-05-20;.6;948.091667;19.041667;28.4;22.966667;18.9;79.75;58;9.3;2.429167;
2008-05-21;.8;947.520833;19.425;29.6;23.3;20.1;80.333333;53;8.6;1.9375;
2008-05-22;.2;947.929167;18.670833;30.3;23.158333;18.2;77.875;47;10.4;2.145833;
2008-05-23;0;947.341667;18.4875;30.5;23.425;17.7;76.208333;46;9.7;2.425;
2008-05-24;0;947.5875;18.729167;30.2;22.3875;16.1;81.625;54;7.7;1.4375;
2008-05-25;.2;947.016667;19.008333;29.7;23.116667;17.8;79.5;49;10.1;2.404167;
2008-05-26;0;947.1875;18.720833;31.1;23.091667;16.4;78.416667;48;11.2;1.608333;
2008-05-27;.6;947.433333;19.241667;30.2;23.133333;18.6;80.416667;50;7.7;2.05;
2008-05-28;.2;947.491667;17.091667;29.1;22.704167;17.8;73.375;44;10.2;2.454167;
2008-05-29;0;947.395833;17.291667;29.9;22.141667;16;76.208333;49;10.8;2.3375;
2008-05-30;0;948.5;18.016667;30;23.308333;18.4;74.208333;47;9.9;2.158333;
2008-05-31;0;949.2625;18.120833;29.3;23.166667;20.3;74.541667;48;11.9;2.466667;
2008-06-01;0;949.304348;17.117391;28.7;22.730435;17.1;72.652174;48;13;2.756522;
2008-06-02;0;949.291667;15.325;28;22.175;18.9;67.125;40;16.5;3.479167;
2008-06-03;0;949.416667;15.591667;30;21.745833;15.2;71.541667;40;10.9;2.191667;
2008-06-04;0;949.504348;17.517391;29.8;22.182609;15.9;77.304348;44;9.5;2.291304;
2008-06-05;0;949.916667;18.0375;28.1;22.779167;19.1;75.583333;55;9.5;2.404167;
2008-06-06;0;949.621739;18.165217;29.1;22.426087;16.2;78.608696;54;10.4;2.082609;
2008-06-07;0;948.825;17.279167;30.5;22.7625;17.6;73.375;43;12.6;2.766667;
2008-06-08;0;948.470833;15.895833;29.9;22.9125;16.9;66.791667;41;12.3;2.954167;
2008-06-09;0;948.6;16.420833;28.9;23.266667;19.1;66.333333;48;12.9;3.508333;
2008-06-10;0;948.6875;16.991667;29.8;23.308333;18.7;69.791667;44;10.8;3.008333;
2008-06-11;0;948.6375;17.975;30;23.345833;19;73.458333;46;10.5;2.366667;
2008-06-12;0;948.8375;17.091667;30.5;23.291667;17.1;69.958333;44;9.1;2.375;
2008-06-13;0;948.541667;15.6;29.2;23.1125;18.7;64.416667;42;12;3.329167;
2008-06-14;0;948.041667;15.7125;29.6;22.366667;16.9;69.041667;37;10.9;2.458333;
2008-06-15;0;948.895833;17.370833;29.7;23.195833;18.2;71.458333;47;9;2.858333;
2008-06-16;0;949.333333;17.825;30.5;24.695833;21;66.833333;44;8.9;2.158333;
2008-06-17;0;948.733333;17.783333;30.8;23.766667;17.6;71.416667;44;11.1;2.679167;
2008-06-18;0;948.5875;13.695833;29.8;22.733333;18.1;59.666667;32;11.7;3.016667;
2008-06-19;0;948.4625;13.8;29.8;20.8625;13.2;66.25;41;9.1;2.045833;
2008-06-20;0;948.404167;15.916667;29.1;22.095833;17.7;69.5;45;11.5;2.870833;
2008-06-21;0;947.991667;14.045833;29.2;21.275;13.6;68.041667;33;14.1;2.175;
2008-06-22;0;948.033333;14.183333;30.3;21.616667;14.3;66.708333;36;9.8;2.2;
2008-06-23;0;948.845833;15.4125;31.1;22.3375;14.6;68.166667;38;9.5;1.879167;
2008-06-24;0;949.879167;16.879167;30.6;23.616667;18.6;68.416667;41;9.7;2.679167;
2008-06-25;0;949.275;15.1875;30;22.991667;16.3;63.5;37;11.8;3.154167;
2008-06-26;0;949.266667;14.475;30.2;22.779167;17.4;63.5;31;10.3;2.958333;
2008-06-27;0;950.141667;13.4125;29.8;21.770833;14.9;61.833333;37;12.5;2.741667;
2008-06-28;0;951.5625;15.083333;28.8;22.083333;15.5;66.666667;43;12;3.395833;
2008-06-29;0;951.354167;15.408333;28.6;22.325;18.6;66.208333;43;12.2;3.366667;
2008-06-30;0;950.533333;13.666667;30.1;22.4125;16.2;60.166667;35;9.3;2.758333;
2008-07-01;0;950.35;16.6375;29.8;23.466667;18.9;66.75;44;11;2.9375;
2008-07-02;.4;951;15.2125;28.9;22.75;19.3;65.041667;38;12.7;3.4875;
2008-07-03;0;950.254167;15.275;28.4;22.045833;16.8;67.166667;44;11.4;2.741667;
2008-07-04;0;949.529167;14.0125;30.2;22.4;15.6;62.583333;32;9.6;2.508333;
2008-07-05;0;949.616667;16.3875;30.6;23.816667;17.8;65.916667;38;9.6;2.366667;
2008-07-06;0;950.529167;17.120833;29.5;23.8;19.8;67.375;47;12.4;3.925;
2008-07-07;0;951.0375;17.270833;28.4;22.470833;19.1;73.291667;49;11.8;3.366667;
2008-07-08;.2;950.925;15.1;28.1;22.05;18.8;66;44;12.2;3.9875;
2008-07-09;0;950.3375;13.291667;29.5;21.941667;16.4;61.666667;31;10.9;3.045833;
2008-07-10;0;950.741667;14.291667;29.1;21.754167;15.4;65.041667;37;11.6;2.704167;
2008-07-11;0;950.866667;15.5;30.3;23.145833;15.6;64.583333;35;11.5;3.1;
2008-07-12;0;950.370833;16.058333;28.8;22.9875;19.4;65.958333;45;13.9;4.166667;
2008-07-13;0;949.495833;13.85;28.8;22.25;18.3;60.875;36;16.6;4.25;
2008-07-14;0;949.7625;12.966667;29;21.729167;16.4;59.666667;33;13.8;3.983333;
2008-07-15;0;950.6375;13.5625;29.8;22.6625;17.3;58.375;36;14.3;4.2;
2008-07-16;0;951.141667;14.695833;28.2;22.7;18.5;61.958333;43;13.2;4.9625;
2008-07-17;0;950.1375;16.295833;27.2;22.241667;18.7;69.541667;54;11.5;3.3375;
2008-07-18;.4;950.1625;17.975;28;22.820833;19.8;75.333333;54;9.6;2.4875;
2008-07-19;0;950.641667;17.45;29.6;23.641667;19.3;70.208333;44;10.6;2.841667;
2008-07-20;0;950.3125;14;30.5;23.420833;17.2;60;31;10.9;3.108333;
2008-07-21;0;950.454167;15.683333;29.9;23.220833;18.9;64.125;40;11.3;3.408333;
2008-07-22;0;950.766667;16.3;28.4;23.3625;19.2;65.708333;46;13.9;3.475;
2008-07-23;0;950.2;14.691667;29.2;23.170833;18.3;61.041667;39;11.5;3.066667;
2008-07-24;0;949.691667;12.975;30.2;22.6375;17;57.5;31;10.5;2.5;
2008-07-25;0;950.0375;13.425;31;23.1125;17;58;29;8.7;2.370833;
2008-07-26;0;950.045833;14.291667;30.8;22.7875;16.3;60.208333;38;9.4;2.191667;
2008-07-27;0;950.883333;14.566667;29.5;23.4875;19.6;60.208333;30;15.2;3.995833;
2008-07-28;0;951.358333;13.9875;28.9;22.1;18.3;62.166667;35;12.3;3.575;
2008-07-29;0;950.1875;12.041667;29.8;22.345833;16.9;54.5;31;13.2;3.329167;
2008-07-30;0;949.158333;13.225;29.8;23.279167;18.1;54.958333;34;12.6;3.75;
2008-07-31;0;948.529167;12.175;31.7;24.0125;18.7;50.583333;27;12.2;3.7125;
2008-08-01;0;948.708333;12.375;31.4;23.129167;17.3;54.416667;26;11;3.120833;
2008-08-02;0;948.679167;14.554167;30.8;23.866667;17.4;58.083333;36;9.3;2.404167;
2008-08-03;0;948.204167;16.208333;31.9;24.8625;19.3;60.708333;34;9;2.5625;
2008-08-04;0;947.95;16.366667;33.2;24.541667;18.6;64.208333;29;8.9;2.533333;
2008-08-05;0;948.591667;15.716667;30.3;24.116667;19;61.958333;37;11.7;2.625;
2008-08-06;0;948.554167;12.725;30.4;22.8375;15.4;56.083333;31;12.1;3.116667;
2008-08-07;0;948.3375;15.754167;30.2;23.383333;17.3;63.458333;43;11.9;2.908333;
2008-08-08;1.2;948.979167;17.433333;27.6;23.425;19.8;71.083333;51;10.8;2.654167;
2008-08-09;0;949.445833;13.541667;31.3;24.0875;18.7;55.833333;27;11.6;2.875;
2008-08-10;0;949.095833;13.625;31.3;24.279167;18.3;55.25;27;12.4;3.466667;
2008-08-11;0;948.541667;12.645833;33.1;24.466667;17.2;50.708333;24;12.4;3.366667;
2008-08-12;0;948.575;14.470833;32.5;24.7;19.1;55.958333;29;13;3.270833;
2008-08-13;0;949.570833;12.729167;31.4;24.375;19.1;51.791667;27;11.5;3.766667;
2008-08-14;0;950.408333;13.354167;30.4;23.645833;18.9;55.458333;30;11.5;3.341667;
2008-08-15;0;950.141667;12.991667;30.4;23.8;18.7;53.583333;29;12.3;3.358333;
2008-08-16;0;948.9;13.4875;32.4;24.879167;18.7;52.5;24;11;3.525;
2008-08-17;0;948.495833;15.425;30.3;23.845833;19.5;60.708333;38;14.4;4.5875;
2008-08-18;0;948.545833;13.095833;30.2;23.779167;18.6;53.75;27;13.4;4.35;
2008-08-19;0;948.345833;11.654167;31.5;23.683333;17.6;51.458333;23;18.9;3.6375;
2008-08-20;0;947.508333;12.95;30.7;23.875;17.7;52.166667;31;13.3;3.866667;
2008-08-21;0;947.616667;14.445833;32.8;24.9875;19.6;53.958333;30;13.2;4.004167;
2008-08-22;0;948.420833;15.9375;30.3;24.195833;19.7;61.708333;39;11.4;3.75;
2008-08-23;0;948.733333;14.116667;33.2;25.170833;18.9;54.166667;27;11.2;3.395833;
2008-08-24;0;949.095833;15.1;30.5;24.595833;19.7;57.125;36;13.7;4.429167;
2008-08-25;0;949.533333;12.966667;30.5;23.129167;17;55.958333;30;12.5;3.920833;
2008-08-26;0;948.279167;12.229167;33.1;24.2375;17.7;50.583333;23;10.7;2.783333;
