2003, 1, 21, '22.75', '30.6', '22.9', '1.370833', ''
2003, 1, 22, '22.8375', '27.9', '23.7', '1.0375', ''
2003, 1, 23, '22.675', '28.2', '22.8', '1.358333', ''
2003, 1, 24, '23.216667', '30', '23.7', '1.129167', ''
2003, 1, 25, '23.4875', '32.9', '23.2', '1.3875', ''
2003, 1, 26, '23.616667', '31.3', '23.8', '1.295833', ''
2003, 1, 27, '23.195833', '27.2', '23.3', '1.579167', ''
2003, 1, 28, '22.404167', '28.4', '22', '1.233333', ''
2003, 1, 29, '23.566667', '31', '23.1', '.85', ''
2003, 1, 30, '23.733333', '32', '22.9', '.9', ''
2003, 1, 31, '23.166667', '30.3', '23.9', '.904167', ''
2003, 2, 1, '22.6', '31', '22.9', '.908333', ''
2003, 2, 2, '22.6625', '31.2', '21.6', '.891667', ''
2003, 2, 3, '23.1', '29.7', '23.2', '.845833', ''
2003, 2, 4, '23.545833', '29.2', '23.5', '1.1125', ''
2003, 2, 5, '23.525', '30.1', '23.7', '1.579167', ''
2003, 2, 6, '23.641667', '28.8', '23.8', '.825', ''
2003, 2, 7, '23.683333', '31', '23.3', '.883333', ''
2003, 2, 8, '23.425', '31.7', '22.9', '.879167', ''
2003, 2, 9, '23.516667', '31.6', '22.9', '1.2625', ''
2003, 2, 10, '22.483333', '28.4', '22.3', '.995833', ''
2003, 2, 11, '22.891667', '29.9', '23.2', '1.429167', ''
2003, 2, 12, '23.195833', '30.7', '23.9', '1.408333', ''
2003, 2, 13, '23.147826', '30', '23.4', '1.1', ''
2003, 2, 14, '23.208333', '30.6', '23.6', '1.025', ''
2003, 2, 15, '23.8375', '31.8', '23.6', '1.054167', ''
2003, 2, 16, '23.566667', '31.2', '23.6', '.845833', ''
2003, 2, 17, '23.691667', '31', '20.9', '.979167', ''
2003, 2, 18, '23.195833', '29.6', '23.1', '1.120833', ''
2003, 2, 19, '23.641667', '31.5', '23.7', '1.004167', ''
2003, 2, 20, '23.341667', '30.3', '23.9', '.941667', ''
